initial_l,minimum_preload,min_source_integral
-9.0,-0.0,0.0
-8.955,-0.0,0.0
-8.91,-0.0,0.0
-8.865,-0.0,0.0
-8.82,-0.0,0.0
-8.775,-0.0,0.0
-8.73,-0.0,0.0
-8.685,-0.0,0.0
-8.64,-0.0,0.0
-8.595,-0.0,0.0
-8.55,-0.0,0.0
-8.505,-0.0,0.0
-8.46,-0.0,0.0
-8.415,-0.0,0.0
-8.37,-0.0,0.0
-8.325,-0.0,0.0
-8.28,-0.0,0.0
-8.235,-0.0,0.0
-8.19,-0.0,0.0
-8.145,-0.0,0.0
-8.1,-0.0,0.0
-8.055,-0.0,0.0
-8.01,-0.0,0.0
-7.965,-0.0,0.0
-7.92,-0.0,0.0
-7.875,-0.0,0.0
-7.83,-0.0,0.0
-7.785,-0.0,0.0
-7.74,-0.0,0.0
-7.695,-0.0,0.0
-7.65,-0.0,0.0
-7.605,-0.0,0.0
-7.5600000000000005,-0.0,0.0
-7.515000000000001,-0.0,0.0
-7.47,-0.0,0.0
-7.425,-0.0,0.0
-7.38,-0.0,0.0
-7.335,-0.0,0.0
-7.29,-0.0,0.0
-7.245,-0.0,0.0
-7.2,-0.0,0.0
-7.155,-0.0,0.0
-7.11,-0.0,0.0
-7.065,-0.0,0.0
-7.02,-0.0,0.0
-6.975,-0.0,0.0
-6.93,-0.0,0.0
-6.885,-0.0,0.0
-6.84,-0.0,0.0
-6.795,-0.0,0.0
-6.75,-0.0,0.0
-6.705,-0.0,0.0
-6.66,-0.0,0.0
-6.615,-0.0,0.0
-6.57,-0.0,0.0
-6.525,-0.0,0.0
-6.48,-0.0,0.0
-6.4350000000000005,-0.0,0.0
-6.390000000000001,-0.0,0.0
-6.345000000000001,-0.0,0.0
-6.300000000000001,-0.0,0.0
-6.255,-0.0,0.0
-6.21,-0.0,0.0
-6.165,-0.0,0.0
-6.12,-0.0,0.0
-6.075,-0.0,0.0
-6.03,-0.0,0.0
-5.985,-0.0,0.0
-5.9399999999999995,-0.0,0.0
-5.895,-0.0,0.0
-5.85,-0.0,0.0
-5.805,-0.0,0.0
-5.76,-0.0,0.0
-5.715,-0.0,0.0
-5.67,-0.0,0.0
-5.625,-0.0,0.0
-5.58,-0.0,0.0
-5.535,-0.0,0.0
-5.49,-0.0,0.0
-5.445,-0.0,0.0
-5.4,-0.0,0.0
-5.355,-0.0,0.0
-5.3100000000000005,-0.0,0.0
-5.265000000000001,-0.0,0.0
-5.220000000000001,-0.0,0.0
-5.175000000000001,-0.0,0.0
-5.130000000000001,-0.0,0.0
-5.085,-0.0,0.0
-5.04,-0.0,0.0
-4.995,-0.0,0.0
-4.95,-0.0,0.0
-4.905,0.00220894551096444,-0.00220894551096444
-4.86,0.003674662552544012,-0.003674662552544012
-4.815,0.0016175505797637773,-0.0016175505797637773
-4.7700000000000005,-0.0,0.0
-4.7250000000000005,-0.0,0.0
-4.68,-0.0,0.0
-4.635,-0.0,0.0
-4.59,-0.0,0.0
-4.545,-0.0,0.0
-4.5,-0.0,0.0
-4.455,-0.0,0.0
-4.41,-0.0,0.0
-4.365,-0.0,0.0
-4.32,-0.0,0.0
-4.275,-0.0,0.0
-4.23,-0.0,0.0
-4.1850000000000005,-0.0,0.0
-4.140000000000001,-0.0,0.0
-4.095,-0.0,0.0
-4.05,-0.0,0.0
-4.005,-0.0,0.0
-3.96,-0.0,0.0
-3.915,-0.0,0.0
-3.87,-0.0,0.0
-3.825,-0.0,0.0
-3.7800000000000002,-0.0,0.0
-3.7350000000000003,-0.0,0.0
-3.6900000000000004,-0.0,0.0
-3.6450000000000005,-0.0,0.0
-3.6000000000000005,-0.0,0.0
-3.5550000000000006,-0.0,0.0
-3.51,-0.0,0.0
-3.465,-0.0,0.0
-3.42,-0.0,0.0
-3.375,-0.0,0.0
-3.33,-0.0,0.0
-3.285,0.0011424342686621486,-0.0011424342686621486
-3.24,0.028934204137165163,-0.028934204137165163
-3.1950000000000003,0.10519208055529496,-0.10519208055529496
-3.1500000000000004,0.18774351057472619,-0.18774351057472619
-3.1050000000000004,0.2758170078000238,-0.2758170078000238
-3.0600000000000005,0.3757333884384274,-0.3757333884384274
-3.0150000000000006,0.49081425967682923,-0.49081425967682923
-2.9700000000000006,0.6092960909790963,-0.6092960909790963
-2.925,0.7043976606048277,-0.7043976606048277
-2.88,0.7423116061421213,-0.7423116061421213
-2.835,0.7214895959875,-0.7214895959875
-2.79,0.7195265164098299,-0.7195265164098299
-2.745,0.9541997140993868,-0.9541997140993868
-2.7,1.2635250288468196,-1.2635250288468196
-2.6550000000000002,1.6894189901621566,-1.6894189901621566
-2.6100000000000003,2.2350508970778473,-2.2350508970778473
-2.5650000000000004,2.854436273489191,-2.854436273489191
-2.5200000000000005,3.4249839288456045,-3.4249839288456045
-2.4750000000000005,3.675894572385563,-3.675894572385563
-2.4300000000000006,3.041134448411001,-3.041134448411001
-2.3850000000000007,2.7261378582310147,-2.7261378582310147
-2.34,5.66211802454061,-5.66211802454061
-2.295,11.830182822036452,-11.830182822036452
-2.25,21.00366065417596,-21.00366065417596
-2.205,19.981282461501955,-19.981282461501955
-2.16,155.6242248890496,-155.6242248890496
-2.115,42.91557566174428,-42.91557566174428
-2.0700000000000003,1.0614214377671105,-1.0614214377671105
-2.0250000000000004,0.11750696923611656,-0.11750696923611656
-1.9800000000000004,0.07604384927429861,-0.07604384927429861
-1.9350000000000005,0.07223493374781975,-0.07223493374781975
-1.8900000000000006,0.01570504097928787,-0.01570504097928787
-1.8450000000000006,1.9194410726054893e-06,-1.9194410726054893e-06
-1.8000000000000007,1.1834406164847768e-06,-1.1834406164847768e-06
-1.755,8.035831462091162e-07,-8.035831462091162e-07
-1.71,5.842129284009972e-07,-5.842129284009972e-07
-1.665,4.4682987592475013e-07,-4.4682987592475013e-07
-1.62,3.546938645120263e-07,-3.546938645120263e-07
-1.5750000000000002,2.8934666386270406e-07,-2.8934666386270406e-07
-1.5300000000000002,2.41727885935907e-07,-2.41727885935907e-07
-1.4850000000000003,2.0586403356803079e-07,-2.0586403356803079e-07
-1.4400000000000004,1.7721208810423208e-07,-1.7721208810423208e-07
-1.3950000000000005,1.5293734942992932e-07,-1.5293734942992932e-07
-1.3500000000000005,3.1595683149163833e-07,-3.1595683149163833e-07
-1.3050000000000006,5.883982521289494e-07,-5.883982521289494e-07
-1.2600000000000007,9.49462971303464e-07,-9.49462971303464e-07
-1.2149999999999999,1.1864537579307732e-06,-1.1864537579307732e-06
-1.17,2.225246769928942e-06,-2.225246769928942e-06
-1.125,8.267009778900787e-06,-8.267009778900787e-06
-1.08,4.804110791807554e-05,-4.804110791807554e-05
-1.0350000000000001,2.7232495456465273e-05,-2.7232495456465273e-05
-0.9900000000000002,-0.0,0.0
-0.9450000000000003,-0.0,0.0
-0.9000000000000004,1.4927075005400678e-05,-1.4927075005400678e-05
-0.8550000000000004,1.2141002223049593e-05,-1.2141002223049593e-05
-0.8100000000000005,1.7229021630795268e-06,-1.7229021630795268e-06
-0.7650000000000006,-0.0,0.0
-0.7200000000000006,4.154673510796371e-07,-4.154673510796371e-07
-0.6750000000000007,1.4923356658756266e-06,-1.4923356658756266e-06
-0.6300000000000008,1.0586933189206139e-06,-1.0586933189206139e-06
-0.5850000000000009,1.1851750320272772e-06,-1.1851750320272772e-06
-0.5400000000000009,3.0652921215392553e-06,-3.0652921215392553e-06
-0.495000000000001,9.460705302092448e-06,-9.460705302092448e-06
-0.45000000000000107,3.222281502563675e-05,-3.222281502563675e-05
-0.40500000000000114,0.00012090079386344946,-0.00012090079386344946
-0.35999999999999943,0.00048332363486235455,-0.00048332363486235455
-0.3149999999999995,0.0014800476645186035,-0.0014800476645186035
-0.2699999999999996,0.013285369500922557,-0.013285369500922557
-0.22499999999999964,0.029392341594406426,-0.029392341594406426
-0.17999999999999972,0.02545014991317646,-0.02545014991317646
-0.1349999999999998,0.008816523109853187,-0.008816523109853187
-0.08999999999999986,0.012558731152278969,-0.012558731152278969
-0.04499999999999993,0.01914672678360441,-0.01914672678360441
0.0,0.023194222901901672,-0.023194222901901672
0.04499999999999993,0.0274842744030746,-0.0274842744030746
0.08999999999999986,0.02836865570461957,-0.02836865570461957
0.1349999999999998,0.021272332434548027,-0.021272332434548027
0.17999999999999972,0.00912775097922749,-0.00912775097922749
0.22499999999999964,0.0030615271091190112,-0.0030615271091190112
0.2699999999999996,0.006789130368794302,-0.006789130368794302
0.3149999999999995,0.02311447701217624,-0.02311447701217624
0.35999999999999943,0.03602419928054418,-0.03602419928054418
0.40499999999999936,0.03604390464214151,-0.03604390464214151
0.4499999999999993,0.02660299647725469,-0.02660299647725469
0.4949999999999992,0.013566160221128172,-0.013566160221128172
0.5399999999999991,0.004083442560125753,-0.004083442560125753
0.5849999999999991,0.006289888947666206,-0.006289888947666206
0.629999999999999,0.02361555281632879,-0.02361555281632879
0.6749999999999989,0.03739076740652258,-0.03739076740652258
0.7199999999999989,0.040472402245118076,-0.040472402245118076
0.7649999999999988,0.03380181246888204,-0.03380181246888204
0.8100000000000005,0.0219701313354847,-0.0219701313354847
0.8550000000000004,0.010251664651163145,-0.010251664651163145
0.9000000000000004,0.002893676447446019,-0.002893676447446019
0.9450000000000003,0.005484725515347984,-0.005484725515347984
0.9900000000000002,0.011931395650124351,-0.011931395650124351
1.0350000000000001,0.018687386382290668,-0.018687386382290668
1.08,0.02363198479162773,-0.02363198479162773
1.125,0.03378734074183993,-0.03378734074183993
1.17,0.04396100765018427,-0.04396100765018427
1.2149999999999999,0.03704231757415899,-0.03704231757415899
1.2599999999999998,0.011332653782644066,-0.011332653782644066
1.3049999999999997,-0.0,0.0
1.3499999999999996,-0.0,0.0
1.3949999999999996,-0.0,0.0
1.4399999999999995,-0.0,0.0
1.4849999999999994,-0.0,0.0
1.5299999999999994,0.0011896973350333457,-0.0011896973350333457
1.5749999999999993,0.012784586298952214,-0.012784586298952214
1.6199999999999992,0.022876004650110464,-0.022876004650110464
1.6649999999999991,0.030492966767597503,-0.030492966767597503
1.709999999999999,0.03523479961515359,-0.03523479961515359
1.754999999999999,0.03723200601304581,-0.03723200601304581
1.799999999999999,0.03690785814361194,-0.03690785814361194
1.8449999999999989,0.034785666343794305,-0.034785666343794305
1.8899999999999988,0.031325468916580335,-0.031325468916580335
1.9349999999999987,0.026073709727515257,-0.026073709727515257
1.9800000000000004,0.01565721901074288,-0.01565721901074288
