s,l,field,reference,interpolated,relative_error
-1.5,-8.0,alpha,1.0,1.0,0.0
-1.5,-8.0,beta,0.0,0.0,0.0
-1.5,-8.0,gamma_ll,1.0,1.0,0.0
-1.5,-8.0,gamma_omega,67.06250000042323,67.06249999999999,6.31115580212772e-12
-1.5,-7.875,alpha,1.0,1.0,0.0
-1.5,-7.875,beta,0.0,0.0,0.0
-1.5,-7.875,gamma_ll,1.0,1.0,0.0
-1.5,-7.875,gamma_omega,65.07812500092317,65.078125,1.4185496954558187e-11
-1.5,-7.75,alpha,1.0,1.0,0.0
-1.5,-7.75,beta,0.0,0.0,0.0
-1.5,-7.75,gamma_ll,1.0,1.0,0.0
-1.5,-7.75,gamma_omega,63.1250000019873,63.12500000000001,3.148191146618277e-11
-1.5,-7.625,alpha,1.0,1.0,0.0
-1.5,-7.625,beta,0.0,0.0,0.0
-1.5,-7.625,gamma_ll,1.0,1.0,0.0
-1.5,-7.625,gamma_omega,61.203125004221945,61.20312500000002,6.89821662428217e-11
-1.5,-7.5,alpha,1.0,1.0,0.0
-1.5,-7.5,beta,0.0,0.0,0.0
-1.5,-7.5,gamma_ll,1.0,1.0,0.0
-1.5,-7.5,gamma_omega,59.31250000885164,59.3125,1.4923739469469864e-10
-1.5,-7.375,alpha,1.0,1.0,0.0
-1.5,-7.375,beta,0.0,0.0,0.0
-1.5,-7.375,gamma_ll,1.0,1.0,0.0
-1.5,-7.375,gamma_omega,57.45312501831428,57.45312499999998,3.187694830738061e-10
-1.5,-7.25,alpha,1.0,1.0,0.0
-1.5,-7.25,beta,0.0,0.0,0.0
-1.5,-7.25,gamma_ll,1.0,1.0,0.0
-1.5,-7.25,gamma_omega,55.62500003739427,55.62499999999998,6.72256968242148e-10
-1.5,-7.125,alpha,1.0,1.0,0.0
-1.5,-7.125,beta,0.0,0.0,0.0
-1.5,-7.125,gamma_ll,1.0,1.0,0.0
-1.5,-7.125,gamma_omega,53.828125075346634,53.82812500000001,1.3997631648907064e-09
-1.5,-7.0,alpha,1.0,1.0,0.0
-1.5,-7.0,beta,0.0,0.0,0.0
-1.5,-7.0,gamma_ll,1.0,1.0,0.0
-1.5,-7.0,gamma_omega,52.06250014981653,52.0625,2.877628399121902e-09
-1.5,-6.875,alpha,1.0,1.0,0.0
-1.5,-6.875,beta,0.0,0.0,0.0
-1.5,-6.875,gamma_ll,1.0,1.0,0.0
-1.5,-6.875,gamma_omega,50.328125293958536,50.328125,5.840840166772818e-09
