amplitude,presheath,s,z,crossings,width
flat_lapse_1,3.0,0.2,-1.2,1,0.0020010000000008077
flat_lapse_1,3.0,0.2,1.0,1,0.0
flat_lapse_1,3.0,0.3,2.7,1,0.0
flat_lapse_1,3.0,-0.6,0.8,1,0.0020010000000008077
flat_lapse_1,3.0,-0.5,-0.4,1,0.0020010000000008077
flat_lapse_1,3.0,-0.3,-0.0,1,0.0020010000000008077
flat_lapse_1,3.0,-0.2,0.2,1,0.0020010000000008077
flat_lapse_1,3.0,-0.4,-0.2,1,0.0020010000000008077
flat_lapse_1,3.0,-0.1,0.4,1,0.0020010000000008077
flat_lapse_1,3.0,-1.1,-1.7,1,0.0020010000000008077
flat_lapse_1,3.0,-0.6,-0.6,1,0.0020010000000008077
flat_lapse_1,3.0,0.3,1.3,1,0.0020010000000008077
flat_lapse_1,3.0,-0.7,-0.8,1,0.0020010000000008077
flat_lapse_1,3.0,-0.8,-1.0,1,0.0020010000000008077
flat_lapse_1,3.0,-1.2,-1.9,1,0.0020010000000008077
flat_lapse_1,3.0,-0.0,0.6,1,0.0008930000000004767
flat_lapse_1,3.0,-1.0,-1.5,1,0.000816000000000372
flat_lapse_1,3.0,0.2,1.1,1,0.0020010000000008077
flat_lapse_1,3.0,-0.7,-0.9,1,0.0
flat_lapse_1,3.0,0.4,1.4,1,0.0
flat_lapse_1,3.0,0.2,-1.1,1,0.0020010000000008077
flat_lapse_1,3.0,-0.8,-1.1,1,0.0
flat_lapse_1,3.0,0.8,1.8,1,0.0020010000000008077
flat_lapse_1,3.0,0.3,1.2,1,0.0
flat_lapse_1,3.0,0.5,1.6,1,0.0020010000000008077
flat_lapse_1,3.0,-1.3,-2.0,1,0.0020010000000008077
flat_lapse_1,3.0,0.7,1.7,1,0.0
flat_lapse_1,3.0,-3.7,-4.2,1,0.0
flat_lapse_1,3.0,-0.2,0.3,1,0.0020010000000008077
flat_lapse_1,3.0,-2.5,-3.1,1,0.0
flat_lapse_1,3.0,-3.5,-4.0,1,0.0
flat_lapse_1,3.0,-1.5,-2.2,1,0.0
flat_lapse_1,3.0,0.2,-1.3,1,0.0020010000000008077
flat_lapse_1,3.0,-3.8,-4.3,1,0.0
flat_lapse_1,3.0,-3.6,-4.1,1,0.0020010000000008077
flat_lapse_1,3.0,-2.8,-3.4,1,0.0
flat_lapse_1,3.0,-1.8,-2.5,1,0.0
flat_lapse_1,3.0,-2.7,-3.3,1,0.000128000000000128
flat_lapse_1,3.0,-1.7,-2.4,1,0.000128000000000128
flat_lapse_1,3.0,-2.4,-3.0,1,0.0020010000000008077
flat_lapse_1,3.0,-3.4,-3.9,1,0.0020010000000008077
flat_lapse_1,3.0,-1.4,-2.1,1,0.0020010000000008077
flat_lapse_1,3.0,-0.3,0.1,1,0.0020010000000008077
flat_lapse_1,3.0,-2.6,-3.2,1,0.0012010000000008958
flat_lapse_1,3.0,-1.6,-2.3,1,0.001200000000000756
flat_lapse_1,3.0,-0.1,0.5,1,0.0020010000000008077
flat_lapse_1,3.0,-1.1,-1.6,1,0.0020010000000008077
flat_lapse_1,3.0,-3.0,-3.6,1,0.0
flat_lapse_1,3.0,-2.0,-2.7,1,0.0
flat_lapse_1,3.0,0.2,2.5,1,0.001876000000001099
flat_lapse_1,3.0,-2.3,-2.9,1,0.0020010000000008077
flat_lapse_1,3.0,-3.3,-3.8,1,0.0020010000000008077
flat_lapse_1,3.0,-0.7,0.6,1,0.0020010000000008077
flat_lapse_1,3.0,0.1,2.3,1,0.0
flat_lapse_1,3.0,-0.9,0.2,1,0.0
flat_lapse_1,3.0,-0.4,-0.1,1,0.0020010000000008077
flat_lapse_1,3.0,-0.0,2.1,1,0.0
flat_lapse_1,3.0,-2.9,-3.5,1,0.0
flat_lapse_1,3.0,-1.9,-2.6,1,0.0
flat_lapse_1,3.0,-0.8,0.4,1,0.0001230000000003173
flat_lapse_1,4.0,0.2,-1.2,1,0.0020009999999999195
flat_lapse_1,4.0,-0.4,-0.1,1,0.0020009999999999195
flat_lapse_1,4.0,-0.5,-0.3,1,0.0020009999999999195
flat_lapse_1,4.0,-0.3,-0.0,1,0.0020009999999999195
flat_lapse_1,4.0,-0.2,0.2,1,0.0020009999999999195
flat_lapse_1,4.0,0.2,-1.1,1,0.0020009999999999195
flat_lapse_1,4.0,-0.4,-0.2,1,0.0020009999999999195
flat_lapse_1,4.0,-0.9,-0.1,1,0.0012050000000001226
flat_lapse_1,4.0,-0.1,0.4,1,0.0020009999999999195
flat_lapse_1,4.0,-0.5,-0.4,1,0.0020009999999999195
flat_lapse_1,4.0,-1.1,-1.7,1,0.0020009999999999195
flat_lapse_1,4.0,1.0,2.2,1,0.0011339999999999684
flat_lapse_1,4.0,-0.9,-1.1,1,0.0016399999999996417
flat_lapse_1,4.0,0.1,1.0,1,0.0016539999999998223
flat_lapse_1,4.0,-1.2,-1.9,1,0.0020009999999999195
flat_lapse_1,4.0,-0.8,0.1,1,0.001276000000000277
flat_lapse_1,4.0,0.9,2.2,1,0.001014999999999766
flat_lapse_1,4.0,-0.8,-0.9,1,0.001675000000000093
flat_lapse_1,4.0,0.9,2.0,1,0.0018530000000001046
flat_lapse_1,4.0,-0.6,-0.6,1,0.0020009999999999195
flat_lapse_1,4.0,0.2,1.2,1,0.0015710000000002111
flat_lapse_1,4.0,0.3,1.3,1,0.0020009999999999195
flat_lapse_1,4.0,-0.7,-0.8,1,0.0020009999999999195
flat_lapse_1,4.0,-0.6,-0.5,1,0.0018959999999998978
flat_lapse_1,4.0,-0.3,1.1,1,0.001980000000000093
flat_lapse_1,4.0,0.4,1.4,1,0.0017730000000000246
flat_lapse_1,4.0,0.3,2.5,1,0.0008780000000001564
flat_lapse_1,4.0,-4.0,-4.3,1,0.0013230000000001851
flat_lapse_1,4.0,-0.8,-1.0,1,0.0020009999999999195
flat_lapse_1,4.0,0.2,-1.3,1,0.0020009999999999195
flat_lapse_1,4.0,0.9,3.2,1,0.0008909999999997531
flat_lapse_1,4.0,0.3,-2.0,1,0.0015430000000002941
flat_lapse_1,4.0,0.1,2.0,1,0.0008520000000000749
flat_lapse_1,4.0,-0.0,0.6,1,0.0019059999999999633
flat_lapse_1,4.0,0.2,2.4,1,0.001250999999999891
flat_lapse_1,4.0,-1.0,-1.5,1,0.0019010000000001526
flat_lapse_1,4.0,-0.7,-0.9,1,0.0016769999999999285
flat_lapse_1,4.0,-0.8,0.3,1,0.0011999999999998678
flat_lapse_1,4.0,0.3,1.2,1,0.0015339999999999243
flat_lapse_1,4.0,0.3,2.6,1,0.0012490000000000556
flat_lapse_1,4.0,0.2,1.1,1,0.001866999999999841
flat_lapse_1,4.0,-0.4,0.1,1,0.0007780000000003895
flat_lapse_1,4.0,-0.7,-0.7,1,0.0016049999999996345
flat_lapse_1,4.0,-0.5,0.9,1,0.001052000000000053
flat_lapse_1,4.0,0.2,1.0,1,0.001578999999999997
flat_lapse_1,4.0,-1.0,-0.3,1,0.0009809999999998986
flat_lapse_1,4.0,0.1,0.9,1,0.0019450000000000855
flat_lapse_1,4.0,-0.5,-0.1,1,0.0007990000000002162
flat_lapse_1,4.0,-0.9,-1.2,1,0.0019249999999999545
flat_lapse_1,4.0,-0.8,-1.1,1,0.0015359999999997598
flat_lapse_1,4.0,-2.6,-3.1,1,0.0009790000000000632
flat_lapse_1,4.0,-3.6,-4.0,1,0.0009790000000000632
flat_lapse_1,4.0,-1.6,-2.2,1,0.0009790000000000632
flat_lapse_1,4.0,-0.4,1.0,1,0.0012199999999999989
flat_lapse_1,4.0,-3.7,-4.2,1,0.0012790000000002522
flat_lapse_1,4.0,-0.2,0.3,1,0.0020009999999999195
flat_lapse_1,4.0,0.4,1.5,1,0.0019329999999997405
flat_lapse_1,4.0,1.0,2.3,1,0.0008080000000001419
flat_lapse_1,4.0,-4.1,-4.3,1,0.0010550000000000281
flat_lapse_1,4.0,0.6,2.9,1,0.0005519999999998859
flat_lapse_1,5.0,0.2,-1.2,1,0.0018299999999995542
flat_lapse_1,5.0,0.9,2.0,1,0.00035600000000046705
flat_lapse_1,5.0,-0.6,-0.5,1,0.0003699999999997594
flat_lapse_1,5.0,-0.3,1.1,1,0.0003959999999998409
flat_lapse_1,5.0,0.3,-2.0,1,0.0002990000000000492
flat_lapse_1,5.0,-0.7,-0.7,1,0.00031900000000018025
flat_lapse_1,5.0,-0.4,1.0,1,0.000236000000000125
flat_lapse_1,5.0,-0.7,0.5,1,0.0002140000000001585
flat_lapse_1,5.0,-1.3,-1.9,1,0.00021100000000018326
flat_lapse_1,5.0,0.7,1.9,1,0.00028200000000033754
flat_lapse_1,5.0,-0.4,0.9,1,0.000380000000000269
flat_lapse_1,5.0,0.8,2.0,1,0.00033600000000033603
flat_lapse_1,5.0,0.3,1.4,1,0.0003100000000002545
flat_lapse_1,5.0,-0.9,-1.0,1,0.00020200000000025753
flat_lapse_1,5.0,-4.1,-4.4,1,0.00023499999999998522
flat_lapse_1,5.0,0.1,1.1,1,0.00019999999999997797
flat_lapse_1,5.0,0.6,1.8,1,0.00023399999999984544
flat_lapse_1,5.0,0.5,1.7,1,0.000220000000000109
flat_lapse_1,5.0,0.3,-2.1,1,0.00021800000000027353
flat_lapse_1,5.0,-0.6,0.7,1,0.0001930000000003318
flat_lapse_1,5.0,-1.0,-1.1,1,0.00020600000000037255
flat_lapse_1,5.0,-0.0,1.0,1,0.00020200000000025753
flat_lapse_1,5.0,1.0,2.1,1,0.0002670000000000172
flat_lapse_1,5.0,-3.3,-3.7,1,0.00016800000000039006
flat_lapse_1,5.0,-2.3,-2.8,1,0.00016800000000039006
flat_lapse_1,5.0,0.2,-1.1,1,0.0005540000000001655
flat_lapse_1,5.0,-0.3,-0.0,1,0.00044700000000030826
flat_lapse_1,5.0,-0.2,0.2,1,0.00043699999999979866
flat_lapse_1,5.0,-0.3,0.2,1,0.00029300000000009874
flat_lapse_1,5.0,-0.4,-0.2,1,0.000452000000000119
flat_lapse_1,5.0,-4.2,-4.3,1,0.0001490000000003988
flat_lapse_1,5.0,-4.1,-4.5,1,0.00019199999999974793
flat_lapse_1,5.0,-0.1,0.4,1,0.0004129999999999967
flat_lapse_1,5.0,-0.5,-0.4,1,0.0004499999999998394
flat_lapse_1,5.0,-1.1,-1.7,1,0.0004119999999998569
flat_lapse_1,5.0,0.7,3.1,1,0.0001610000000002998
flat_lapse_1,5.0,-1.2,-1.9,1,0.0003869999999999152
flat_lapse_1,5.0,0.9,2.1,1,0.0003420000000002865
flat_lapse_1,5.0,-3.2,-3.6,1,0.00016199999999999548
flat_lapse_1,5.0,-2.2,-2.7,1,0.00016199999999999548
flat_lapse_1,5.0,0.8,3.2,1,0.00018399999999996197
flat_lapse_1,5.0,-1.0,-1.3,1,0.0002530000000002808
flat_lapse_1,5.0,-0.0,0.8,1,0.00025500000000011624
flat_lapse_1,5.0,-0.4,-0.0,1,0.00027700000000008274
flat_lapse_1,5.0,-1.0,-0.2,1,0.00023800000000040455
flat_lapse_1,5.0,-0.0,1.9,1,0.00023800000000040455
flat_lapse_1,5.0,-4.9,-4.5,1,7.200000000029405e-05
flat_lapse_1,5.0,-0.6,-0.6,1,0.0004279999999998729
flat_lapse_1,5.0,-0.2,0.4,1,0.0002830000000000332
flat_lapse_1,5.0,-0.3,1.2,1,0.0002140000000001585
flat_lapse_1,5.0,-1.2,-1.7,1,0.00026100000000006673
flat_lapse_1,5.0,-1.5,-1.1,1,0.00015199999999992997
flat_lapse_1,5.0,-0.9,-0.0,1,0.00024000000000024002
flat_lapse_1,5.0,0.6,3.0,1,0.00013700000000049783
flat_lapse_1,5.0,-1.4,-1.0,1,0.0001500000000000945
flat_lapse_1,5.0,0.3,1.3,1,0.00039200000000017
flat_lapse_1,5.0,0.1,2.1,1,0.00023800000000040455
flat_lapse_1,5.0,0.5,2.9,1,0.0001340000000000785
flat_lapse_1,5.0,-3.1,-3.5,1,0.0001550000000003493
flat_lapse_1,5.0,-2.1,-2.6,1,0.0001550000000003493
flat_lapse_1,6.0,0.2,-1.2,1,0.0003589999999999982
flat_lapse_1,6.0,-0.9,-0.2,1,6.100000000053285e-05
flat_lapse_1,6.0,-0.8,-0.0,1,5.100000000002325e-05
flat_lapse_1,6.0,-0.3,0.3,1,3.300000000017178e-05
flat_lapse_1,6.0,0.9,3.1,1,4.1000000000401826e-05
flat_lapse_1,6.0,-0.7,0.3,1,6.100000000053285e-05
flat_lapse_1,6.0,1.0,3.1,1,2.9000000000500847e-05
flat_lapse_1,6.0,0.8,3.0,1,3.500000000045134e-05
flat_lapse_1,6.0,0.7,2.9,1,2.700000000022129e-05
flat_lapse_1,6.0,0.2,2.2,1,3.6999999999842714e-05
flat_lapse_1,6.0,0.2,-1.1,1,0.00011399999999994748
flat_lapse_1,6.0,-0.3,-0.0,1,8.900000000000574e-05
flat_lapse_1,6.0,-0.2,0.2,1,8.699999999972619e-05
flat_lapse_1,6.0,-0.4,-0.2,1,9.10000000002853e-05
flat_lapse_1,6.0,0.3,2.4,1,3.6000000000147026e-05
flat_lapse_1,6.0,-0.5,-0.4,1,9.10000000002853e-05
flat_lapse_1,6.0,-0.1,0.4,1,8.199999999991547e-05
flat_lapse_1,6.0,-1.1,-1.7,1,8.199999999991547e-05
flat_lapse_1,6.0,-1.2,-1.9,1,7.700000000010476e-05
flat_lapse_1,6.0,-0.6,-0.6,1,8.699999999972619e-05
flat_lapse_1,6.0,0.3,1.3,1,7.900000000038432e-05
flat_lapse_1,6.0,-0.7,-0.8,1,7.800000000024454e-05
flat_lapse_1,6.0,0.4,1.4,1,5.699999999997374e-05
flat_lapse_1,6.0,-0.8,-1.0,1,7.100000000015427e-05
flat_lapse_1,6.0,0.2,-1.3,1,0.00010900000000013677
flat_lapse_1,6.0,-0.6,-0.3,1,3.500000000045134e-05
flat_lapse_1,6.0,0.9,2.3,1,1.5000000000320313e-05
flat_lapse_1,6.0,-0.0,0.6,1,7.100000000015427e-05
flat_lapse_1,6.0,0.3,2.2,1,1.09999999997612e-05
flat_lapse_1,6.0,-1.0,-1.5,1,7.100000000015427e-05
flat_lapse_1,6.0,0.9,3.0,1,2.700000000022129e-05
flat_lapse_1,6.0,-0.7,-0.9,1,5.599999999983396e-05
flat_lapse_1,6.0,-0.7,0.2,1,3.6999999999842714e-05
flat_lapse_1,6.0,0.6,2.8,1,1.8999999999991246e-05
flat_lapse_1,6.0,1.2,3.4,1,9.000000000369823e-06
flat_lapse_1,6.0,0.3,1.2,1,4.899999999974369e-05
flat_lapse_1,6.0,0.2,1.1,1,6.500000000020378e-05
flat_lapse_1,6.0,0.8,2.2,1,1.09999999997612e-05
flat_lapse_1,6.0,0.2,1.0,1,5.200000000016303e-05
flat_lapse_1,6.0,1.1,2.4,1,2.3000000000550358e-05
flat_lapse_1,6.0,0.1,0.9,1,7.100000000015427e-05
flat_lapse_1,6.0,1.0,2.4,1,9.000000000369823e-06
flat_lapse_1,6.0,-4.7,-4.0,1,3.000000000419334e-06
flat_lapse_1,6.0,-3.7,-3.1,1,3.000000000419334e-06
flat_lapse_1,6.0,-0.9,-1.2,1,7.00000000000145e-05
flat_lapse_1,6.0,-2.7,-2.2,1,3.000000000419334e-06
flat_lapse_1,6.0,-0.8,-1.1,1,5.100000000002325e-05
flat_lapse_1,6.0,-0.2,0.3,1,9.300000000056485e-05
flat_lapse_1,6.0,0.1,1.9,1,2.4999999999941735e-05
flat_lapse_1,6.0,0.4,1.5,1,7.100000000015427e-05
flat_lapse_1,6.0,-3.7,-4.2,1,3.900000000012227e-05
flat_lapse_1,6.0,1.0,3.0,1,1.09999999997612e-05
flat_lapse_1,6.0,1.2,3.3,1,0.0
flat_lapse_1,6.0,0.6,2.7,1,9.000000000369823e-06
flat_lapse_1,6.0,-0.3,0.1,1,9.300000000056485e-05
flat_lapse_1,6.0,-1.2,-1.8,1,8.300000000005525e-05
flat_lapse_1,6.0,0.7,2.1,1,3.000000000419334e-06
flat_lapse_1,6.0,0.8,1.8,1,5.200000000016303e-05
flat_lapse_1,6.0,-0.1,0.5,1,8.799999999986596e-05
flat_lapse_1,6.0,-1.1,-1.6,1,8.799999999986596e-05
flat_lapse_1,6.5,0.2,-1.2,1,0.00016800000000039006
flat_lapse_1,6.5,-0.6,-0.4,1,2.1000000000270802e-05
flat_lapse_1,6.5,-1.1,-1.5,1,2.3000000000550358e-05
flat_lapse_1,6.5,-0.1,0.6,1,2.3000000000550358e-05
flat_lapse_1,6.5,0.8,2.1,1,1.8999999999991246e-05
flat_lapse_1,6.5,-0.9,-0.1,1,2.9000000000500847e-05
flat_lapse_1,6.5,0.8,3.1,1,1.699999999971169e-05
flat_lapse_1,6.5,1.0,2.2,1,2.700000000022129e-05
flat_lapse_1,6.5,-0.8,0.1,1,3.300000000017178e-05
flat_lapse_1,6.5,0.9,2.2,1,2.3000000000550358e-05
flat_lapse_1,6.5,0.7,2.0,1,1.3000000000040757e-05
flat_lapse_1,6.5,0.4,2.7,1,1.3000000000040757e-05
flat_lapse_1,6.5,1.1,2.2,1,9.000000000369823e-06
flat_lapse_1,6.5,0.3,2.5,1,1.8999999999991246e-05
flat_lapse_1,6.5,-0.8,-0.8,1,1.09999999997612e-05
flat_lapse_1,6.5,-1.2,-0.6,1,9.000000000369823e-06
flat_lapse_1,6.5,0.9,3.2,1,1.8999999999991246e-05
flat_lapse_1,6.5,0.1,2.0,1,1.699999999971169e-05
flat_lapse_1,6.5,-0.4,0.1,1,1.5000000000320313e-05
flat_lapse_1,6.5,-1.0,-0.3,1,2.3000000000550358e-05
flat_lapse_1,6.5,-0.5,-0.1,1,1.699999999971169e-05
flat_lapse_1,6.5,1.0,2.3,1,1.699999999971169e-05
flat_lapse_1,6.5,0.6,2.9,1,0.0
flat_lapse_1,6.5,-0.0,1.8,1,1.699999999971169e-05
flat_lapse_1,6.5,1.0,3.3,1,1.3000000000040757e-05
flat_lapse_1,6.5,-3.8,-3.1,1,0.0
flat_lapse_1,6.5,-4.8,-4.0,1,0.0
flat_lapse_1,6.5,-2.8,-2.2,1,0.0
flat_lapse_1,6.5,1.0,3.2,1,1.5000000000320313e-05
flat_lapse_1,6.5,-0.9,-0.2,1,2.9000000000500847e-05
flat_lapse_1,6.5,-3.9,-3.2,1,0.0
flat_lapse_1,6.5,-2.9,-2.3,1,0.0
flat_lapse_1,6.5,0.6,1.9,1,0.0
flat_lapse_1,6.5,1.1,3.5,1,0.0
flat_lapse_1,6.5,-4.3,-4.5,1,1.3000000000040757e-05
flat_lapse_1,6.5,-1.3,-0.8,1,0.0
flat_lapse_1,6.5,-0.8,-0.0,1,2.3000000000550358e-05
flat_lapse_1,6.5,-3.0,-3.3,1,0.0
flat_lapse_1,6.5,-2.0,-2.4,1,0.0
flat_lapse_1,6.5,-4.0,-3.3,1,0.0
flat_lapse_1,6.5,-3.0,-2.4,1,0.0
flat_lapse_1,6.5,1.1,3.3,1,4.000000000115023e-06
flat_lapse_1,6.5,-0.3,0.3,1,1.09999999997612e-05
flat_lapse_1,6.5,0.3,2.3,1,4.999999999810711e-06
flat_lapse_1,6.5,0.9,3.1,1,1.699999999971169e-05
flat_lapse_1,6.5,-0.7,0.3,1,2.9000000000500847e-05
flat_lapse_1,6.5,-4.1,-3.4,1,0.0
flat_lapse_1,6.5,-3.1,-2.5,1,0.0
flat_lapse_1,6.5,-2.2,-1.6,1,0.0
flat_lapse_1,6.5,1.0,3.1,1,7.000000000090267e-06
flat_lapse_1,6.5,0.8,3.0,1,1.3000000000040757e-05
flat_lapse_1,6.5,-2.9,-3.2,1,0.0
flat_lapse_1,6.5,-1.9,-2.3,1,0.0
flat_lapse_1,6.5,0.4,2.5,1,0.0
flat_lapse_1,6.5,-4.2,-3.5,1,0.0
flat_lapse_1,6.5,-3.2,-2.6,1,0.0
flat_lapse_1,6.5,1.1,3.2,1,0.0
flat_lapse_1,6.5,0.7,2.9,1,4.999999999810711e-06
flat_lapse_1,6.5,0.2,2.2,1,1.3000000000040757e-05
