family,speed,decel,label,launch,zeta0,r0,angle_deg,far_plane,exterior_light_arrival,anec,anec_compartment,anec_hole_boundary,anec_shift_region,anec_pattern_lapse,anec_cone,anec_flat,lowest_partial,most_negative_integrand,far_plane_arrival,final_energy
departure,2.1,6.0,departure_0,0.0,0.0,0.0,0.0,14.600000000000001,14.600000000000001,-0.0011584561502385046,0.0,0.0,0.0,0.0,-0.0011584561502385046,0.0,-0.0011584561502385046,-0.16593956677030908,3.244000000000005,0.43236733738791294
departure,2.1,6.0,departure_0.5,0.0,0.0,0.0,0.5,14.600000000000001,14.600000000000001,1.0586035643436318,0.0,1.0560662264417466,0.0001347538407954986,0.0024025840610896734,0.0,0.0,-0.00023230118020824058,-0.0803670491623258,,0.9164998364745971
departure,2.1,6.0,departure_1,0.0,0.0,0.0,1.0,14.600000000000001,14.600000000000001,0.003299623665345304,0.0,-0.0017952398915438243,0.0015623300878864813,0.003532533469002647,0.0,0.0,-0.0034259809541266214,-0.33304174869455,,0.33540372196706847
departure,2.1,6.0,departure_2,0.0,0.0,0.0,2.0,14.600000000000001,14.600000000000001,0.4059365404253248,0.0,0.24481559463765015,0.1039224155809973,0.0571985302066773,0.0,0.0,-0.0172956611465325,-5.019252516352324,,5.070988140252379
departure,2.1,6.0,departure_5,0.0,0.0,0.0,5.0,14.600000000000001,14.600000000000001,0.36935055010162965,0.0,0.36935055010162965,0.0,0.0,0.0,0.0,0.0,0.0,,1.000276106640945
departure,2.1,6.0,departure_10,0.0,0.0,0.0,10.0,14.600000000000001,14.600000000000001,0.7465917560625002,0.0,0.7465917560625002,0.0,0.0,0.0,0.0,0.0,0.0,,0.9690733174515391
departure,2.1,6.0,departure_20,0.0,0.0,0.0,20.0,14.600000000000001,14.600000000000001,1.5878626141724463,0.0,1.5878626141724463,0.0,0.0,0.0,0.0,0.0,0.0,,0.913221882441906
departure,2.1,6.0,departure_45,0.0,0.0,0.0,45.0,14.600000000000001,14.600000000000001,2.555769405816767,0.0,2.555769405816767,0.0,0.0,0.0,0.0,0.0,0.0,,1.2080591018618905
departure,2.1,6.0,departure_90,0.0,0.0,0.0,90.0,14.600000000000001,14.600000000000001,0.020894956623040518,0.0,0.02542882636394085,0.00018387027197059385,-0.004717740012870927,0.0,0.0,0.0,-0.019006236527950148,,1.2408586918375806
departure,2.1,6.0,departure_135,0.0,0.0,0.0,135.0,14.600000000000001,14.600000000000001,2.5557694058837592,0.0,2.5557694058837592,0.0,0.0,0.0,0.0,0.0,0.0,,1.2080591018697344
departure,2.1,6.0,departure_180,0.0,0.0,0.0,180.0,14.600000000000001,14.600000000000001,8.62083354245851e-34,0.0,5.716299228354918e-33,1.696857296455863e-32,-2.18227888386677e-32,0.0,0.0,-6.240312216385921e-32,-1.6522159007716535e-29,,0.3306308378361034
crossing,2.1,6.0,against_axis,3.0,61.998711305964285,0.0,180.0,14.600000000000001,,-0.3205330082894922,0.0,0.0,0.0,0.0,-0.3205330082894922,0.0,-0.3205330082894922,-0.27061166747360754,-3.0,0.4603537492844626
crossing,2.1,6.0,against_r3,3.0,61.998711305964285,3.0,180.0,14.600000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0
crossing,2.1,6.0,overtaken_axis,3.0,61.998711305964285,0.0,0.0,14.600000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0
crossing,2.1,6.0,overtaken_r1,3.0,61.998711305964285,1.0,0.0,14.600000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0
crossing,2.1,6.0,overtaken_r6,3.0,61.998711305964285,6.0,0.0,14.600000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0
crossing,2.1,6.0,side_at_packet,3.0,27.3,13.0,-90.0,14.600000000000001,,0.0029923272004853444,0.0,0.0,0.0,0.0,0.0029923272004853444,0.0,-1.1437365903637216e-65,-0.0003666374774266238,-3.0,0.3858709175825639
crossing,2.1,6.0,side_at_shift,3.0,30.3,13.0,-90.0,14.600000000000001,,0.0009868061561905033,0.0,0.0,0.0,0.0,0.0009868061561905033,0.0,-2.70595704222717e-62,-6.764892605567924e-60,-3.0,0.922825860162958
crossing,2.1,6.0,side_at_cone,3.0,45.79935565298214,13.0,-90.0,14.600000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0
crossing,2.1,6.0,behind_forward,3.0,-20.0,0.0,0.0,14.600000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
