family,probe,rate,radii,nonvacuum,type_iv,type_iv_inner,type_iv_outer,opposite_radial_null,radial_null_sum_crossings,estimated_radial_band_width,min_null,max_abs_flux_nr,max_abs_flux_nz,a0,c0,lapse,shift,c_rate,b0,stretch,b_rate,a_rate
band_width,amplitude decay,0.01,8000,7975,1,4.965637892236529,4.965637892236529,1,1,0.00013332738725820676,-0.4025269405594765,0.0007079283935686035,0.0,,,,,,,,,
band_width,amplitude decay,0.05,8000,7975,6,4.9648881735216905,4.9661377047130895,6,1,0.0006666370371490452,-0.40817825233514304,0.003539641967843016,0.0,,,,,,,,,
band_width,amplitude decay,0.3,8000,7975,33,4.961639392424053,4.969636392049006,33,1,0.0039998442857361064,-0.44351109346675033,0.0212378518070581,0.0,,,,,,,,,
band_width,amplitude decay,1.0,8000,7975,108,4.95339248656082,4.980132454056757,108,1,0.01333357917076665,-0.5424912300843397,0.07079283935686033,0.0,,,,,,,,,
band_width,translation,0.01,8000,7950,0,,,0,1,2.818159908921692e-05,-0.40579286364240075,0.0035598454659922247,0.0,,,,,,,,,
band_width,translation,0.05,8000,7950,1,4.965637892236529,4.965637892236529,1,1,0.0001409077321981851,-0.4253996060467737,0.01779922732996112,0.0,,,,,,,,,
band_width,translation,0.3,8000,7950,6,4.9648881735216905,4.9661377047130895,6,1,0.0008453888100150971,-0.6081505885009826,0.10679536397976673,0.0,,,,,,,,,
band_width,translation,0.9,8000,7950,20,4.963138829853731,4.967887048381048,20,1,0.002534745455945427,-1.2886736585596208,0.3203860919393002,0.0,,,,,,,,,
band_width,translation,1.0,8000,7949,22,4.962888923615452,4.968136954619327,22,1,0.0028159673639852295,-1.4267322989682756,0.3559845465992224,0.0,,,,,,,,,
band_width,translation,1.5,8000,7950,33,4.961389486185773,4.969386485810727,33,1,0.004219843702336186,-2.222596655362303,0.5339768198988336,0.0,,,,,,,,,
attribution,"shift only, static",,8000,7942,6933,1.7577472809101138,3.742252719089886,0,0,0.0,-0.04341114807273723,0.0,0.019667503920501185,,,,,,,,,
attribution,"shift only, moving",,8000,7942,5066,1.7577472809101138,3.742252719089886,0,0,0.0,-0.048695033274425134,0.0,0.019667503920501185,,,,,,,,,
attribution,"lapse only, time dependent",,8000,7948,0,,,0,0,0.0,-0.3471225678088377,0.0,0.0,,,,,,,,,
attribution,"stretch only, static",,8000,7948,0,,,0,1,0.0,-1.6094899033120382,0.0,0.0,,,,,,,,,
attribution,"stretch only, decaying",,8000,7974,2059,1.8264714964370545,2.402005563195399,2059,4,0.2602234595469816,-2.258923809441062,0.3844251100658936,0.0,,,,,,,,,
attribution,"lapse and stretch, static",,8000,7950,0,,,0,1,0.0,-0.4384568095700165,0.0,0.0,,,,,,,,,
attribution,"all three co-located, static",,8000,7950,7897,1.7567476559569946,3.7432523440430048,0,1,0.0,-0.47524231925778554,0.0,0.16228599541555128,,,,,,,,,
staged,shift and lapse co-located,,8000,1926,0,,,0,0,0.0,-0.34717142269398504,0.0,0.015524319586833178,6.4,0.6,,,,,,,
staged,shift inside lapse envelope,,8000,3851,0,,,0,0,0.0,-0.08857273628858066,0.0,0.0020299886570724255,6.4,0.6,"[1.75, 4.0]","[2.75, 1.0]",,,,,
staged,"shift inside lapse envelope, beta 1.6, moving",,8000,3851,0,,,0,0,0.0,-0.08857273628858066,0.0,0.005413303085526468,6.4,1.6,"[1.75, 4.0]","[2.75, 1.0]",1.5,,,,
staged,stretch co-located with shift inside envelope,,8000,3851,1,3.6356321415176893,3.6356321415176893,0,2,0.0,-2.7070797201031938,0.0,0.03289383093117358,6.4,0.6,"[1.75, 4.0]","[2.75, 1.0]",,6.7,"[2.25, 1.5]",,
staged,shift before stretch inside envelope,,8000,3851,525,2.0268760470058758,2.7858789223652956,0,2,0.0,-2.489341847581703,0.0,0.2548172144388428,6.4,0.6,"[1.75, 4.0]","[2.0, 0.8]",,6.7,"[3.5, 1.5]",,
staged,stretch before shift inside envelope,,8000,3862,0,,,0,1,0.0,-6.298287018180143,0.0,0.004288381374679285,6.4,0.6,"[1.75, 4.0]","[3.0, 1.0]",,6.7,"[1.75, 1.0]",,
staged,"stretch before shift, beta 1.6, moving",,8000,3862,0,,,0,1,0.0,-6.298287018180143,0.0,0.01143568366581143,6.4,1.6,"[1.75, 4.0]","[3.0, 1.0]",1.5,6.7,"[1.75, 1.0]",,
staged,"stretch before shift, stretch decaying 0.3",,8000,3865,0,,,0,2,1.3470527808458526e-05,-6.298287155112244,0.00019623058508993663,0.004288381374679285,6.4,0.6,"[1.75, 4.0]","[3.0, 1.0]",,6.7,"[1.75, 1.0]",-0.3,
staged,"stretch before shift, stretch and lapse decaying 0.3",,8000,3862,0,,,0,1,1.3470527837092451e-05,-6.298287155112239,0.00019623058508993663,0.004288381374679285,6.4,0.6,"[1.75, 4.0]","[3.0, 1.0]",,6.7,"[1.75, 1.0]",-0.3,-0.3
staged,"stretch before shift, weak lapse 2",,8000,3861,751,3.040598637329666,3.955320852606575,0,1,0.0,-0.7988336455318231,0.0,0.027564441223089733,2.0,0.6,"[1.75, 4.0]","[3.0, 1.0]",,2.2,"[1.75, 1.0]",,
staged,"stretch before shift, weak lapse 4",,8000,3862,0,,,0,1,0.0,-2.5462761952736606,0.0,0.011834482523383472,4.0,0.6,"[1.75, 4.0]","[3.0, 1.0]",,4.2,"[1.75, 1.0]",,
