id,layout,module,compartment_count,compartment,domain,boundary,angular_index,geometry_stride,nodes,control,lowest_squared_frequency
0,broad,0,1,0,"[np.float64(-2.95), np.float64(2.45)]",dirichlet,0,1,257,mesh,2.5895013872390535
1,broad,0,1,0,"[np.float64(-2.95), np.float64(2.45)]",dirichlet,0,1,513,mesh,2.588923228696487
2,broad,0,1,0,"[np.float64(-2.95), np.float64(2.45)]",dirichlet,0,1,1025,mesh,2.588778718203571
3,broad,0,1,0,"[np.float64(-2.95), np.float64(2.45)]",dirichlet,0,2,1025,metric,2.588778718204516
4,broad,0,1,0,"[np.float64(-2.95), np.float64(2.45)]",dirichlet,0,4,1025,metric,2.5887787182309765
5,broad,0,1,0,"[np.float64(-2.95), np.float64(2.45)]",dirichlet,1,1,1025,angular,4.444621265509262
6,broad,0,1,0,"[np.float64(-2.95), np.float64(2.45)]",dirichlet,2,1,1025,angular,6.296381897152778
7,broad,0,8,0,"[np.float64(-2.95), np.float64(-2.1735135121382765)]",dirichlet,0,1,257,mesh,11.734639201657377
8,broad,0,8,0,"[np.float64(-2.95), np.float64(-2.1735135121382765)]",dirichlet,0,1,513,mesh,11.734508673187387
9,broad,0,8,0,"[np.float64(-2.95), np.float64(-2.1735135121382765)]",dirichlet,0,1,1025,mesh,11.734476041230291
10,broad,0,8,0,"[np.float64(-2.95), np.float64(-2.1735135121382765)]",dirichlet,0,2,1025,metric,11.734476041243617
11,broad,0,8,0,"[np.float64(-2.95), np.float64(-2.1735135121382765)]",dirichlet,0,4,1025,metric,11.734476041010819
12,broad,0,8,1,"[np.float64(-2.1735135121382765), np.float64(-1.6544248432915611)]",dirichlet,0,1,257,mesh,13.861231821912652
13,broad,0,8,1,"[np.float64(-2.1735135121382765), np.float64(-1.6544248432915611)]",dirichlet,0,1,513,mesh,13.861116745240452
14,broad,0,8,1,"[np.float64(-2.1735135121382765), np.float64(-1.6544248432915611)]",dirichlet,0,1,1025,mesh,13.861087976116309
15,broad,0,8,2,"[np.float64(-1.6544248432915611), np.float64(-1.102566052474787)]",dirichlet,0,1,257,mesh,59.32411208776222
