label,compartments_per_module,strength_pattern,bulk_samples,geometry_stride,quadrature_order,radial_only_status,angular_relaxation_status,summed_compartment_central_charge,maximum_absolute_wall_force,maximum_ordinary_target_density,offgrid_minimum_dec_margin
broad,1,independent_per_compartment,2049,1,8,2,2,,,,
broad,1,independent_per_compartment,4097,1,8,2,2,,,,
broad,1,independent_per_compartment,8193,1,8,2,2,,,,
broad,2,independent_per_compartment,2049,1,8,2,2,,,,
broad,2,independent_per_compartment,4097,1,8,2,2,,,,
broad,2,independent_per_compartment,8193,1,8,2,2,,,,
broad,4,independent_per_compartment,2049,1,8,2,2,,,,
broad,4,independent_per_compartment,4097,1,8,2,2,,,,
broad,4,independent_per_compartment,8193,1,8,2,2,,,,
broad,8,independent_per_compartment,2049,1,8,2,2,,,,
broad,8,independent_per_compartment,4097,1,8,2,2,,,,
broad,8,independent_per_compartment,8193,1,8,2,2,,,,
broad,16,independent_per_compartment,2049,1,8,2,2,,,,
broad,16,independent_per_compartment,4097,1,8,2,2,,,,
broad,16,independent_per_compartment,8193,1,8,2,2,,,,
broad,32,independent_per_compartment,2049,1,8,2,0,16854287.504700284,9.030015076019787,0.097986615952735,-4.701913913218725e-07
broad,32,independent_per_compartment,4097,1,8,2,0,16854287.915898558,9.030015076019787,0.097986615952735,-8.319056603312003e-08
broad,32,independent_per_compartment,8193,1,8,2,0,16854288.207025662,9.030015076019787,0.097986615952735,-4.540242110051551e-08
broad,32,independent_per_compartment,8193,1,16,2,0,16854288.20702564,9.030015076019783,0.0979910622268631,-4.540242110051551e-08
broad,32,independent_per_compartment,8193,2,8,2,0,16854315.869552813,9.029996222426629,0.09798339913813477,-4.387493593854819e-07
broad,1,uniform_per_module,2049,1,8,2,2,,,,
broad,1,uniform_per_module,4097,1,8,2,2,,,,
broad,1,uniform_per_module,8193,1,8,2,2,,,,
broad,2,uniform_per_module,2049,1,8,2,2,,,,
broad,2,uniform_per_module,4097,1,8,2,2,,,,
broad,2,uniform_per_module,8193,1,8,2,2,,,,
broad,4,uniform_per_module,2049,1,8,2,2,,,,
broad,4,uniform_per_module,4097,1,8,2,2,,,,
broad,4,uniform_per_module,8193,1,8,2,2,,,,
broad,8,uniform_per_module,2049,1,8,2,2,,,,
broad,8,uniform_per_module,4097,1,8,2,2,,,,
broad,8,uniform_per_module,8193,1,8,2,2,,,,
broad,16,uniform_per_module,2049,1,8,2,2,,,,
broad,16,uniform_per_module,4097,1,8,2,2,,,,
broad,16,uniform_per_module,8193,1,8,2,2,,,,
broad,32,uniform_per_module,2049,1,8,2,0,283504791.2849038,526.6130988270783,3.4822179240735456,-1.4359801485876178e-05
broad,32,uniform_per_module,4097,1,8,2,0,283517387.1559651,526.6130988270783,3.4822179240735456,-3.788096993723178e-07
broad,32,uniform_per_module,8193,1,8,2,0,283517387.1559651,526.6130988270783,3.4822179240735456,-1.9908706977433965e-07
broad,32,uniform_per_module,8193,1,16,2,0,283517387.1559646,526.6130988270775,3.4822179291278506,-1.9908706977433965e-07
broad,32,uniform_per_module,8193,2,8,2,0,283503260.5426494,526.5878297896536,3.4820505125951726,-1.3877787807814457e-17
narrow,1,independent_per_compartment,2049,1,8,2,2,,,,
narrow,1,independent_per_compartment,4097,1,8,2,2,,,,
narrow,1,independent_per_compartment,8193,1,8,2,2,,,,
narrow,2,independent_per_compartment,2049,1,8,2,2,,,,
