lambda1,lambda2,nodes,energy,pressure,opacity_scaling_derivative,effective_exponent,minimum_dec_holding_energy,zero_wall_mass_held_energy_floor,zero_wall_mass_released_energy,virial_identity_error,measured_mass_025_released_energy,measured_mass_025_held_floor,measured_mass_1_released_energy,measured_mass_1_held_floor,released_zero_energy_mass_per_wall
0.0001,0.0001,128,-3.161193056561868e-11,-3.1656547154040024e-11,6.317924454281603e-11,1.0014113844875348,3.1656547154040024e-11,4.4616588421342195e-14,-3.161193056561868e-11,0.0,0.49999999996838806,0.5000000000000446,1.9999999999683882,2.0000000000000444,1.580596528280934e-11
0.0001,0.0001,256,-3.16119305656189e-11,-3.1656547154040205e-11,6.317924454281647e-11,1.0014113844875336,3.1656547154040205e-11,4.461658842130342e-14,-3.16119305656189e-11,-3.877409121342317e-26,0.49999999996838806,0.5000000000000446,1.9999999999683882,2.0000000000000444,1.580596528280945e-11
0.0001,0.0001,512,-3.161193056561873e-11,-3.165654715404002e-11,6.317924454281613e-11,1.001411384487533,3.165654715404002e-11,4.4616588421284034e-14,-3.161193056561873e-11,-5.169878828456423e-26,0.49999999996838806,0.5000000000000446,1.9999999999683882,2.0000000000000444,1.5805965282809367e-11
0.0001,0.001,128,-3.1444129593301613e-10,-3.1628277763681504e-10,6.270411101622335e-10,1.005856360877584,3.1628277763681504e-10,1.841481703798907e-12,-3.1444129593301613e-10,2.0679515313825692e-25,0.4999999996855587,0.5000000000018415,1.9999999996855586,2.0000000000018416,1.5722064796650806e-10
0.0001,0.001,256,-3.144412959330183e-10,-3.1628277763681654e-10,6.270411101622378e-10,1.0058563608775817,3.1628277763681654e-10,1.841481703798235e-12,-3.144412959330183e-10,-6.203854594147708e-25,0.4999999996855587,0.5000000000018415,1.9999999996855586,2.0000000000018416,1.5722064796650915e-10
0.0001,0.001,512,-3.144412959330167e-10,-3.162827776368149e-10,6.270411101622347e-10,1.0058563608775817,3.162827776368149e-10,1.8414817037981833e-12,-3.144412959330167e-10,-4.1359030627651384e-25,0.4999999996855587,0.5000000000018415,1.9999999996855586,2.0000000000018416,1.5722064796650835e-10
0.0001,0.01,128,-3.0360123989706818e-09,-3.1356197501834003e-09,5.972417446728648e-09,1.0328086114689417,3.1356197501834003e-09,9.960735121271855e-11,-3.0360123989706818e-09,3.308722450212111e-24,0.4999999969639876,0.5000000000996073,1.9999999969639877,2.0000000000996074,1.5180061994853409e-09
0.0001,0.01,256,-3.036012398970704e-09,-3.1356197501834173e-09,5.972417446728692e-09,1.0328086114689397,3.1356197501834173e-09,9.960735121271317e-11,-3.036012398970704e-09,-1.6543612251060553e-24,0.4999999969639876,0.5000000000996073,1.9999999969639877,2.0000000000996074,1.518006199485352e-09
0.0001,0.01,512,-3.036012398970689e-09,-3.1356197501833995e-09,5.9724174467286615e-09,1.0328086114689388,3.1356197501833995e-09,9.960735121271028e-11,-3.036012398970689e-09,-6.617444900424222e-24,0.4999999969639876,0.5000000000996073,1.9999999969639877,2.0000000000996074,1.5180061994853446e-09
0.0001,0.1,128,-2.5278673464689858e-08,-2.9132199251426616e-08,4.670382114264301e-08,1.1524417723944058,2.9132199251426616e-08,3.853525786736758e-09,-2.5278673464689858e-08,5.293955920339377e-23,0.4999999747213265,0.5000000038535258,1.9999999747213266,2.000000003853526,1.2639336732344929e-08
0.0001,0.1,256,-2.5278673464690056e-08,-2.913219925142677e-08,4.6703821142643364e-08,1.152441772394403,2.913219925142677e-08,3.853525786736715e-09,-2.5278673464690056e-08,-2.6469779601696886e-23,0.4999999747213265,0.5000000038535258,1.9999999747213266,2.000000003853526,1.2639336732345028e-08
