relative_speed,donor_fraction,direction,latest_emission,null_comoving_energy_gain
0.1,0.375,1,,
0.1,0.4375,1,,
0.1,0.46875,1,,
0.1,0.53125,-1,,
0.1,0.5625,-1,,
0.1,0.59375,-1,,
0.1,0.625,-1,,
0.1,0.75,-1,,
0.3,0.375,1,,
0.3,0.4375,1,,
0.3,0.46875,1,0.08378851287799688,
0.3,0.53125,-1,0.036088808915976024,
0.3,0.5625,-1,,
0.3,0.59375,-1,,
0.3,0.625,-1,,
0.3,0.75,-1,,
0.5773502691896258,0.375,1,,
0.5773502691896258,0.4375,1,0.1280330607017293,
0.5773502691896258,0.46875,1,0.254126384216512,
0.5773502691896258,0.53125,-1,0.14017368271104716,
0.5773502691896258,0.5625,-1,0.020935526096130704,
0.5773502691896258,0.59375,-1,,
0.5773502691896258,0.625,-1,,
0.5773502691896258,0.75,-1,,
0.9,0.375,1,0.22087438543195684,
0.9,0.4375,1,0.3526940499131604,
0.9,0.46875,1,0.44047554611533096,
0.9,0.53125,-1,0.18732756566015943,
0.9,0.5625,-1,0.09312851680214268,
0.9,0.59375,-1,0.021266339479654856,
0.9,0.625,-1,,
0.9,0.75,-1,,
0.99,0.375,1,0.4484639685469768,
0.99,0.4375,1,0.5515597055179431,
0.99,0.46875,1,0.6168547825598237,
0.99,0.53125,-1,0.19558680286750924,
0.99,0.5625,-1,0.1055425886915626,
0.99,0.59375,-1,0.037001651071882996,
0.99,0.625,-1,,
0.99,0.75,-1,,
1.0,0.375,1,0.5963489593031802,6.4907084268362025
1.0,0.4375,1,0.6766070352003176,3.9179899481547875
1.0,0.46875,1,0.7173169824177701,2.5511972191254153
1.0,0.53125,-1,0.19642778788130788,0.24489845906369095
1.0,0.5625,-1,0.10680173699207764,0.2777906775775449
1.0,0.59375,-1,0.03858306301426199,0.29475616802502164
1.0,0.625,-1,,
1.0,0.75,-1,,
