case,s,z,crossings,width
lane_1p5__static,0.9,2.7,1,0.0
lane_1p5__static,1.0,2.8,1,0.0
lane_1p5__static,1.1,3.0,1,0.0
lane_1p5__static,-1.5,-4.9,0,0.0
lane_1p5__static,-1.5,-4.8,0,0.0
lane_1p5__static,-1.5,-4.7,0,0.0
lane_1p5__static,-1.5,-4.6,0,0.0
lane_1p5__static,-1.5,-4.5,0,0.0
lane_1p5__static,-1.5,-4.4,0,0.0
lane_1p5__static,-1.5,-4.3,0,0.0
lane_1p5__static,-1.5,-4.2,0,0.0
lane_1p5__static,-1.5,-4.1,0,0.0
lane_1p5__static,-1.5,-4.0,0,0.0
lane_1p5__static,-1.5,-3.9,0,0.0
lane_1p5__static,-1.5,-3.8,0,0.0
lane_1p5__static,-1.5,-3.7,0,0.0
lane_1p5__static,-1.5,-3.6,0,0.0
lane_1p5__static,-1.5,-3.5,0,0.0
lane_1p5__static,-1.5,-3.4,0,0.0
lane_1p5__static,-1.5,-3.3,0,0.0
lane_1p5__static,-1.5,-3.2,0,0.0
lane_1p5__static,-1.5,-3.1,0,0.0
lane_1p5__static,-1.5,-3.0,0,0.0
lane_1p5__static,-1.5,-2.9,0,0.0
lane_1p5__static,-1.5,-2.8,0,0.0
lane_1p5__static,-1.5,-2.7,0,0.0
lane_1p5__static,-1.5,-2.6,0,0.0
lane_1p5__static,-1.5,-2.5,0,0.0
lane_1p5__static,-1.5,-2.4,0,0.0
lane_1p5__static,-1.5,-2.3,0,0.0
lane_1p5__static,-1.5,-2.2,1,0.0
lane_1p5__static,-1.5,-2.1,1,0.0
lane_1p5__static,-1.5,-2.0,0,0.0
lane_1p5__static,-1.5,-1.9,0,0.0
lane_1p5__static,-1.5,-1.8,0,0.0
lane_1p5__static,-1.5,-1.7,1,0.0
lane_1p5__static,-1.5,-1.6,1,0.0
lane_1p5__static,-1.5,-1.5,1,0.0
lane_1p5__static,-1.5,-1.4,1,0.0
lane_1p5__static,-1.5,-1.3,1,0.0
lane_1p5__static,-1.5,-1.2,1,0.0
lane_1p5__static,-1.5,-1.1,1,0.0
lane_1p5__static,-1.5,-1.0,1,0.0
lane_1p5__static,-1.5,-0.9,1,0.0
lane_1p5__static,-1.5,-0.8,1,0.0
lane_1p5__static,-1.5,-0.7,1,0.0
lane_1p5__static,-1.5,-0.6,0,0.0
lane_1p5__static,-1.5,-0.5,0,0.0
lane_1p5__static,-1.5,-0.4,0,0.0
lane_1p5__static,-1.5,-0.3,0,0.0
lane_1p5__static,-1.5,-0.2,1,0.0
lane_1p5__static,-1.5,-0.1,0,0.0
lane_1p5__static,-1.5,-0.0,0,0.0
lane_1p5__static,-1.5,0.1,0,0.0
lane_1p5__static,-1.5,0.2,0,0.0
lane_1p5__static,-1.5,0.3,0,0.0
lane_1p5__static,-1.5,0.4,0,0.0
lane_1p5__static,-1.5,0.5,0,0.0
lane_1p5__static,-1.5,0.6,0,0.0
lane_1p5__static,-1.5,0.7,0,0.0
lane_1p8__static,0.6,2.8,1,0.0
lane_1p8__static,0.5,2.6,1,0.0
lane_1p8__static,0.7,2.9,1,0.0
lane_1p8__static,0.6,2.7,1,0.0
lane_1p8__static,-1.5,-4.9,0,0.0
lane_1p8__static,-1.5,-4.8,0,0.0
lane_1p8__static,-1.5,-4.7,0,0.0
lane_1p8__static,-1.5,-4.6,0,0.0
lane_1p8__static,-1.5,-4.5,0,0.0
lane_1p8__static,-1.5,-4.4,0,0.0
lane_1p8__static,-1.5,-4.3,0,0.0
lane_1p8__static,-1.5,-4.2,0,0.0
