time,steps,min_f,min_alpha,max_particle_speed,max_entropy_speed,max_relative_drift,min_rest_energy,min_entropy_creation,max_entropy_creation,particle_number,entropy,created_entropy,escaped_particles,escaped_entropy,particle_balance_relative_error,entropy_balance_relative_error,outer_mass_balance_error,max_current,max_mass_change,min_radial_discriminant,scenario,level,cells
0.0,0,7.776978708573523e-06,0.0027594117913227424,0.03999981175260453,0.03600386471516394,0.07589437734636795,5.098309174721381e-14,4.5000125443892746e-36,2.6930562734101603e-07,0.04615789075450537,0.13286178038782637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6681574418531165e-26,low_preload_slow_drag,3,1024
0.025,16,7.776978708573523e-06,0.0027594098397627355,0.4978373653953266,0.6301858744473082,0.19565043605678026,8.534888416537232e-14,4.913464789357605e-26,2.590686988754445e-07,0.046157890770786164,0.1328632167902044,1.436771144904002e-06,6.39289196453047e-12,1.983577205990043e-10,4.912202213822762e-10,-1.2826046983857803e-09,-9.554856905680253e-13,2.8762548433452525e-07,3.809923381226099e-07,6.767323660170011e-26,low_preload_slow_drag,3,1024
0.05,35,7.776978708573523e-06,0.00275940378329112,0.6751567860976804,0.7843126240381779,0.23221855112683432,3.3734049681160834e-13,1.9654570860665446e-25,2.4922690347241844e-07,0.04615789060156238,0.13286457131117002,2.7953739939441393e-06,1.9642487161762382e-10,4.140023889552181e-09,9.420249506353383e-10,-2.3379666440487346e-09,-4.383410301400659e-12,5.753607194667704e-07,1.5230911550867532e-06,1.0716084559633089e-24,low_preload_slow_drag,3,1024
0.07500000000000001,54,7.776978708573523e-06,0.002759393620763933,0.7392404896597315,0.8310036748751363,0.23926395526044614,4.297568015779974e-13,4.42249696669076e-25,2.3979027063728496e-07,0.04615788974368433,0.13286584852018887,4.088205745791376e-06,1.074028506272158e-09,1.965424556029894e-08,1.3693751166905393e-09,-3.154689933894109e-09,-1.0306172582019713e-11,8.632486545023948e-07,3.4242529861061577e-06,1.1853061381330988e-24,low_preload_slow_drag,3,1024
0.1,74,7.776978708573523e-06,0.002759379349934751,0.7580506940080138,0.8433099953246849,0.2363532546521934,4.2975684849386993e-13,7.862625447842499e-25,2.307683425838962e-07,0.04615788728032068,0.13286704706285718,5.326904082843234e-06,3.5593252188445885e-09,5.977461890883186e-08,1.8445497656339331e-09,-3.4203448715820017e-09,-1.869193688719406e-11,1.1513550001395143e-06,6.081476797148433e-06,1.1853061381016288e-24,low_preload_slow_drag,3,1024
0.125,94,7.776978708573523e-06,0.0027593609672492813,0.7610895002176635,0.8445799609965144,0.23373650780149566,4.297568954120217e-13,1.22859960307915e-24,2.2218072192214226e-07,0.04615788172676827,0.13286815909308977,6.522293191654077e-06,9.138259729816933e-09,1.4317514037575868e-07,2.3944472094775568e-09,-3.106897001441843e-09,-2.9670599310804846e-11,1.4397293894183967e-06,9.49081767959159e-06,1.1853061380611673e-24,low_preload_slow_drag,3,1024
0.15000000000000002,114,7.776978708573523e-06,0.0027593384676605254,0.7624161008986011,0.8453176710245928,0.23318647861994948,4.297569423323827e-13,1.769275638040705e-24,2.1403298747306952e-07,0.04615787098360089,0.13286917049533464,7.684370900483486e-06,1.991041886847917e-08,2.939568087852538e-07,3.022546975463113e-09,-2.3075366227277037e-09,-4.328959413157918e-11,1.7284109578295435e-06,1.3647403278693737e-05,1.1853061380117148e-24,low_preload_slow_drag,3,1024
0.17500000000000002,134,7.776978708573523e-06,0.00275931184445937,0.7634496775405689,0.8458325388821032,0.23255609317185957,4.297569892548831e-13,2.4083048311080615e-24,2.0633879417830846e-07,0.04615785232770165,0.13287006138552312,8.822320520992346e-06,3.85994515859806e-08,5.411866282796136e-07,3.7403760310942435e-09,-1.0250949901412956e-09,-5.959702176205894e-11,2.0175447563567456e-06,1.854545296164911e-05,1.1853061379532715e-24,low_preload_slow_drag,3,1024
0.2,154,7.776978708573523e-06,0.002759281089120832,0.7642550816829246,0.8461971950462769,0.23194041954940395,4.297570361794528e-13,3.1457007768846297e-24,1.9910614505033616e-07,0.04615782236913539,0.13287080602690426,9.944538211842772e-06,6.85960376885694e-08,9.189981356849201e-07,4.564067139935734e-09,7.45148291369514e-10,-7.869468965360227e-11,2.3071460547076565e-06,2.41782994004347e-05,1.1853061378858372e-24,low_preload_slow_drag,3,1024
0.225,174,7.776978708573523e-06,0.0027592461911635398,0.7649217894767484,0.8464762668802324,0.23135243617407766,4.297570831060213e-13,3.981476480930856e-24,1.9236274762576298e-07,0.046157777011389546,0.1328713729514442,1.1058669347673506e-05,1.1399739055400914e-07,1.4665050760616475e-06,5.5088031332685954e-09,3.005726830879609e-09,-1.0068523792483575e-10,2.5973664070463053e-06,3.0538645042488266e-05,1.1853061378094126e-24,low_preload_slow_drag,3,1024
