geometry,amplitude_threshold,method,ivp_tolerance,max_step,reached_core_coordinate,amplitude_event,last_coordinate,last_areal_radius,last_matter_amplitude,last_higgs_amplitude,last_gauge_potential,large_field_amplitude_ratio,predicted_large_field_ratio,higgs_pole_slope_ratio,pole_coordinate_estimate,pole_radius_estimate,integration_steps,seconds,exterior_tolerance
analytic,10.0,DOP853,1e-10,0.004,False,True,-3.9532782456910276,4.323298380617966,-8.506725426699592,9.999999999999975,7.716511478472467,0.8506725426699614,0.8017837257372731,1.069342633769326,-3.912640472973658,4.286170256855359,656,0.140874027274549,1e-06
analytic,100.0,DOP853,1e-10,0.004,False,True,-3.917670387553974,4.290762317527889,-80.18662513256209,99.9999999999983,8.040177259756366,0.8018662513256345,0.8017837257372731,1.00087758336982,-3.913606610282237,4.2870522156891,678,0.1375505030155182,1e-06
analytic,1000.0,DOP853,1e-11,0.002,False,True,-3.9140142172469528,4.287424319193433,-801.7637874818464,1000.000000000113,8.496236178642622,0.8017637874817558,0.8017837257372731,1.000032861532462,-3.9136078395197793,4.28705333784765,1374,0.2920451741665602,1e-06
analytic,100.0,Radau,1e-10,0.004,False,True,-3.917670387554633,4.2907623175284915,-80.18662513256527,99.99999999999498,8.04017725974611,0.8018662513256929,0.8017837257372731,1.000877583518119,-3.913606610282896,4.287052215689702,2259,0.5928823435679078,1e-06
retained,10.0,DOP853,1e-10,0.004,False,True,-3.953090031146433,4.328146627664397,-8.50675620813973,9.999999999999964,7.716786753451332,0.8506756208139761,0.8017837257372731,1.0692274221678564,-3.9124533731263327,4.2916660992410165,656,0.9631658187136054,1e-06
retained,100.0,DOP853,1e-10,0.004,False,True,-3.9174813865750897,4.296172568821413,-80.18687890840562,100.00000000000372,8.040547589297736,0.8018687890840264,0.8017837257372731,1.000869078193639,-3.9134177570061994,4.292530286857091,678,1.0163880623877048,1e-06
retained,1000.0,DOP853,1e-11,0.002,False,True,-3.9138253331613533,4.292895540514579,-801.7638370941471,999.9999999998915,8.496645452558504,0.801763837094234,0.8017837257372731,1.0000317884709415,-3.9134189706353193,4.292531374443047,1374,2.022365342825651,1e-06
retained,100.0,Radau,1e-10,0.004,False,True,-3.9174813865757083,4.296172568821968,-80.18687890840609,99.99999999999795,8.04054758928897,0.8018687890840773,0.8017837257372731,1.0008690782976264,-3.9134177570068176,4.2925302868576445,2259,1.9756230972707272,1e-06
analytic,10.0,DOP853,1e-10,0.004,False,True,-3.9532782455946136,4.3232983805298035,-8.506725426331501,9.999999999999968,7.71651146601147,0.8506725426331528,0.8017837257372731,1.0693426337753658,-3.912640472877244,4.286170256767347,656,0.1369014624506235,1e-10
analytic,100.0,DOP853,1e-10,0.004,False,True,-3.9176703874569556,4.290762317439307,-80.18662513195744,99.9999999999961,8.040177246758,0.8018662513196056,0.8017837257372731,1.0008775833628238,-3.9136066101852185,4.287052215600533,678,0.13991280551999807,1e-10
analytic,1000.0,DOP853,1e-11,0.002,False,True,-3.914014217149924,4.287424319104855,-801.7637874820899,1000.0000000005289,8.496236164933975,0.8017637874816659,0.8017837257372731,1.0000328615323082,-3.9136078394227507,4.287053337759073,1374,0.298609578050673,1e-10
analytic,100.0,Radau,1e-10,0.004,False,True,-3.917670387457618,4.2907623174399125,-80.18662513196394,99.99999999999693,8.040177246747758,0.8018662513196639,0.8017837257372731,1.0008775835111194,-3.913606610185881,4.287052215601138,2259,0.5739743672311306,1e-10
retained,10.0,DOP853,1e-10,0.004,False,True,-3.9530900310500354,4.328146627577702,-8.506756207771485,9.999999999999996,7.716786740990262,0.8506756207771488,0.8017837257372731,1.0692274221738096,-3.912453373029936,4.2916660991546385,656,0.9522684384137392,1e-10
retained,100.0,DOP853,1e-10,0.004,False,True,-3.9174813864780877,4.296172568734453,-80.18687890780262,100.00000000000301,8.040547576299291,0.8018687890780021,0.8017837257372731,1.000869078186647,-3.9134177569091975,4.292530286770163,678,0.9657948864623904,1e-10
retained,1000.0,DOP853,1e-11,0.002,False,True,-3.9138253330643367,4.292895540427634,-801.763837094384,1000.0000000002993,8.496645438849743,0.801763837094144,0.8017837257372731,1.0000317884707874,-3.9134189705383027,4.2925313743561055,1374,1.9527409486472607,1e-10
retained,100.0,Radau,1e-10,0.004,False,True,-3.917481386478707,4.296172568735008,-80.18687890780312,99.99999999999723,8.040547576290516,0.8018687890780534,0.8017837257372731,1.000869078290635,-3.913417756909816,4.292530286770717,2259,1.9498839536681771,1e-10
