ledger,audit,metric,value
beta075_rematch_w6_t1p5,packet_safety,live_points,238.0
beta075_rematch_w6_t1p5,packet_safety,positive_live_packet_norm,0.0
beta075_rematch_w6_t1p5,packet_safety,max_live_packet_norm,-9.93512860272052
beta075_rematch_w6_t1p5,radial_escape,traces,1832.0
beta075_rematch_w6_t1p5,radial_escape,expected_escape,1696.0
beta075_rematch_w6_t1p5,radial_escape,escaped,1696.0
beta075_rematch_w6_t1p5,radial_escape,stalled,0.0
beta075_rematch_w6_t1p5,entry_reachability,reachable_packet_hits,0.0
beta075_rematch_w6_t1p5,entry_reachability,service_stage_hits,0.0
beta075_rematch_w6_t1p5,entry_reachability,carry_stage_hits,0.0
beta075_rematch_w6_t1p5,scheduled_probe,traces,235.0
beta075_rematch_w6_t1p5,scheduled_probe,escaped,223.0
beta075_rematch_w6_t1p5,scheduled_probe,max_packet_norm,-0.7499999999999998
beta075_rematch_w6_t1p5,scheduled_probe,min_areal_expansion_proxy,-0.628456924752192
beta075_rematch_w6_t1p5,trace_expansion,traces,235.0
beta075_rematch_w6_t1p5,trace_expansion,radial_escape_count,224.0
beta075_rematch_w6_t1p5,trace_expansion,traces_entering_both_shrinking,77.0
beta075_rematch_w6_t1p5,trace_expansion,traces_sustained_to_end,0.0
beta075_rematch_w6_t1p5,trace_expansion,max_integrated_trapped_like_strength,0.2033680994552296
beta075_rematch_w6_t1p5,dense_bundles,bundles,8.0
beta075_rematch_w6_t1p5,dense_bundles,rays,136.0
beta075_rematch_w6_t1p5,dense_bundles,escaped,136.0
beta075_rematch_w6_t1p5,dense_bundles,crossing_samples,0.0
beta075_rematch_w6_t1p5,dense_bundles,caustic_like_flags,0.0
beta075_rematch_w6_t1p5,dense_bundles,min_common_l_width_ratio,0.2757916025045791
beta075_rematch_w6_t1p5,dense_bundles,min_common_adjacent_l_gap_ratio,0.1565787979512972
beta075_rematch_w6_t1p5,dense_bundles,min_all_both_l_width_ratio,0.2757916025045791
beta075_rematch_w6_t1p5,dense_bundles,max_initial_radius_width,0.2056287829624401
beta075_rematch_w6_t1p5,dense_bundles_all_centers,bundles,8.0
beta075_rematch_w6_t1p5,dense_bundles_all_centers,rays,136.0
beta075_rematch_w6_t1p5,dense_bundles_all_centers,escaped,136.0
beta075_rematch_w6_t1p5,dense_bundles_all_centers,crossing_samples,0.0
beta075_rematch_w6_t1p5,dense_bundles_all_centers,caustic_like_flags,0.0
beta075_rematch_w6_t1p5,dense_bundles_all_centers,min_common_l_width_ratio,0.2757916025045791
beta075_rematch_w6_t1p5,dense_bundles_all_centers,min_common_adjacent_l_gap_ratio,0.1565787979512972
beta075_rematch_w6_t1p5,dense_bundles_all_centers,min_all_both_l_width_ratio,0.2757916025045791
beta075_rematch_w6_t1p5,dense_bundles_all_centers,max_initial_radius_width,0.2056287829624401
beta075_rematch_w6_t1p5,service_time,prepared_service_time,3.045
beta075_rematch_w6_t1p5,service_time,schedule_factor_distance,7.8224906703125905
beta075_rematch_w6_t1p5,service_time,packet_coord_proxy_distance,3.7554363566710736
beta075_rematch_w6_t1p5,service_time,schedule_factor_advantage_ratio,2.568962453304628
beta075_rematch_w6_t1p5,service_time,packet_coord_proxy_advantage_ratio,1.2333124324042934
beta075_rematch_w6_t1p5,service_time,request_schedule_factor_advantage_ratio,2.4872784325318253
beta075_rematch_w6_t1p5,service_time,request_packet_coord_proxy_advantage_ratio,1.1940974107062237
constant_radius_repaired_service,packet_safety,live_points,238.0
constant_radius_repaired_service,packet_safety,positive_live_packet_norm,0.0
constant_radius_repaired_service,packet_safety,max_live_packet_norm,-9.93512860272053
