comparison,max_relative_tensor_difference,outer_max_relative_tensor_difference
core_128_to_256,0.06030655006280911,0.00025821578310030016
core_256_to_512,0.014951844268633661,6.571227803413641e-05
frequency_96_to_144,1.4660477447238099e-09,1.4660477447238099e-09
angular_64_to_96,0.0006843970566437045,0.0006843970566437045
extent_48_to_96,0.01835643551750666,0.01835643551750666
frequency_144_to_192_and_endpoints,9.324117186316799e-07,9.324117186316799e-07
angular_96_to_128,3.4040832788621676e-06,3.4040832788621676e-06
core_512_to_1024,0.0036757368961568967,1.6783228635366467e-05
core_1024_to_2048,0.0009116335349741694,4.2004115084265915e-06
extent_96_to_384,0.005579247300606702,0.005579247300606702
extent_384_to_1536,0.0003410422163192526,0.0003410422163192526
