arrangement,coupling,coordinate,pressure_derivative,lapse_term,angular_term,residual,relative_residual
inner,1.0,-1.5,-6.819859836518794e-07,4.3491514062601683e-07,2.470027921815996e-07,-6.805084426293154e-11,-4.989416295510173e-05
inner,1.0,-2.8,-0.00013923049957724435,-6.233600039324031e-05,0.00020156354276682,-2.9572036646698108e-09,-7.335607251173886e-06
inner,1.0,-4.0,-2.7467273451507623e-05,-4.041283550003353e-09,2.747131420279403e-05,-5.322635947713639e-13,-9.687625165760338e-09
inner,1.0,-5.5,-4.080154548843461e-06,-6.572198786685438e-16,4.080154992732279e-06,4.4323159830833006e-13,5.431553742102846e-08
inner,8.0,-1.5,-9.554983453216392e-07,5.992005135071115e-07,3.561501867654696e-07,-1.4764504905807545e-10,-7.72667256989743e-05
inner,8.0,-2.8,-0.0002255704668486681,-0.00010107877410935929,0.0003266429425103989,-6.298447628467346e-09,-9.641088302982507e-06
inner,8.0,-4.0,-3.5754418512918586e-05,-5.271598003118696e-09,3.5759684920968677e-05,-5.189953027344603e-12,-7.256709143543845e-08
inner,8.0,-5.5,-4.856630624171737e-06,-7.826647419766018e-16,4.8566310660247554e-06,4.410703539328622e-13,4.540908790118261e-08
inner,64.0,-1.5,-1.0106341605420212e-06,6.304627520336774e-07,3.80000164879933e-07,-1.7124362841076907e-10,-8.472805701463309e-05
inner,64.0,-2.8,-0.00025109339646429366,-0.00011350601637691287,0.00036459181933869167,-7.593502514876681e-09,-1.0413595473681305e-05
inner,64.0,-4.0,-3.768716394916826e-05,-5.572567148409408e-09,3.769272958420066e-05,-6.932116007249672e-12,-9.195560319288255e-08
inner,64.0,-5.5,-5.009818513006401e-06,-8.083982306652742e-16,5.009818943565037e-06,4.297502380134566e-13,4.28907971811824e-08
inner_pair,1.0,-1.5,4.765936948393588e-06,-6.550689033050393e-06,1.7845917194012498e-06,-1.6036525555526318e-10,-1.2240484756231258e-05
inner_pair,1.0,-2.8,-0.00014001525959625384,-6.269020231193484e-05,0.00020270249866663064,-2.9632415580538654e-09,-7.309283107939835e-06
inner_pair,1.0,-4.0,-2.7701301217367243e-05,-4.074156497461041e-09,2.7705374880642086e-05,-4.932226163405738e-13,-8.901208052140711e-09
inner_pair,1.0,-5.5,-4.117674066104222e-06,-6.629909027286706e-16,4.117674514902545e-06,4.481353320791e-13,5.441607330096018e-08
