arrangement,coupling,coordinate,pressure_derivative,lapse_term,angular_term,residual,relative_residual,stencil_step
inner,1.0,-1.5,-6.820539848319555e-07,4.349324784752651e-07,2.4700088395093234e-07,-1.206224057580674e-10,-8.843366912496586e-05,0.016
inner,8.0,-1.5,-9.556286532071018e-07,5.992332352081247e-07,3.5614588448846915e-07,-2.495335105079408e-10,-0.00013057692074626423,0.016
inner,64.0,-1.5,-1.0107825110351151e-06,6.304998521667267e-07,3.799950787571017e-07,-2.8758011128670325e-10,-0.00014227641654576215,0.016
inner_pair,1.0,-1.5,4.765889557497358e-06,-6.550645929150815e-06,1.784586120701378e-06,-1.7025095207867903e-10,-1.2995143254236383e-05,0.016
inner_pair,8.0,-1.5,5.752128567689061e-06,-7.829557420247675e-06,2.077117950921888e-06,-3.109016367259626e-10,-1.9854749950245835e-05,0.016
inner_pair,64.0,-1.5,5.916281388524489e-06,-8.04781614873103e-06,2.131183782956989e-06,-3.5097724955197035e-10,-2.1806220256070453e-05,0.016
spanning_pair,1.0,-1.5,1.4376417002778368e-06,-2.50076317991026e-06,1.0631091250582346e-06,-1.235457418852142e-11,-2.470166868584614e-06,0.016
spanning_pair,8.0,-1.5,1.4839425853700332e-06,-2.587891572786356e-06,1.1039359534273904e-06,-1.3033988932302661e-11,-2.518270450832345e-06,0.016
spanning_pair,64.0,-1.5,1.4914780329374094e-06,-2.6010860080046045e-06,1.1095948326948394e-06,-1.3142372355710532e-11,-2.5263304475979297e-06,0.016
outer,1.0,-1.5,4.600410127103778e-09,-7.430105271143456e-09,2.829566662627432e-09,-1.2848141224621457e-13,-8.646076900510208e-06,0.016
outer,8.0,-1.5,4.3992441001603046e-09,-8.080413027470228e-09,3.680995091427548e-09,-1.7383588237489317e-13,-1.0756736796172771e-05,0.016
outer,64.0,-1.5,4.272168130865557e-09,-8.109860374582892e-09,3.837509791504841e-09,-1.824522124933288e-13,-1.1248915299124203e-05,0.016
inner,1.0,-1.5,-6.819374956465551e-07,4.349324784752651e-07,2.4700088395093234e-07,-4.133220357696407e-12,-3.0305071284659194e-06,0.008
inner,8.0,-1.5,-9.55388070956637e-07,5.992332352081247e-07,3.5614588448846915e-07,-8.9512600432089e-12,-4.6846419003817755e-06,0.008
inner,64.0,-1.5,-1.0105053080201336e-06,6.304998521667267e-07,3.799950787571017e-07,-1.0377096305213359e-11,-5.134633883386242e-06,0.008
inner_pair,1.0,-1.5,4.766050030531915e-06,-6.550645929150815e-06,1.784586120701378e-06,-9.777917521755077e-12,-7.463328750393873e-07,0.008
inner_pair,8.0,-1.5,5.752423890771411e-06,-7.829557420247675e-06,2.077117950921888e-06,-1.5578554375833846e-11,-9.948563525423913e-07,0.008
inner_pair,64.0,-1.5,5.916615202184053e-06,-8.04781614873103e-06,2.131183782956989e-06,-1.7163589988201548e-11,-1.0663519129555973e-06,0.008
spanning_pair,1.0,-1.5,1.4376504730745535e-06,-2.50076317991026e-06,1.0631091250582346e-06,-3.581777471815692e-12,-7.161373907042645e-07,0.008
spanning_pair,8.0,-1.5,1.4839516622602338e-06,-2.587891572786356e-06,1.1039359534273904e-06,-3.957098731702951e-12,-7.645416443798595e-07,0.008
spanning_pair,64.0,-1.5,1.4914871641812096e-06,-2.6010860080046045e-06,1.1095948326948394e-06,-4.011128555505392e-12,-7.710494070437878e-07,0.008
outer,1.0,-1.5,4.600534273758709e-09,-7.430105271143456e-09,2.829566662627432e-09,-4.334757315110111e-15,-2.9170236634493734e-07,0.008
outer,8.0,-1.5,4.399412308903233e-09,-8.080413027470228e-09,3.680995091427548e-09,-5.627139446544814e-15,-3.481963970631468e-07,0.008
outer,64.0,-1.5,4.272344725530502e-09,-8.109860374582892e-09,3.837509791504841e-09,-5.8575475484983255e-15,-3.611375161424875e-07,0.008
inner,1.0,-1.5,-6.8193032421122e-07,4.349324784752651e-07,2.4700088395093234e-07,3.0382149773944272e-12,2.2276529591348637e-06,0.004
inner,8.0,-1.5,-9.553732901417197e-07,5.992332352081247e-07,3.5614588448846915e-07,5.829554874100166e-12,3.0509211157260605e-06,0.004
inner,64.0,-1.5,-1.0104882843557002e-06,6.304998521667267e-07,3.799950787571017e-07,6.646568128206074e-12,3.2887794801832465e-06,0.004
inner_pair,1.0,-1.5,4.76605982698289e-06,-6.550645929150815e-06,1.784586120701378e-06,1.8533453368662646e-14,1.4146279269933972e-09,0.004
inner_pair,8.0,-1.5,5.752441967845729e-06,-7.829557420247675e-06,2.077117950921888e-06,2.4985199422367012e-12,1.5955688230341967e-07,0.004
inner_pair,64.0,-1.5,5.916635639471409e-06,-8.04781614873103e-06,2.131183782956989e-06,3.2736973680631517e-12,2.0339037583138667e-07,0.004
spanning_pair,1.0,-1.5,1.437650840155973e-06,-2.50076317991026e-06,1.0631091250582346e-06,-3.2146960523010833e-12,-6.427434121613133e-07,0.004
spanning_pair,8.0,-1.5,1.483952029234537e-06,-2.587891572786356e-06,1.1039359534273904e-06,-3.590124428610127e-12,-6.936393619838354e-07,0.004
spanning_pair,64.0,-1.5,1.4914875318813808e-06,-2.6010860080046045e-06,1.1095948326948394e-06,-3.643428384352045e-12,-7.003672552306338e-07,0.004
outer,1.0,-1.5,4.6005422407013e-09,-7.430105271143456e-09,2.829566662627432e-09,3.632185276181576e-15,2.4442348094963345e-07,0.004
outer,8.0,-1.5,4.399423066336496e-09,-8.080413027470228e-09,3.680995091427548e-09,5.130293816933338e-15,3.17452348714635e-07,0.004
outer,64.0,-1.5,4.272356012636468e-09,-8.109860374582892e-09,3.837509791504841e-09,5.429558417482053e-15,3.347503131467246e-07,0.004
