arrangement,coupling,coordinate,pressure_derivative,lapse_term,angular_term,residual,relative_residual
inner,1.0,-1.5,-6.820805670553045e-07,4.350264203557788e-07,2.469860964951444e-07,-6.805020438131478e-11,-4.9886774725406335e-05
inner,1.0,-2.8,-0.00013928896880999582,-6.239561392459847e-05,0.00020168162520456292,-2.9575300313704027e-09,-7.332121464712556e-06
inner,1.0,-4.0,-2.751286211163197e-05,-4.050653255915664e-09,2.7516912241024313e-05,-5.238635724215748e-13,-9.51893807790567e-09
inner,1.0,-5.5,-4.092229205655647e-06,-6.598864278176199e-16,4.0922296515267466e-06,4.452112134089182e-13,5.439714722034683e-08
inner,8.0,-1.5,-9.55578525031304e-07,5.992951396000398e-07,3.5613574093952594e-07,-1.4764449173818943e-10,-7.725995032142924e-05
inner,8.0,-2.8,-0.0002256371508552681,-0.00010114662051506936,0.00032677747255146377,-6.298818873711094e-09,-9.637687259290346e-06
inner,8.0,-4.0,-3.5806353044306784e-05,-5.2822521893905566e-09,3.5811630116243844e-05,-5.180252331694196e-12,-7.232639145733164e-08
inner,8.0,-5.5,-4.8703850092088505e-06,-7.856918570278238e-16,4.870385453279986e-06,4.43285444192787e-13,4.550825274695663e-08
inner,64.0,-1.5,-1.0107121375204988e-06,6.305548295198036e-07,3.7998606491601983e-07,-1.712430846753857e-10,-8.472125061434967e-05
inner,64.0,-2.8,-0.00025116126230046175,-0.00011357503978073266,0.0003647287082010374,-7.593880157021667e-09,-1.041020480760767e-05
inner,64.0,-4.0,-3.774000995382882e-05,-5.583404898324409e-09,3.774558643652152e-05,-6.922205620122843e-12,-9.169555488333379e-08
inner,64.0,-5.5,-5.0238150808314905e-06,-8.114769364045268e-16,5.023815513639361e-06,4.31996393206722e-13,4.299485227985567e-08
inner_pair,1.0,-1.5,4.765429397786773e-06,-6.550099659417133e-06,1.7845098999196095e-06,-1.60361710750331e-10,-1.2241315562128904e-05
inner_pair,1.0,-2.8,-0.00014007451235798868,-6.275060825806498e-05,0.00020282215704362213,-2.963572431538943e-09,-7.30578656570026e-06
inner_pair,1.0,-4.0,-2.7747496601248185e-05,-4.08364989823793e-09,2.7751579766457904e-05,-4.846885188396297e-13,-8.73262925364786e-09
inner_pair,1.0,-5.5,-4.129908467769868e-06,-6.656921196591433e-16,4.1299089185773635e-06,4.501418032063138e-13,5.449779118774234e-08
inner_pair,8.0,-1.5,5.751669323506124e-06,-7.828960299906616e-06,2.0770352722169038e-06,-2.5570418358767863e-10,-1.6330927075789608e-05
inner_pair,8.0,-2.8,-0.00022565705524550965,-0.00010115492547375922,0.00032680568173450484,-6.298984764016059e-09,-9.637109163128753e-06
inner_pair,8.0,-4.0,-3.5811661972767177e-05,-5.282976951672692e-09,3.581693977022777e-05,-5.179491072691313e-12,-7.23050424103144e-08
inner_pair,8.0,-5.5,-4.8711972236261215e-06,-7.85814744091855e-16,4.871197667799413e-06,4.433874769345803e-13,4.551113785061728e-08
inner_pair,64.0,-1.5,5.915839025790013e-06,-8.047222670564502e-06,2.131101800956932e-06,-2.8184381755674503e-10,-1.7512175615950927e-05
inner_pair,64.0,-2.8,-0.0002511615971705312,-0.00011357517750720667,0.00036472918079474343,-7.593882994432963e-09,-1.0410195208512973e-05
inner_pair,64.0,-4.0,-3.774009743702402e-05,-5.583416781579069e-09,3.774567393161263e-05,-6.9221929688387425e-12,-9.16951747457024e-08
inner_pair,64.0,-5.5,-5.023828354614256e-06,-8.114789388661755e-16,5.02382878742393e-06,4.3199819569283374e-13,4.2994918074036975e-08
spanning_pair,1.0,-1.5,1.4371205138717637e-06,-2.5002135176620867e-06,1.063032825584424e-06,-6.017820589907073e-11,-1.203475817247369e-05
spanning_pair,1.0,-2.8,-3.136801939348498e-05,-2.4546329904471283e-05,5.591420909554737e-05,-1.4020240889344717e-10,-1.2537263370605327e-06
spanning_pair,1.0,-4.0,-4.021252435473955e-05,-9.094793382297215e-09,4.022172017466824e-05,1.0102654639503744e-10,1.255872111296305e-06
spanning_pair,1.0,-5.5,-0.0003744974174968908,-8.670498016339644e-14,0.0003745138376112559,1.6420027660094764e-08,2.1922270922114744e-05
spanning_pair,8.0,-1.5,1.4833508614940445e-06,-2.5872670286051966e-06,1.1038496812045149e-06,-6.648590663726061e-11,-1.2848840140766185e-05
spanning_pair,8.0,-2.8,-3.746167043437657e-05,-3.171386011523122e-05,6.917540032279572e-05,-1.3022681206781208e-10,-9.412789003054556e-07
spanning_pair,8.0,-4.0,-6.846760953628301e-05,-1.595593565056007e-08,6.84838205076658e-05,2.550357322246913e-10,1.862017957053496e-06
spanning_pair,8.0,-5.5,-0.0010774757663835571,-2.4758584039927247e-13,0.0010775379921189002,6.222548775726422e-08,2.8874751961377922e-05
spanning_pair,64.0,-1.5,1.4908843558838104e-06,-2.6004601664416612e-06,1.1095084178001038e-06,-6.739275774708758e-11,-1.2958020256089065e-05
spanning_pair,64.0,-2.8,-3.8865499450432626e-05,-3.337933279208429e-05,7.224470675823082e-05,-1.2548428608867828e-10,-8.684662360783705e-07
spanning_pair,64.0,-4.0,-7.712137018407511e-05,-1.8016048726219076e-08,7.713970704891927e-05,3.208161179475786e-10,2.0794529649053217e-06
spanning_pair,64.0,-5.5,-0.0014647804269665593,-3.3508046915092076e-13,0.0014648794735798078,9.904627816807905e-08,3.380811477068685e-05
outer,1.0,-1.5,4.364911814015248e-09,-7.155826163367569e-09,2.7908495740659853e-09,-6.477528633556896e-14,-4.526072743691638e-06
outer,1.0,-2.8,-8.916984385075343e-06,-1.0029143670768997e-05,1.8946131631652875e-05,3.5758085335508942e-12,9.436778284116833e-08
outer,1.0,-4.0,-2.9762328825868573e-05,-7.28684948617117e-09,2.9769714645230484e-05,9.89698757382319e-11,1.6622604790033033e-06
outer,1.0,-5.5,-0.0003722973333016489,-8.626909487324481e-14,0.00037231375311945925,1.641973154122532e-08,2.2051419645445532e-05
outer,8.0,-1.5,4.163649060875553e-09,-7.80593762960614e-09,3.6422035693984636e-09,-8.499933212300508e-14,-5.444560214304185e-06
outer,8.0,-2.8,-1.4414661916242704e-05,-1.6466103709309737e-05,3.088078332749022e-05,1.770193778209304e-11,2.866174518315892e-07
outer,8.0,-4.0,-5.7501172524926884e-05,-1.401399172363806e-08,5.751543941278917e-05,2.52896138648324e-10,2.1985113669072063e-06
outer,8.0,-5.5,-0.0010751031117689435,-2.4710118577593846e-13,0.001075165337188015,6.222517197037106e-08,2.8938327209053472e-05
outer,64.0,-1.5,4.037387045889821e-09,-7.836318898508187e-09,3.798843223504141e-09,-8.862911422485383e-14,-5.655054150754806e-06
outer,64.0,-2.8,-1.572740502860452e-05,-1.800633621794711e-05,3.373376433092008e-05,2.3084368448624947e-11,3.421553568794326e-07
outer,64.0,-4.0,-6.606625210005302e-05,-1.6050297643218464e-08,6.60826210600463e-05,3.186623500608856e-10,2.411096240393711e-06
outer,64.0,-5.5,-0.001462376239962697,-3.3458705144244154e-13,0.0014624752862558215,9.904595853747235e-08,3.386358508741008e-05
