arrangement,coupling,coordinate,pressure_derivative,lapse_term,angular_term,residual,relative_residual
inner,1.0,-1.5,-6.820805670428131e-07,4.350264203452925e-07,2.469860964955948e-07,-6.80502019258192e-11,-4.988677292613634e-05
inner,1.0,-2.8,-0.00013928896880985572,-6.239561392421332e-05,0.00020168162520204397,-2.9575320250826726e-09,-7.332126407453298e-06
inner,1.0,-4.0,-2.7512862106927235e-05,-4.050653255855025e-09,2.7516912236419967e-05,-5.237631244784258e-13,-9.517112875776942e-09
inner,1.0,-5.5,-4.092229205207315e-06,-6.598864278114842e-16,4.092229651568035e-06,4.4570083402781496e-13,5.4456970435243194e-08
inner,8.0,-1.5,-9.555785249614673e-07,5.99295139539282e-07,3.5613574093332445e-07,-1.4764448886087145e-10,-7.725994882130627e-05
inner,8.0,-2.8,-0.00022563715087271078,-0.00010114662051366489,0.00032677747256511995,-6.298821255703267e-09,-9.637690903487444e-06
inner,8.0,-4.0,-3.580635303808056e-05,-5.282252189162642e-09,3.581163011005984e-05,-5.180209885179143e-12,-7.232579883400998e-08
inner,8.0,-5.5,-4.870385008374365e-06,-7.856918570476534e-16,4.870385453013865e-06,4.4385380838259233e-13,4.556660174944048e-08
inner,64.0,-1.5,-1.0107121374281834e-06,6.305548294395694e-07,3.7998606490683905e-07,-1.7124308177493313e-10,-8.472124918698947e-05
inner,64.0,-2.8,-0.0002511612623373646,-0.00011357503977927477,0.0003647287082341276,-7.593882511800366e-09,-1.0410208034719593e-05
inner,64.0,-4.0,-3.7740009948531136e-05,-5.583404898048044e-09,3.774558643124601e-05,-6.922183177137872e-12,-9.169525760336685e-08
inner,64.0,-5.5,-5.023815079780305e-06,-8.11476936429145e-16,5.0238155131698775e-06,4.325780956243477e-13,4.3052746773246756e-08
inner_pair,1.0,-1.5,4.765429397579769e-06,-6.550099659232116e-06,1.7845098999152492e-06,-1.603617370979261e-10,-1.2241317573760122e-05
inner_pair,1.0,-2.8,-0.00014007451235828111,-6.275060825778878e-05,0.00020282215704142364,-2.9635746462387206e-09,-7.305792025408344e-06
