variant,speed,s,total,content_radial_fall,content_end_falls,content_corners,content_interior,content_cone,content_rest,floor_radial_fall,floor_cone,radial_log_lapse_drop,analytic_radial_floor
alpha_falls,2.1,3.75,246.4623498933577,30.160078161405522,48.71487573802495,84.38272545458723,13.754845077148387,66.52779967840434,2.9220257837872574,5.228067509134197,13.380868921414438,3.9986266080716426,7.4974248901343294
alpha_falls_warp_0p5,2.1,3.75,226.30617378816726,30.09512404002197,47.39964125789615,68.04388314819421,13.754845077148387,64.14325125719952,2.869429007707006,4.911074184131195,13.139200790915591,3.9986266080716426,7.4974248901343294
alpha_falls_warp_0p35,2.1,3.75,212.58773246294191,57.64470830620088,21.91720305184448,54.653761328404244,13.755032665577714,61.80232801377498,2.8146990971396106,4.9506592188420795,12.897880878442239,3.9986266080716426,7.4974248901343294
round_corners,2.1,3.75,258.3026455510473,43.65934346764334,62.74027948385752,71.13549725738639,13.754845077253549,64.14325125719952,2.869429007707006,6.40389281102889,13.139200790915591,3.9986266080716426,7.4974248901343294
alpha_round,2.1,3.75,242.27735868783483,30.44550836283976,48.714926515458984,79.91225327019367,13.754845077150812,66.52779967840434,2.9220257837872574,5.446724403493311,13.380868921414438,3.9986266080716426,7.4974248901343294
alpha_round_warp_0p5,2.1,3.75,220.0703942021849,29.356287350928966,42.05943150687136,66.30834349096264,15.333651588515401,64.14325125719952,2.869429007707006,5.429160406335077,13.139200790915591,3.9986266037313674,7.497424881996314
alpha_round_warp_0p5_fall_from_8p25,2.1,3.75,206.33658034292048,29.57092977820325,37.01179312958586,63.60004333259274,13.888335004850994,59.50344663357221,2.7620324641154386,5.450162760342071,12.657007416221813,3.9682412500622264,7.440452343866674
alpha_round_warp_0p5_end_fall_3,2.1,3.75,215.64446258959484,29.152208774927427,31.957356200107778,72.70540320212703,14.817981677059045,64.14325125771502,2.8682614776585424,5.284984987025561,13.139200791445825,3.9986266037313674,7.497424881996314
cone_alpha,2.1,3.75,244.8065402246208,35.863354779338366,61.99917401719677,73.50337983319396,13.754845077148387,57.20305621047992,2.4827303072633886,5.949115074595725,14.534868554825875,3.9986266080716426,7.4974248901343294
cone_alpha_warp_0p5,2.1,3.75,243.7629770279684,35.863354779338366,61.99917401719677,70.90720502969879,13.754845077148387,58.5804498529199,2.6579482716661924,5.949115074595725,12.684674036813414,3.9986266080716426,7.4974248901343294
alpha_round_warp_0p5_cone_alpha_warp_0p5,2.1,3.75,212.19056066782466,29.35628735092897,42.05943150687136,64.20279209692282,15.333651588515401,58.5804498529199,2.6579482716661924,5.429160406335077,12.684674036813414,3.9986266037313674,7.497424881996314
