case,s,z,crossings,width
lane_2p1__static,-2.0,-2.7,1,0.0
lane_2p1__static,-2.1,-2.8,1,0.0
lane_2p1__static,-1.9,-2.6,1,0.0
lane_2p1__static,-2.2,-2.9,1,0.0
lane_2p1__static,-2.3,-2.9,1,0.0
lane_2p1__static,-2.4,-3.0,1,0.0
lane_2p1__static,-2.2,-2.8,1,0.0
lane_2p1__static,-2.5,-3.1,1,0.0
lane_2p1__static,-2.1,-2.7,1,0.0
lane_2p1__static,-1.8,-2.5,1,0.0
lane_2p1__static,-3.5,-4.0,1,0.0
lane_2p1__static,-3.8,-4.2,1,0.0
lane_2p1__static,-3.8,-4.3,1,0.0
lane_2p1__static,-2.3,-3.0,1,0.0
lane_2p1__static,-3.4,-3.9,1,0.0
lane_2p1__static,-3.9,-4.3,1,0.0
lane_2p1__static,-3.3,-3.8,1,0.0
lane_2p1__static,-2.0,-2.6,1,0.0
lane_2p1__static,-3.2,-3.7,1,0.0
lane_2p1__static,-3.1,-3.6,1,0.0
lane_2p1__static,-3.2,-3.8,1,0.0
lane_2p1__static,-2.6,-3.2,1,0.0
lane_2p1__static,-3.7,-4.2,1,0.0
lane_2p1__static,-2.7,-3.3,1,0.0
lane_2p1__static,-2.8,-3.4,1,0.0
lane_2p1__static,-2.9,-3.5,1,0.0
lane_2p1__static,-3.6,-4.1,1,0.0
lane_2p1__static,-3.0,-3.6,1,0.0
lane_2p1__static,-3.1,-3.7,1,0.0
lane_2p1__static,-8.0,-8.0,0,0.0
lane_2p1__static,-8.0,-7.9,0,0.0
lane_2p1__static,-8.0,-7.8,0,0.0
lane_2p1__static,-8.0,-7.7,0,0.0
lane_2p1__static,-8.0,-7.6,0,0.0
lane_2p1__static,-8.0,-7.5,0,0.0
lane_2p1__static,-8.0,-7.4,0,0.0
lane_2p1__static,-8.0,-7.3,0,0.0
lane_2p1__static,-8.0,-7.2,0,0.0
lane_2p1__static,-8.0,-7.1,0,0.0
lane_2p1__static,-8.0,-7.0,0,0.0
lane_2p1__static,-8.0,-6.9,0,0.0
lane_2p1__static,-8.0,-6.8,0,0.0
lane_2p1__static,-8.0,-6.7,0,0.0
lane_2p1__static,-8.0,-6.6,0,0.0
lane_2p1__static,-8.0,-6.5,0,0.0
lane_2p1__static,-8.0,-6.4,0,0.0
lane_2p1__static,-8.0,-6.3,0,0.0
lane_2p1__static,-8.0,-6.2,0,0.0
lane_2p1__static,-8.0,-6.1,0,0.0
lane_2p1__static,-8.0,-6.0,0,0.0
lane_2p1__static,-8.0,-5.9,0,0.0
lane_2p1__static,-8.0,-5.8,0,0.0
lane_2p1__static,-8.0,-5.7,0,0.0
lane_2p1__static,-8.0,-5.6,0,0.0
lane_2p1__static,-8.0,-5.5,0,0.0
lane_2p1__static,-8.0,-5.4,0,0.0
lane_2p1__static,-8.0,-5.3,0,0.0
lane_2p1__static,-8.0,-5.2,0,0.0
lane_2p1__static,-8.0,-5.1,0,0.0
lane_2p1__static,-8.0,-5.0,0,0.0
