s,eulerian_negative,nec_content_coord,nec_content_proper
-8.0,0.0,0.0,0.0
-7.9,0.0,0.0,0.0
-7.8,-3.788213267262457e-49,0.0,0.0
-7.7,-3.9529209113078716e-39,0.0,0.0
-7.6,-5.025927402498933e-35,0.0,0.0
-7.5,-2.240424929108912e-32,1.1470469019059238e-11,1.2505552149377763e-11
-7.4,1.8189894035458566e-13,-1.1494383223009664e-11,-1.2460077414289118e-11
-7.3,2.7284841053187634e-13,2.2925195075629292e-11,2.6147972675971687e-11
-7.2,9.094947017724842e-13,-9.25690857300765e-11,-5.879883246961982e-11
-7.1,1.8189894028208977e-13,-2.0325585659008993e-09,-1.3235876394901426e-09
-7.0,9.09494609459679e-14,-2.967990715418978e-08,-1.6197736840695145e-08
-6.9,1.8189802172016764e-13,-2.5239298376399457e-07,-3.1899950508899186e-08
-6.8,2.727767937140202e-13,-2.0384719950555173e-06,1.061520375699954e-06
-6.7,-9.533611904057491e-14,-1.201435408861092e-05,2.550389135961411e-05
-6.6,2.4295943124073136e-13,-3.071421100717363e-05,0.0003607088731049583
-6.5,-8.359663069813241e-12,0.00029736493415203973,0.003824433722754838
-6.4,-2.4356113881342083e-10,0.00445654890890855,0.032005002250625816
-6.3,-5.8616052623316215e-09,0.06119326077110088,0.24972385924862422
-6.2,-1.0770253338214531e-07,1.0529982391473345,2.245314873791329
-6.1,-1.3422881437271987e-06,4.818715334663841,10.60711692310273
-6.0,-9.484017315397181e-06,12.056351911650204,30.815495762461893
-5.9,-4.536806992440944e-05,22.22260312622984,63.94879332768228
-5.8,-0.00019193265417818254,24.562828583309276,96.28789775182207
-5.7,-0.0007066038654510561,27.416573586371573,133.9385384161473
-5.6,-0.0020956521365463913,28.856992081156378,174.33821616116538
-5.5,-0.004943111744623351,29.647079477219535,216.71295165526732
-5.4,-0.009576483330887595,29.43331949743184,259.06223534495285
-5.3,-0.01593301878430141,28.61193346047044,300.9439996538003
-5.2,-0.023676075612472768,28.76825382294892,343.87684576403433
-5.1,-0.03236188692050923,28.97814756885837,386.9234269596053
-5.0,-0.041546346213603286,29.06116356340192,430.01906528555793
-4.9,-0.05083562922791616,29.008308589787518,473.1266667147793
-4.8,-0.059893710146973866,28.830213368959438,516.1019368839874
-4.7,-0.06836431639833788,28.612401826313626,559.0182148859249
-4.6,-0.07571328100087998,28.374697272515352,601.8261822841683
-4.5,-0.08130748287579802,28.16867131982828,644.4348374708597
-4.4,-0.08494398436790573,28.122091036721304,686.4726660040933
-4.3,-0.0870433526516865,29.34912246481422,727.7459554971198
-4.2,-0.0881961362878089,30.1818171801135,764.6502153671131
-4.1,-0.08882567020042514,32.62751237606238,797.4699115591486
-4.0,-0.08918587991279378,32.068074732828464,821.6063269250004
-3.9,-0.0894145829669928,33.66130697038637,844.4346785499847
-3.8,-0.08961549211645556,34.982427900647984,865.3515507657984
-3.7,-0.08986162877615683,34.93502050041086,887.4512324988254
-3.6,-0.09022181399767808,33.27830745609281,916.2277151472128
-3.5,-0.09079293081467357,30.937702987304704,952.1384484436478
-3.4,-0.09173330130052319,30.434271597310637,988.2839514984051
-3.3,-0.09330400265885036,30.424341872039744,982.1780555646387
-3.2,-0.0959282546195673,30.03761036420569,788.7107278056469
-3.1,-0.10028845775722071,29.09595518818087,226.03758556557992
-3.0,-0.10750813101251569,27.880072414293835,-990.2972311841095
-2.9,-0.11948730430252577,26.430025061687168,-3155.7456247629434
-2.8,-0.13954510179205046,24.495613073106426,-6613.973852497777
-2.7,-0.17369573148445647,22.363742048725648,-11770.261034698065
-2.6,-0.2332058078910229,19.601191892793647,-19110.471796820548
-2.5,-0.33962483597745957,16.364136274667892,-29130.60430180807
-2.4,-0.5341474703415044,14.285859887930947,-42225.05181576375
-2.3,-0.8932336696701155,12.439377605736293,-58699.13861477256
-2.2,-1.5498024048302608,10.2020127283485,-78869.95854305741
-2.1,-2.7107030058023565,7.990080307521199,-102480.32196078917
-2.0,-4.646467299818898,5.852059324323658,-129426.86359886518
-1.9,-7.623114610764961,3.5153832379298855,-159588.4132071692
-1.8,-11.778304250643957,0.6392980169567529,-192253.43067312762
-1.7,-17.01251961335653,-2.8486346161781393,-226965.14895782858
-1.6,-22.99066062956007,-6.640473798540604,-263176.69281431736
-1.5,-29.27985885070632,-10.261733002020613,-300502.73705818184
-1.4,-35.54580187320307,-12.98421220098395,-338937.1051641293
-1.3,-64.8987056059092,-15.12618303252873,-380175.1914575018
