s,l,endpoint_speed,timelike_margin,packet_edge_distance
0.0,-2.1,4.062611865024905e-12,1.0,1.75
0.0,-0.5,-0.20214036673420838,0.9591392721365597,0.15000000000000002
0.01,-2.1,2.398522977606916e-12,1.0,1.7599999999999998
0.01,-0.5,-0.19125189474758336,0.9634227127554593,0.16000000000000003
0.02,-2.1,1.4087706151044054e-12,1.0,1.77
0.02,-0.5,-0.1812353449910627,0.9671537497259705,0.17000000000000004
0.03,-2.1,8.230251883162736e-13,1.0,1.7799999999999998
0.03,-0.5,-0.17193197316561284,0.970439396603379,0.18000000000000005
0.04,-2.1,4.779544314823835e-13,1.0,1.79
0.04,-0.5,-0.16319300140300724,0.9733680442930781,0.19000000000000006
0.05,-2.1,2.755064688179718e-13,1.0,1.7999999999999998
0.05,-0.5,-0.1548748210553393,0.9760137898030766,0.20000000000000007
0.06,-2.1,1.5733884091305328e-13,1.0,1.81
0.06,-0.5,-0.14685364761482528,0.9784340061822208,0.21000000000000008
0.07,-2.1,8.906847077753178e-14,1.0,1.8199999999999998
0.07,-0.5,-0.13904300434972452,0.9806670429414025,0.22000000000000008
0.08,-2.1,4.995968867532586e-14,1.0,1.83
0.08,-0.5,-0.13140956777978494,0.9827315254959301,0.22999999999999998
0.09,-2.1,2.76132172396147e-14,1.0,1.8399999999999999
0.09,-0.5,-0.123943098926242,0.9846381082285598,0.24
0.1,-2.1,1.4903961944552227e-14,1.0,1.85
0.1,-0.5,-0.11663059600473628,0.98639730407558,0.25
0.11,-2.1,7.85832300438447e-15,1.0,1.8599999999999999
0.11,-0.5,-0.10945441008181282,0.9880197321136424,0.26
0.12,-2.1,4.067305107545552e-15,1.0,1.87
0.12,-0.5,-0.10239872583545763,0.9895145009472748,0.27
0.13,-2.1,1.9864767001283012e-15,1.0,1.88
0.13,-0.5,-0.0954540564269272,0.990888523111645,0.28
0.14,-2.1,8.645986066439347e-16,1.0,1.8900000000000001
0.14,-0.5,-0.08862028885940444,0.9921464444024757,0.29000000000000004
0.15,-2.1,3.5661209880344755e-16,1.0,1.9
0.15,-0.5,-0.0819077548722293,0.9932911196917908,0.30000000000000004
0.16,-2.1,4.780743797215721e-17,1.0,1.9100000000000001
0.16,-0.5,-0.07533668379048508,0.9943243840754524,0.31000000000000005
0.17,-2.1,-4.8031264300352183e-17,1.0,1.92
0.17,-0.5,-0.06893645301010003,0.9952477654463863,0.32000000000000006
0.18,-2.1,-6.503357852200914e-17,1.0,1.9300000000000002
0.18,-0.5,-0.06274423183566895,0.9960631613713519,0.32999999999999996
0.19,-2.1,-7.371254195828926e-17,1.0,1.94
0.19,-0.5,-0.056800838173135505,0.9967736647828292,0.33999999999999997
0.2,-2.1,-3.720205193760467e-17,1.0,1.9500000000000002
0.2,-0.5,-0.05114613754096238,0.9973840726146409,0.35
0.21,-2.1,-5.835843244289262e-17,1.0,1.96
0.21,-0.5,-0.04581525686136969,0.9979009622387267,0.36
0.22,-2.1,-9.059299591558804e-17,1.0,1.9700000000000002
0.22,-0.5,-0.04083579838037412,0.9983324375706374,0.37
0.23,-2.1,-4.751644071886915e-17,1.0,1.98
0.23,-0.5,-0.03622623981722825,0.9986876595487046,0.38
0.24,-2.1,1.4819721300353926e-17,1.0,1.9899999999999998
0.24,-0.5,-0.031995532422685345,0.9989762859049889,0.39
0.25,-2.1,3.611781729632925e-18,1.0,2.0
0.25,-0.5,-0.028143605836851597,0.9992079374505,0.4
0.26,-2.1,9.05487602112954e-19,1.0,2.0100000000000002
0.26,-0.5,-0.024662492794838228,0.9993917614491445,0.41000000000000003
0.27,-2.1,1.6602124823336635e-18,1.0,2.02
0.27,-0.5,-0.021537815874744997,0.9995361224873456,0.42000000000000004
0.28,-2.1,3.8982714152573515e-19,1.0,2.03
0.28,-0.5,-0.01875035277087747,0.9996484242709677,0.43000000000000005
0.29,-2.1,3.6028233017524444e-19,1.0,2.04
0.29,-0.5,-0.016277546107192013,0.9997350414927283,0.44000000000000006
0.3,-2.1,1.7175084338765922e-19,1.0,2.05
0.3,-0.5,-0.014094852106796302,0.9998013351440875,0.45000000000000007
0.31,-2.1,8.690816915285027e-20,1.0,2.06
0.31,-0.5,-0.012176881509938979,0.9998517235566929,0.4600000000000001
0.32,-2.1,5.254668047679622e-20,1.0,2.07
0.32,-0.5,-0.010498324938071147,0.9998897851734947,0.4700000000000001
0.33,-2.1,2.5492684237625323e-20,1.0,2.08
0.33,-0.5,-0.009034603556555146,0.9999183759385759,0.4800000000000001
0.34,-2.1,1.4344770695372167e-20,1.0,2.09
0.34,-0.5,-0.007762338676319033,0.9999397460982741,0.4900000000000001
0.35000000000000003,-2.1,7.502328172125863e-21,1.0,2.1
0.35000000000000003,-0.5,-0.006659667450152113,0.9999556488294534,0.5000000000000001
0.36,-2.1,3.9391749523200984e-21,1.0,2.11
0.36,-0.5,-0.005706434412174501,0.9999674366062995,0.51
0.37,-2.1,2.106439506836173e-21,1.0,2.12
0.37,-0.5,-0.0048842892738895005,0.999976143718289,0.52
0.38,-2.1,1.0937173846037241e-21,1.0,2.13
0.38,-0.5,-0.004176665119919074,0.999982555468476,0.53
0.39,-2.1,5.766717661124639e-22,1.0,2.14
0.39,-0.5,-0.0035687226064435133,0.9999872642189582,0.54
0.4,-2.1,3.0021460864033984e-22,1.0,2.15
0.4,-0.5,-0.0030472655874326984,0.9999907141724397,0.55
0.41000000000000003,-2.1,1.5572904637151252e-22,1.0,2.16
0.41000000000000003,-0.5,-0.002600637344826821,0.9999932366854007,0.56
0.42,-2.1,8.071013948422192e-23,1.0,2.17
0.42,-0.5,-0.0022186073329884854,0.999995077781502,0.57
0.43,-2.1,4.1539767426855227e-23,1.0,2.18
0.43,-0.5,-0.0018922253491688512,0.9999964194832279,0.58
0.44,-2.1,2.1347931957327555e-23,1.0,2.19
0.44,-0.5,-0.0016136886870708536,0.9999973960088212,0.59
0.45,-2.1,1.090280023338726e-23,1.0,2.2
0.45,-0.5,-0.0013762065687491448,0.9999981060554801,0.6
0.46,-2.1,5.536557407306988e-24,1.0,2.21
0.46,-0.5,-0.001173874096768077,0.999998622019605,0.61
0.47000000000000003,-2.1,2.7983142062659443e-24,1.0,2.22
