s,steps,minimum_thermal,minimum_inverse_stretch,maximum_inverse_stretch,maximum_abs_velocity,minimum_sound2,maximum_sound2,maximum_density,maximum_abs_radial_stress,proper_energy,thermal_inventory,minimum_packet_distance,material_balance_residual,material_boundary_integral,material_geometry_integral,material_exchange_integral,energy_balance_residual,energy_boundary_integral,energy_geometry_integral,energy_exchange_integral,momentum_balance_residual,momentum_boundary_integral,momentum_geometry_integral,momentum_exchange_integral
0.0,0,0.24999999999999978,0.0021476874265808073,0.1615646520561368,0.19989288236240554,0.0001044878407987031,0.013854457517212333,0.01098006175095877,0.004425263679115508,101.38989340693288,5.568535157560256,0.15312500000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1,0.25000493370200316,0.002147984550510174,0.16214166532889313,0.15994540467283969,0.00010490409862620742,0.013903169344849645,0.011012659648297235,0.0044362078223831,101.5143834313263,5.559128393640984,0.15812500000000007,0.0,0.0,0.0,0.0,-7.806255641895632e-17,-0.0045466153339098585,0.015200549346087638,-0.000747332638257292,-1.2212453270876722e-15,4.097992955476991,-4.911896857757444,-0.05356109785022909
0.01,2,0.2500114077722977,0.0021483403664818044,0.16363167690212593,0.14026801112379417,0.00010529553380054314,0.01402875320762106,0.011097128563100304,0.004442415335945418,101.62709201453052,5.55151062316098,0.16312500000000008,0.0,0.0,0.0,0.0,2.5326962749261384e-16,-0.00908469405801116,0.02930790930034039,-0.0013475497954909886,-6.661338147750939e-16,8.451784189416786,-10.098937148454404,-0.10408539284156965
0.015,3,0.25002087234113546,0.002148546783579759,0.16599066520048578,0.1251062036147914,0.00010566240293835637,0.014227088015138892,0.011230806500721209,0.00444581763289131,101.72810111803604,5.545671945850746,0.16812500000000008,-2.220446049250313e-16,0.0,0.0,0.0,1.734723475976807e-16,-0.013602081108503125,0.04231757862131435,-0.0018017830058809213,4.440892098500626e-16,13.052686553017324,-15.55207449890878,-0.15148151921971684
0.02,4,0.2500359912533108,0.0021491877142957565,0.16917213773181344,0.11117453286203727,0.00010600521492163293,0.014493812184191499,0.011410949286018405,0.004447696213589459,101.81746856854129,5.541603785363013,0.17312500000000008,0.0,0.0,0.0,0.0,1.880440247958859e-15,-0.01808864438365683,0.0542252189594346,-0.0021112243191331015,1.7763568394002505e-15,17.892031691110894,-21.261063003759613,-0.19566283782889804
0.025,5,0.2494251522993618,0.0021498261104440104,0.173124805375897,0.10027997471513572,0.00010632473553750224,0.014824167538001785,0.011634620388267401,0.004448771983379088,101.89521877126766,5.5393044275908805,0.1781250000000001,0.0,0.0,0.0,0.0,2.636779683484747e-16,-0.02253536871466178,0.06502500991259944,-0.002277126396141701,0.0,22.96068565960947,-27.214782924746764,-0.23654750490901247
0.03,6,0.24850585829613614,0.002150652412236484,0.17779524778007916,0.11542229178928665,0.00010662199194931867,0.01521324702332731,0.011898839482035985,0.004449424326427501,101.96140705306821,5.538755537431838,0.1831250000000001,0.0,0.0,0.0,0.0,-1.0130785099704553e-15,-0.026933978090917094,0.0747143914181993,-0.0023008024138259906,4.440892098500626e-15,28.249005677840273,-33.40161777981106,-0.27405852999988345
0.034999999999999996,7,0.24814574315432458,0.002151649865807878,0.1831457969425782,0.134509775058973,0.00010689829186019594,0.015657503846687685,0.012201558413225337,0.004449851735996203,102.01610830148987,5.539952481712447,0.1881250000000001,0.0,0.0,0.0,0.0,-3.677613769070831e-16,-0.03127696207930961,0.08329318622135128,-0.00218362618878429,1.7763568394002505e-15,33.747364570769136,-39.81014053744542,-0.3081238362294767
0.039999999999999994,8,0.24822842071786977,0.0021526811576268014,0.18915459845341878,0.153461484033528,0.00010715523155814637,0.016154732976115752,0.012541665871583164,0.00445016197119346,102.05941097826316,5.542876513413088,0.1931250000000001,0.0,0.0,0.0,0.0,2.914335439641036e-16,-0.03555770193286782,0.09076324930970697,-0.0019270318947924609,3.552713678800501e-15,39.446842882438354,-46.42984558159653,-0.3386763031574788
0.04499999999999999,9,0.2488497091415005,0.0021543607035726317,0.19581087122351598,0.17224417066756814,0.0001073947179754922,0.016703661938287914,0.012918714931908486,0.004450416024868541,102.09133169945922,5.54751993971721,0.1981250000000001,0.0,0.0,0.0,0.0,9.298117831235686e-16,-0.03977051945108531,0.09712171918715004,-0.001532513971313642,1.7763568394002505e-15,45.33975333581459,-53.2516696689702,-0.36565381300790706
0.04999999999999999,10,0.2500336552157838,0.002156042885339288,0.20310698428477877,0.1908257817391359,0.00010761898902344584,0.01730327486123744,0.013332469034490703,0.00445064830223548,102.11180144029922,5.553888566873167,0.2031250000000001,0.0,0.0,0.0,0.0,-2.983724378680108e-16,-0.04391070845337659,0.1023599513005476,-0.0010016268631711021,7.105427357601002e-15,51.420117785851055,-60.26850053876753,-0.38899928711582726
0.054999999999999986,11,0.25032968742573547,0.0021582781231859432,0.21104201437686243,0.20917564953163037,0.00010783063250661803,0.017953096201213624,0.013783093260225204,0.0044508765079614146,102.12073842733172,5.561975594160872,0.208125,-2.220446049250313e-16,0.0,0.0,0.0,-4.440892098500626e-16,-0.047974509816922965,0.10646929319886912,-0.0003359845666609737,0.0,57.68401789421444,-67.47552827074547,-0.40866071187260083
0.059999999999999984,12,0.2503884349187171,0.0021612869880308035,0.2196220143712435,0.2272646713748827,0.00010803261598708195,0.01865320143099715,0.014271166508814251,0.0044511076199695455,102.11804820815757,5.571783474808374,0.213125,0.0,0.0,0.0,0.0,1.0408340855860843e-16,-0.05195898711010417,0.1094409654409168,0.00046273964468941534,5.329070518200751e-15,64.1295419182952,-74.87016243729153,-0.42459116756715387
0.06499999999999999,13,0.25045475262329564,0.0021648432807759733,0.22884969463271984,0.24506545730775997,0.00010822830479723642,0.019403344703373713,0.014797104260382174,0.004451329864654787,102.10362825001013,5.583308137698214,0.218125,0.0,0.0,0.0,0.0,1.734723475976807e-15,-0.0558619022515254,0.11126630256495844,0.0013928138528956644,7.105427357601002e-15,70.75664007519352,-82.45185041307683,-0.43674883937133174
0.06999999999999999,14,0.25052967610799226,0.002168831010710375,0.23870317509190175,0.262561418196924,0.00010842148938664842,0.02020119406919294,0.01535996716662534,0.004451532663890963,102.07735042510028,5.596548062255834,0.22312500000000002,0.0,0.0,0.0,0.0,1.2628786905111156e-15,-0.05968155509174126,0.11193519840432828,0.0024524479896889284,5.329070518200751e-15,77.5666500734879,-90.22145538818332,-0.4450970302676189
0.075,15,0.250614352575689,0.0021733347558481964,0.24917141736317777,0.2797301717761229,0.0001086164083122397,0.021045307276548658,0.01595944069495994,0.00445172853170054,102.03905807262271,5.6115070426639635,0.22812500000000002,0.0,0.0,0.0,0.0,1.6653345369377348e-15,-0.06341640959472698,0.11143549784077746,0.003639794466513774,3.552713678800501e-15,84.56094994836542,-98.17989444659915,-0.4496041638436285
