s,l,material_label,n,velocity,thermal,endpoint_power,endpoint_force,heat_power_part,heat_force_work_part,heat_rate,packet_edge_distance,integrated_heat_rate,heat_from_material_balance
0.0,-1.0664139157018602,1.0335860842980813,0.0027526019459910215,-0.0007311969181578556,0.44992575558572245,-1.2725208068926438e-07,-3.940005214102842e-08,0.21813490044554684,4.938458546376234e-05,0.2181842850310106,0.7164139157018602,0.0,0.44992575558572245
0.005,-1.0664309536011998,1.0335860842980813,0.002762086689682447,-0.007951217894404169,0.4508790523187343,-1.0994323790747213e-07,-2.6743133961170335e-08,0.18705961301228338,0.00036179075356394943,0.18742140376584734,0.7214309536011997,0.0010140142219921449,0.4509397698077146
0.01,-1.0664824069340548,1.0335860842980813,0.0027713358662291845,-0.01525543534832417,0.45159545474481644,-9.451701032848584e-08,-1.7216323463717955e-08,0.15961035920902308,0.00044352297163233043,0.1600538821806554,0.7264824069340549,0.0018827024368584019,0.45180845802258085
0.015,-1.0665685686058517,1.0335860842980813,0.0027803776102383643,-0.02262756258600262,0.45207432835986155,-8.093503092247134e-08,-1.0355418697237756e-08,0.13564707407864293,0.00039271666543309674,0.13603979074407602,0.7315685686058516,0.0026229366191702305,0.4525486922048927
0.02,-1.0666896596826851,1.0335860842980813,0.0027892308597719287,-0.030054406663430386,0.45230228873428163,-6.917979798016679e-08,-5.676222539609792e-09,0.11506826706243838,0.0002837552173661013,0.11535202227980448,0.7366896596826852,0.0032514161517299316,0.45317717173745237
0.025,-1.0668458417391578,1.0335860842980813,0.002797908474835737,-0.0375258757605082,0.452252402016091,-5.925534745963215e-08,-2.679721782503463e-09,0.09780999243361348,0.00016598781921737277,0.09797598025283086,0.7418458417391577,0.00378473615806152,0.453710491743784
0.03,-1.067037226115993,1.0335860842980813,0.0028064212616805504,-0.04503491601679074,0.45188544851932283,-5.1187667287626877e-08,-8.574102624627878e-10,0.08384461708193659,6.324815797472224e-05,0.08390786523991131,0.7470372261159931,0.004239445771793375,0.4541652013575158
0.035,-1.0672639216518585,1.0335860842980813,0.002814767798051538,-0.05257797026080265,0.45180209446828296,-4.5024685920580325e-08,3.0273227924825213e-10,0.07317945595784361,-2.5870274184377318e-05,0.07315358568365923,0.7522639216518584,0.004632099399102302,0.45455785498482476
0.04,-1.0675260269002786,1.0335860842980813,0.002822933989625594,-0.060154157371445804,0.4529362513593485,-3.9762437467881915e-08,1.2245189284077032e-09,0.06412335323780775,-0.00011878849399587932,0.06400456474381187,0.7575260269002787,0.004974994775170979,0.45490075036089345
0.045,-1.067823594274095,1.0335860842980813,0.0028309217497362506,-0.06776260474780973,0.45397867430953165,-3.331552550046199e-08,1.8054542384362023e-09,0.05330524232683723,-0.00019574912561535677,0.053109493201221866,0.762823594274095,0.0052677799200335634,0.45519353550575603
0.05,-1.0681566937543492,1.0335860842980813,0.0028387292526408986,-0.0754027068402481,0.4548460734474463,-2.5534749255112976e-08,1.7564949721790655e-09,0.04053310911467699,-0.00021023846059978397,0.0403228706540772,0.7681566937543493,0.0055013608296718116,0.45542711641539424
0.055,-1.0685253864764768,1.0335860842980813,0.002846355186816993,-0.08307257551672108,0.45542718618020583,-1.6307575443435916e-08,8.070528801876799e-10,0.02568014628777053,-0.00010557662239711786,0.025574569665373414,0.7735253864764767,0.005666104430470438,0.4555918600161929
0.06,-1.068929721133096,1.0335860842980813,0.0028537982504913397,-0.09076925398887825,0.45551997196087174,-5.507721171904976e-09,-1.286159340901155e-09,0.008603679222859633,0.00018236681201424845,0.008786046034873882,0.778929721133096,0.005752005969721056,0.4556777615554435
0.065,-1.0693697319585798,1.0335860842980813,0.0028610567592638842,-0.0984889986881326,0.4549041102083761,7.003504627028069e-09,-4.728656710685276e-09,-0.010851904959804435,0.0007216324767294232,-0.010130272483075011,0.7843697319585797,0.005748645403600553,0.455674400989323
0.07,-1.0698454387667276,1.0335860842980813,0.0028681271882037497,-0.10622754746414348,0.4534118236640024,2.1375384853275763e-08,-9.675528021443693e-09,-0.03285163272383238,0.001579628082324827,-0.031272004641507554,0.7898454387667276,0.005645139710789096,0.45557089529651157
0.075,-1.0703568561639298,1.0335860842980813,0.0028749815257624314,-0.11398050009109209,0.45133733824065914,3.776564278537337e-08,-1.6216351929526985e-08,-0.05756655389429254,0.002817455531050048,-0.054749098363242495,0.7953568561639298,0.005430086953277222,0.4553558425389997
0.08,-1.070903993076175,1.0335860842980813,0.002881342133048174,-0.12174379415262852,0.45299709340541205,5.633512076470549e-08,-2.4357269406968587e-08,-0.08517303163409995,0.004483305239995749,-0.08068972639410421,0.8009039930761751,0.005091489891383855,0.4550172454771063
0.085,-1.0714866546634023,1.0335860842980813,0.0028873606391429008,-0.12951161083674695,0.453845243854295,7.573178269671633e-08,-3.394416666925635e-08,-0.11356546145859625,0.00659237564331753,-0.10697308581527873,0.8064866546634023,0.0046223328608603976,0.45454808844658284
0.09,-1.0721047642441934,1.0335860842980813,0.0028929912219406296,-0.1372808724372314,0.45343047429040706,9.468748605144319e-08,-4.4443610659680376e-08,-0.14083411478564725,0.009074749530613163,-0.13175936525503407,0.8121047642441935,0.004025501733184616,0.45395125731890706
0.095,-1.0727582524887616,1.0335860842980813,0.002898178321579705,-0.14505087903933278,0.4514697644728725,1.1314293658157039e-07,-5.517152606055539e-08,-0.16691663092006223,0.01180612903803162,-0.15511050188203063,0.8177582524887616,0.003308327065341954,0.4532340826510644
0.1,-1.0734470733375179,1.0335860842980813,0.002902849020671719,-0.15282370345696164,0.4480336789444632,1.3102493871063204e-07,-6.537461148139685e-08,-0.19173569045497665,0.014620049308539737,-0.17711564114643694,0.823447073337518,0.002477761707770784,0.45240351729349326
0.105,-1.0741712884845254,1.0335860842980813,0.0029063054535580493,-0.16062005462311163,0.4499492211868903,1.482483469724618e-07,-7.422733327479714e-08,-0.21524802957260356,0.017310633134680058,-0.19793739643792352,0.8291712884845254,0.0015401291138098846,0.45146588469953236
0.11,-1.0749306145011575,1.0335860842980813,0.0029089055322421295,-0.16843903687579556,0.4501045933672623,1.6471467502556792e-07,-8.083377284718461e-08,-0.2373292027801095,0.019617988955772228,-0.21771121382433725,0.8349306145011576,0.0005010075881542318,0.4504267631738767
0.115,-1.075725099588781,1.0335860842980813,0.0029105281350973178,-0.17629279418882884,0.4480693912653669,1.8031918656993668e-07,-8.422369962031994e-08,-0.25787960552482675,0.021234592604290746,-0.23664501292053597,0.840725099588781,-0.0006348829787079522,0.4492908726070145
0.12,-1.0765548632195943,1.0335860842980813,0.002911037744675059,-0.1841951196993402,0.44399419648904825,1.9495227528682418e-07,-8.335350708577284e-08,-0.27679976970575204,0.02179914262958587,-0.25500062707616616,0.8465548632195944,-0.0018639970786997052,0.44806175850702273
0.125,-1.077420654077489,1.0335860842980813,0.0029094712873497545,-0.19221438614198574,0.4459599628361467,2.085367099504754e-07,-7.709755367318162e-08,-0.29412463047541076,0.02090139939539366,-0.2732232310800171,0.8524206540774891,-0.0031845567240901644,0.44674119886163227
0.13,-1.0783221288910108,1.0335860842980813,0.0029062698928587014,-0.20034141187206184,0.4452768340218495,2.2155216676733855e-07,-6.431173593930675e-08,-0.31054164372154675,0.018059461994543963,-0.2924821817270028,0.8583221288910107,-0.004598820256107716,0.44532693532961476
0.135,-1.0792596777560524,1.0335860842980813,0.0029012307044161377,-0.2085997481392713,0.44182444728715375,2.3415445111527495e-07,-4.375399259653254e-08,-0.326328761992993,0.012719920712960152,-0.3136088412800328,0.8642596777560524,-0.006114047813625306,0.44381170777209716
0.14,-1.0802346466869512,1.0335860842980813,0.002893747301955239,-0.21706646149297698,0.4410811680863193,2.462807609709806e-07,-1.4011990394762177e-08,-0.3415057243960605,0.004217548238780495,-0.3372881761572799,0.8702346466869512,-0.007741290357218589,0.44218446522850385
0.145,-1.0812476973179386,1.0335860842980813,0.002883526247743376,-0.2257934817162019,0.44092824073083453,2.5786100348239833e-07,2.6463592212447292e-08,-0.3560569942877743,-0.008250761797585642,-0.3643077560853599,0.8762476973179386,-0.00949528018782518,0.44043047539789726
0.15,-1.0822989324001386,1.0335860842980813,0.0028704493615459284,-0.23478279975188254,0.43739077941549914,2.688216794208661e-07,7.935761263791753e-08,-0.36994581867900556,-0.025640630754105297,-0.39558644943311083,0.8822989324001386,-0.01139501570162136,0.4385307398841011
0.155,-1.0833909560220023,1.0335860842980813,0.0028542355232796424,-0.24414362370794357,0.43612124595036816,2.7910563906488e-07,1.4664842786466832e-07,-0.38318011783615785,-0.04915380626125549,-0.4323339240974133,0.8883909560220024,-0.013464816635447671,0.43646093895027477
0.16,-1.0845253990181998,1.0335860842980813,0.00283433062472558,-0.25396456296269315,0.4351356824145755,2.886530315941398e-07,2.3049839104496407e-07,-0.39580690140467806,-0.08026907512563472,-0.47607597653031275,0.8945253990181997,-0.01573584138701699,0.43418991419870545
0.165,-1.0857022000511,1.0335860842980813,0.002810369194714538,-0.2642424425875212,0.4305071249357386,2.9740526144693813e-07,3.3318657381517015e-07,-0.4078583134091057,-0.12073987986413898,-0.5285981932732446,0.9007022000511001,-0.018247526811525885,0.4316782287741966
0.17,-1.0869270504405204,1.0335860842980813,0.002782378944917856,-0.27518641516952813,0.43008045699433367,3.0523963902496546e-07,4.576469974973043e-07,-0.41922200534738346,-0.17296600234756815,-0.5921880076949516,0.9069270504405204,-0.02104949231394638,0.4288762632717761
