s,steps,minimum_thermal,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_inverse_stretch,maximum_inverse_stretch,total_slice_energy,field_slice_energy,material_slice_energy,thermal_inventory,thermal_balance_residual,net_charge,maximum_abs_charge_density,maximum_field_density,maximum_end_traction,thermal_endpoint,thermal_electrical,material_balance_residual,material_boundary_integral,material_geometry_integral,material_exchange_integral,energy_balance_residual,energy_boundary_integral,energy_geometry_integral,energy_exchange_integral,momentum_balance_residual,momentum_boundary_integral,momentum_geometry_integral,momentum_exchange_integral
0.0,0,0.24999999999999978,-1.96875,0.1977128324659816,0.013638432016544072,0.002147804611281285,0.15901062377248615,122.1647029807945,20.771617895741976,101.39308508505253,5.570006386371621,0.0,0.0,0.038907707629416054,0.0012341582910967914,0.019999021217455143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1,0.25000542494575995,-2.09375,0.3513956372122493,0.01366599185486788,0.002147984905437362,0.15933714786857614,122.31467610350693,20.77296338641626,101.54171271709068,5.560517283921488,-5.432953624964909e-05,0.0,0.03895033120253557,0.001234019981927133,0.019987765164291422,-0.009434772913925662,4.2166156339857355e-14,0.0,0.0,0.0,0.0,8.430756093247282e-16,-0.004546620364946196,0.017228434847606805,-0.0007473325773563472,0.0,4.097997034298815,-7.5343628836907515,-0.05356109033546094
0.01,2,0.25002482961802563,-2.09375,0.5124003629792924,0.013731435718068273,0.002148756969722476,0.16011350857136547,122.4458459633228,20.75369088241881,101.69215508090399,5.552988396162388,8.905991682878133e-05,0.0,0.038982985827173675,0.0012335422190980722,0.01996882726369663,-0.017107050126103328,4.2166405190329823e-14,0.0,0.0,0.0,0.0,-4.371503159461554e-16,-0.009084753923172238,0.03280495127756504,-0.0013475496619035521,-8.881784197001252e-16,8.451841598104506,-15.433304597542172,-0.10408537751367482
0.015,3,0.25006839377558965,-2.08125,0.6298477192591463,0.013833880020041354,0.0021485970826862666,0.16133184306481227,122.557814122298,20.71615351889949,101.8416606033985,5.547533086568004,0.000555151520489991,0.0,0.03900565228682652,0.001232628675721614,0.019949211949032927,-0.023028451324149716,4.216643267540935e-14,0.0,0.0,0.0,0.0,-1.27675647831893e-15,-0.01360201228958876,0.0466865857546685,-0.0018017827876890885,-5.329070518200751e-15,13.052608651387368,-23.70360395644726,-0.15148149582892825
0.02,4,0.2501006303384372,-2.08125,0.7117810069152029,0.013972282682470168,0.0021488518334471783,0.16298286252528493,122.65044904053723,20.66273594725455,101.98771309328266,5.544267451554471,0.0014702236589332048,0.0,0.03901832342598401,0.001231066101582107,0.019932930028777305,-0.027209158476125612,4.216643267540935e-14,0.0,0.0,0.0,0.0,-4.0939474033052647e-16,-0.018088032234652877,0.05885369948669776,-0.002111224004311545,-5.329070518200751e-15,17.89136080226686,-32.343408904535174,-0.1956628061844072
0.025,5,0.24955702586909378,-1.33125,0.776388962489932,0.014145493702702853,0.0018975749690357808,0.16505625602406687,122.72380043176673,20.595623146955,102.12817728481174,5.543342967889448,0.00299452062705993,0.0,0.03902100514195824,0.0012301556503353443,0.01992140530481099,-0.02965794144992951,2.3406965170079473e-09,0.0,0.0,0.0,0.0,2.220446049250313e-16,-0.02253385561577839,0.06930254308450465,-0.002277125972571289,-3.552713678800501e-15,22.95898416487229,-41.34380832173954,-0.23654746488544096
0.03,6,0.24874717175062133,-1.34375,0.8229681930469042,0.014352336923432928,0.001664484446804576,0.16754151543773368,122.77809187188926,20.516608520175694,102.26148335171358,5.544764864683035,0.0051406322884988325,0.0,0.0390137177003568,0.0012300709787862287,0.019914421241468538,-0.030382196812833065,4.2835748187219394e-08,-2.220446049250313e-16,0.0,0.0,0.0,-7.28583859910259e-16,-0.026931479871071026,0.07804421876806457,-0.0023008018692994383,3.552713678800501e-15,28.246123946137388,-50.69061654132513,-0.27405848154070145
0.035,8,0.24836101103673824,-1.34375,0.8563130888786645,0.01459165019716834,0.0014625749906279706,0.17042824233786563,122.81363650357869,20.426974234617035,102.38666226896166,5.5485083906084185,0.007889822360443291,0.0,0.03899649905577339,0.001229865915675737,0.019911026798824234,-0.02938795260080739,1.3447716109966157e-07,0.0,0.0,0.0,0.0,1.8041124150158794e-16,-0.03127376428110588,0.08509786793046419,-0.0021836147047875273,-7.105427357601002e-15,33.74361603404373,-60.36689662664881,-0.3081242760572387
0.04,10,0.24852337326454954,-1.34375,0.8808040954000944,0.01486231632820415,0.0012897430050394564,0.17370649369891342,122.83080525780996,20.32791563832621,102.50288961948374,5.554402217090104,0.011075668106323516,0.0,0.03896940330481335,0.001229362109144267,0.019909942313511262,-0.02668005617441996,2.1878657922384073e-07,0.0,0.0,0.0,0.0,2.914335439641036e-16,-0.035554290717697175,0.09048802374470119,-0.001926998031116267,-7.105427357601002e-15,39.44283555612631,-70.35433856441112,-0.33867764252773125
0.045,12,0.24924512516879083,-1.34375,0.9007317844567524,0.01516325540549581,0.0011457181689873454,0.17736664347161724,122.82991994322546,20.220478591687744,102.60944135153773,5.563021315957733,0.015276879155813172,0.0,0.03893250258108105,0.0012281750735313735,0.019910134086167708,-0.022262199137784346,2.4956808291214157e-07,-2.220446049250313e-16,0.0,0.0,0.0,-2.914335439641036e-16,-0.03976739575043241,0.09423613011035177,-0.001532450460187917,-7.105427357601002e-15,45.33616637828079,-80.63455690987959,-0.36565620803236787
