s,steps,minimum_thermal,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_inverse_stretch,maximum_inverse_stretch,total_slice_energy,field_slice_energy,material_slice_energy,thermal_inventory,thermal_balance_residual,net_charge,maximum_abs_charge_density,maximum_field_density,maximum_end_traction,thermal_endpoint,thermal_electrical,material_balance_residual,material_boundary_integral,material_geometry_integral,material_exchange_integral,energy_balance_residual,energy_boundary_integral,energy_geometry_integral,energy_exchange_integral,momentum_balance_residual,momentum_boundary_integral,momentum_geometry_integral,momentum_exchange_integral
0.0,0,0.24999999999999978,-2.0328125000000004,0.20100793597396205,0.013963416548659503,0.002147703336928646,0.16285327847322068,122.16905190372928,20.779251046569264,101.38980085716003,5.568872174844877,0.0,0.0,0.03907391706857836,0.0012381597090758343,0.01999931314091589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1,0.2500012466742867,-2.0953125000000004,0.35281112603126985,0.014054385756158513,0.0021479531238555276,0.16393107516104932,122.31922135984293,20.78076195864397,101.53845940119898,5.5593175038238405,-0.00011982342219945715,0.0,0.03911945220542964,0.0012381678392555597,0.019988572216115864,-0.009434847598836976,0.0,0.0,0.0,0.0,0.0,3.5388358909926865e-16,-0.00454660286043398,0.017244041120703296,-0.0007473326393153367,4.440892098500626e-16,4.0979817876800135,-7.52805611194858,-0.05356109762936763
0.01,3,0.2500051324123316,-2.0953125000000004,0.5152326420785585,0.01429152671857836,0.0021482435964793457,0.16674476753529244,122.45054857075246,20.76159064678052,101.68895792397194,5.551619162774684,-0.00014636230125799268,0.0,0.039160763169453466,0.0012381577516995153,0.019971024332044316,-0.01710664976893428,0.0,-2.220446049250313e-16,0.0,0.0,0.0,-1.734723475976807e-15,-0.009085832501419689,0.032834115217925855,-0.0013474897061881552,1.7763568394002505e-15,8.452746483116863,-15.421727981685635,-0.10409021297489897
0.015,6,0.2500124048353918,-2.0921875,0.6352317466968316,0.014659084808457306,0.0021486253832572674,0.1711163588129413,122.56264726040042,20.724256990430085,101.83839026997033,5.54575299886524,-9.161514518942684e-05,0.0,0.03919775105802089,0.0012381260581235602,0.019954929289669947,-0.0230275608344475,0.0,0.0,0.0,0.0,0.0,-9.020562075079397e-16,-0.013605021950267745,0.04672798135740782,-0.0018016361110238129,3.552713678800501e-15,13.05538546867471,-23.687424090997943,-0.15149264120149925
0.02,10,0.25001831075522496,-2.0921875,0.7208057558149221,0.015141508937849076,0.002128703675667309,0.17686964385948994,122.65539516252471,20.671227220977073,101.98416794154764,5.541693287744227,2.9106725721011628e-05,0.0,0.03923024329923241,0.0012380656400030636,0.01994179225287553,-0.027207993826370448,0.0,0.0,0.0,0.0,0.0,-7.077671781985373e-16,-0.018093721551158303,0.05890667010858401,-0.002110981719068415,-1.7763568394002505e-15,17.897005115748748,-32.32294669965938,-0.1956802098139775
0.025,14,0.24936000986862084,-1.3453125,0.7819145220111068,0.01572816289433558,0.0018519232302171547,0.18388563694253682,122.7288378364508,20.604562092509266,102.12427574394152,5.539443816609959,0.00022838866306680992,0.0,0.03925798147840835,0.0012379621930485162,0.019930943600387357,-0.029656746897984476,0.0,0.0,0.0,0.0,0.0,1.4710455076283324e-15,-0.022542561388840778,0.06936569208248017,-0.0022767815606725673,-3.552713678800501e-15,22.96809531719773,-41.319406992950455,-0.2365708713137414
0.03,19,0.24835653615612086,-1.3453125,0.8261424657708858,0.01641195312211787,0.0016184649621089511,0.19208686256664917,122.78320204590443,20.52590313157964,102.25729891432478,5.539016407794895,0.0005254569013729721,0.0,0.03928060924860773,0.0012377852848432002,0.01992215384051011,-0.03038122395135513,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-16,-0.026942910179796817,0.07811577587575069,-0.002300350232071663,-3.552713678800501e-15,28.258554520759688,-50.66287123783675,-0.27408752750922605
0.035,24,0.24789877432320906,-1.3453125,0.8587519202454814,0.01718929677559742,0.0014271126186583892,0.2014375693016066,122.8187980974419,20.43655025168194,102.38224784575995,5.540441566872758,0.0009568886087841336,0.0,0.03929766476786088,0.0012374580992624753,0.019915850389628634,-0.029387496580902665,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-15,-0.03128717463938536,0.08517539503948496,-0.002183061157845218,-1.4210854715202004e-14,33.75857060377312,-60.33642184221578,-0.3081581156095578
0.04,29,0.2479958708883585,-1.3453125,0.8832904287809242,0.018055598445063745,0.0012684211505566481,0.21189035201009662,122.83600337834686,20.33756363235286,102.498439745994,5.543782319334315,0.001590531101076655,0.0,0.039308581862663824,0.0012367169881093733,0.019911175836499786,-0.026680386611638636,0.0,0.0,0.0,0.0,0.0,2.2898349882893854e-16,-0.035568784275063874,0.0905694450980085,-0.0019263488290363045,-1.7763568394002505e-14,39.45920452731042,-70.32193663467567,-0.33871548855936245
0.045,34,0.24858302917069097,-1.3484375000000002,0.9021182674397323,0.019004413691928332,0.0011356556378519466,0.2233760192592335,122.83513146321349,20.229869069086767,102.6052623941267,5.5492352026141685,0.002626573232125304,0.0,0.039312701420543175,0.0012364299897131027,0.01990760568577651,-0.02226354546283325,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-16,-0.03978206115890626,0.0943186962397939,-0.001531707888696015,-3.552713678800501e-14,45.35269293903554,-80.60144509226704,-0.36569751480836243
