s,l,material_label,n,velocity,thermal,electric_flux,electric_field,endpoint_heat_rate,ohmic_heat_rate,heat_rate,packet_edge_distance,integrated_endpoint_heat_rate,integrated_ohmic_heat_rate,integrated_heat_rate,heat_from_material_balance
0.0,-0.5851979687119331,1.5148020312879809,0.0035113981169714826,-0.15301863387221304,0.5692389304582264,0.14604371710002642,0.03175937710358157,-4.3580975013094004e-05,0.0,-4.3580975013094004e-05,0.2351979687119331,0.0,0.0,0.0,0.5692389304582264
0.005,-0.585717934237683,1.5148020312879809,0.0032386044329476863,-0.34354549299673953,0.5690799944245201,0.14604231738529053,0.031754186402993156,-3.1499524398007214e-05,0.0,-3.1499524398007214e-05,0.24071793423768306,-1.8770124852775306e-07,0.0,-1.8770124852775306e-07,0.5692387427569778
0.01,-0.5871429652959081,1.5148020312879809,0.00286996559375063,-0.4973967620840449,0.5689563038600929,0.14604886527470504,0.03174185298524848,-1.5290298755443464e-05,0.0,-1.5290298755443464e-05,0.24714296529590818,-3.0467580641137974e-07,0.0,-3.0467580641137974e-07,0.56923862578242
0.015,-0.5892441631058121,1.5148020312879809,0.0024911590638788455,-0.6145453645822562,0.5688442234969895,0.14604120057799724,0.03171977262380749,7.609704995821537e-06,0.0,7.609704995821537e-06,0.2542441631058121,-3.2387729081043454e-07,0.0,-3.2387729081043454e-07,0.5692386065809356
0.02,-0.5918130357962857,1.5148020312879809,0.002149258895570605,-0.7004696989370098,0.5685869232938825,0.146041481936617,0.0316947742517639,3.839280355341352e-05,0.0,3.839280355341352e-05,0.2618130357962858,-2.0887101943734686e-07,0.0,-2.0887101943734686e-07,0.5692387215872069
0.025,-0.5946973168102619,1.5148020312879809,0.001858913207500916,-0.76334486072187,0.568087216255102,0.1460521531205121,0.03166885398713353,7.710508404534595e-05,0.0,7.710508404534595e-05,0.269697316810262,7.987369955955183e-08,0.0,7.987369955955183e-08,0.5692390103319259
0.03,-0.5977896158242312,1.5148020312879809,0.00162188999230719,-0.8098999972752243,0.5672917481972469,0.14607337840640494,0.03164307974699469,0.000122214254326003,0.0,0.000122214254326003,0.27778961582423123,5.78172045487924e-07,0.0,5.78172045487924e-07,0.5692395086302718
0.035,-0.601013771567404,1.5148020312879809,0.0014281846548982186,-0.8448117185937019,0.5663390965066013,0.14609799315163746,0.03161663346183628,0.00017068441475676219,0.0,0.00017068441475676219,0.28601377156740404,1.3104187181948376e-06,0.0,1.3104187181948376e-06,0.5692402408769446
0.04,-0.604318240977977,1.5148020312879809,0.0012685850992089948,-0.8714167607241832,0.565282271127028,0.146121708223008,0.03158908816842,0.00021506147185002913,0.0,0.00021506147185002913,0.2943182409779771,2.2747834347118156e-06,0.0,2.2747834347118156e-06,0.5692412052416611
0.045,-0.6076707880796963,1.5148020312879809,0.0011360483110590017,-0.8920300593942783,0.5641713187961749,0.14614601803484992,0.03156108303477835,0.00024630129581160756,0.0,0.00024630129581160756,0.3026707880796964,3.428190353865907e-06,0.0,3.428190353865907e-06,0.5692423586485802
0.05,-0.6110454128535765,1.5148020312879809,0.0010250883796960953,-0.908210155702422,0.5629743649784575,0.14615807658094812,0.031530103839218546,0.00025394509518015846,0.0,0.00025394509518015846,0.31104541285357656,4.678806331345324e-06,0.0,4.678806331345324e-06,0.5692436092645577
0.055,-0.6144266536538137,1.5148020312879809,0.0009313256367410337,-0.9210920019002788,0.5616284540638973,0.14615156901280119,0.03149495290691887,0.00022589803858008044,0.0,0.00022589803858008044,0.31942665365381373,5.87841416574592e-06,0.0,5.87841416574592e-06,0.5692448088723921
0.06,-0.6178134668672336,1.5148020312879809,0.0008511488622853058,-0.9315485532794832,0.5601234942867727,0.14614299441512607,0.031459205856262065,0.0001486062589423902,0.0,0.0001486062589423902,0.32781346686723356,6.814674909552097e-06,0.0,6.814674909552097e-06,0.569245745133136
0.065,-0.6212023165948566,1.5148020312879809,0.0007819853807419519,-0.9401472272718567,0.5584468047754877,0.14613294225368312,0.03142302736230788,7.299687860045176e-06,0.0,7.299687860045176e-06,0.33620231659485655,7.204439776558186e-06,0.0,7.204439776558186e-06,0.5692461348980029
0.07,-0.6245920396482726,1.5148020312879809,0.0007218550719809304,-0.9472983623718504,0.5565809862218409,0.14612209480165345,0.03138657781853222,-0.00021370008699790106,0.0,-0.00021370008699790106,0.34459203964827256,6.688438778713546e-06,0.0,6.688438778713546e-06,0.5692456188970051
0.075,-0.6279830812529421,1.5148020312879809,0.0006691506267160436,-0.953307292651258,0.5545602685167362,0.1461104770380789,0.03134985971398972,-0.0005309982324744092,0.0,-0.0005309982324744092,0.3529830812529421,4.826692980032774e-06,0.0,4.826692980032774e-06,0.5692437571512065
0.08,-0.63137674294177,1.5148020312879809,0.0006225532822904869,-0.9584315447500859,0.5522397621009381,0.14610593619980475,0.031314543256710056,-0.0009623630090780525,0.0,-0.0009623630090780525,0.36137674294177,1.0932898761516167e-06,0.0,1.0932898761516167e-06,0.5692400237481026
0.085,-0.6347744149899416,1.5148020312879809,0.0005811241331165815,-0.9628638362991612,0.5494137568423829,0.14611296752463163,0.03128157256817673,-0.001512803817468629,0.0,-0.001512803817468629,0.36977441498994157,-5.094627190215093e-06,0.0,-5.094627190215093e-06,0.5692338358310362
0.09,-0.6381773904277569,1.5148020312879809,0.0005440923463236235,-0.9667461425401185,0.5460120327356865,0.1461220133553848,0.031248883037342183,-0.002183487054271875,0.0,-0.002183487054271875,0.3781773904277569,-1.4335354369566336e-05,0.0,-1.4335354369566336e-05,0.5692245951038568
0.095,-0.6415877884627735,1.5148020312879809,0.0005109229553162987,-0.9701123660782095,0.5427661574913707,0.1461325048615704,0.031216330599671934,-0.002985320959740094,0.0,-0.002985320959740094,0.38658778846277353,-2.7257374404596268e-05,0.0,-2.7257374404596268e-05,0.5692116730838218
0.1,-0.6450098049532138,1.5148020312879809,0.00048120670136280017,-0.972922943687493,0.5410059551459263,0.1461456441778238,0.031184127934444816,-0.003931391022909469,0.0,-0.003931391022909469,0.3950098049532138,-4.4549154361220186e-05,0.0,-4.4549154361220186e-05,0.5691943813038651
0.105,-0.6484490307041165,1.5148020312879809,0.00045458529093534886,-0.9752002291443927,0.5413979535464585,0.1461658583851899,0.031153158996778316,-0.00503781561576866,0.0,-0.00503781561576866,0.40344903070411653,-6.697217095791546e-05,0.0,-6.697217095791546e-05,0.5691719582872684
0.11,-0.6518920280071937,1.5148020312879809,0.00043080462406332653,-0.9771341795861446,0.5418083545114498,0.14615448500410094,0.031115326863645095,-0.006317767363208976,0.0,-0.006317767363208976,0.4118920280071937,-9.536112840535958e-05,0.0,-9.536112840535958e-05,0.569143569329821
0.115,-0.6553526263088729,1.5148020312879809,0.0004090671935661348,-0.9789223247881618,0.5405372145162425,0.14614520452821936,0.031077673688617316,-0.0078062241895080035,0.0,-0.0078062241895080035,0.42035262630887293,-0.00013067110728715207,0.0,-0.00013067110728715207,0.5691082593509392
