s,minimum_integrated_heat,minimum_evolved_heat,maximum_absolute_heat_discrepancy,mean_absolute_heat_discrepancy
0.0,0.2500986460982715,0.2500986460982715,0.0,0.0
0.005,0.2501338980475764,0.2501340780026955,0.001401160396986123,6.951933044912226e-05
0.01,0.25017644750374335,0.2501769978294418,0.003199064932811968,0.00013878697059277055
0.015,0.2502261640784532,0.25022727993707655,0.0053160468255826765,0.00020239404701475776
0.02,0.25028286579384956,0.25028473843375876,0.0076642040111968845,0.0002560967716093548
0.025,0.25034631937468754,0.25034910954887696,0.010139845511277279,0.0002969458115743352
0.03,0.2504162407629439,0.2504200342127126,0.01261515539562924,0.0003187273325941156
0.035,0.2504922957932335,0.25049713058613354,0.014927545879801718,0.0003388215378644787
0.04,0.2505741010875876,0.25057990363557764,0.016865024559598207,0.0003843619891127527
0.045,0.25066122525831,0.2506677531039091,0.0181947689667758,0.00042064466927328585
0.05,0.2507531903724012,0.2507599626421559,0.01877295190985101,0.0004348812586380301
0.055,0.25084947372946165,0.2508556802455071,0.018516833668563715,0.00041035005522452854
0.06,0.2509495099869444,0.25095390065408596,0.0174156097576183,0.00039795884120723886
0.065,0.251052693519763,0.2510537330437756,0.01556582159093417,0.00040558199880713733
0.07,0.2511583773349525,0.2511633860423466,0.016666953282999664,0.00043595237512282855
0.075,0.25126588066660316,0.251274036162589,0.020336029020691815,0.00046163236554917525
0.08,0.2513744970754903,0.2513842631591709,0.022515195664173315,0.0004821267039009483
0.085,0.2514834857025402,0.25149239814630264,0.023002249321999457,0.0005264722847818991
0.09,0.25159207033708025,0.251596482988321,0.021891193710717405,0.0005410857105675465
0.095,0.25169945859541176,0.25170635329332114,0.019591697271765962,0.0005237339639208005
0.1,0.2518048582650513,0.2518175806571115,0.023269927196782725,0.0005424069980583547
0.105,0.25190748316434586,0.2519220128825154,0.025815708371344892,0.0005847007008437417
0.11,0.2520065605567125,0.25201696444400346,0.02596389033994112,0.000613337016236351
0.115,0.2521013392636141,0.25210966649228184,0.024184429134178065,0.0006151079227659938
0.12,0.2521911004181105,0.2521998159806932,0.025402668254908112,0.0006660099448164425
0.125,0.25227517245519127,0.2522751902926467,0.0284500639806598,0.0006983787158606958
0.13,0.25235294285101995,0.25233217216815734,0.02852314298760711,0.0007027234532710546
0.135,0.25242376342712897,0.25237878804455993,0.026486770871969545,0.0007265918047007245
0.14,0.2524870872664853,0.25240020718326456,0.029524237497999484,0.0007445778842922862
0.145,0.2525426008423415,0.2523927696062807,0.03115898784096277,0.0007967620977480414
0.15,0.2525888377713606,0.25346913300315876,0.029887472436993356,0.0008200393724262208
0.155,0.2526249418550725,0.2534905679537114,0.030861977857449152,0.0008533160544822238
0.16,0.25265211553568606,0.2535460379660789,0.033244079648874936,0.0009047467467504155
0.165,0.2526714319611262,0.2548553493701841,0.032235498541361984,0.0009331571196676479
0.17,0.2526844471696803,0.25486268055960243,0.03305723934001453,0.0009716471763132334
0.17500000000000002,0.25269327485494725,0.25651231046937534,0.03520053373484017,0.0010363174585691515
0.18,0.2526993825230848,0.2565920209634295,0.033854818460704705,0.001088249637527011
0.185,0.2527036718043565,0.2566654148556943,0.03969248932724512,0.0011831782191306353
0.19,0.2527067173336351,0.2587178827127174,0.046182313712757994,0.0012569304859963374
0.195,0.25270889648908973,0.2589762560000659,0.0523727169548554,0.0013629445946706335
0.2,0.25271046359291877,0.2611723813583304,0.05816629005039131,0.001454026333927247
0.20500000000000002,0.2527116763117534,0.2616851158389795,0.06090131057595788,0.001570268679881298
0.21,0.25271271062419554,0.2630776324954261,0.06357076912162579,0.0016494864400246924
0.215,0.2527136028520917,0.26479894545828864,0.06614544558402469,0.0017854749687890147
0.22,0.2527143795887668,0.2666751620906987,0.06956333018154276,0.0019127840430464035
0.225,0.2527150618110441,0.2682498539564885,0.07186868276836689,0.002080263190101518
0.23,0.25271566590927474,0.27078350886717223,0.07449071657881812,0.0022602107553617865
0.23500000000000001,0.25271620497762826,0.2720904171580787,0.0798243655957307,0.0024332614020701935
0.24,0.25271668968721955,0.2754101365885409,0.08831245599021603,0.0026223899921748533
0.245,0.25271712877128105,0.27645107659963936,0.09579322164287052,0.0027819690243537183
0.25,0.25271752939230924,0.2808094559227076,0.10229046047581075,0.0029971189656271143
0.255,0.2527178974500922,0.28139901184194943,0.11145790236130221,0.003192627887701984
0.26,0.2527182378292097,0.28693493762474637,0.11727285381945829,0.003446178819692288
0.265,0.252718554596379,0.2870112195240518,0.12672228312730272,0.0036886615448460448
0.27,0.2527188511444789,0.29379123244507316,0.1319317775494006,0.003931213318251729
0.275,0.2527191303394727,0.2934424778929509,0.13644709407063216,0.004143486417441924
0.28,0.25271939476371164,0.3013940038359595,0.14537834151642443,0.0044047139347967385
0.28500000000000003,0.252719646764504,0.3009001398769552,0.14936041844464543,0.004657583302993325
0.29,0.2527198882920125,0.3097530027748478,0.15779862208976408,0.004970561776088487
0.295,0.25272012091009055,0.30964996697629,0.161647371908123,0.0052449037302540824
0.3,0.252720345965812,0.31886733779873977,0.16551750336900184,0.005547463175991856
0.305,0.2527205646601442,0.32004434266048054,0.1737492813123942,0.005825730226230877
0.31,0.2527207780388756,0.3287743463591749,0.17726441397705106,0.00614186034862605
0.315,0.2527209869750609,0.3329442411348721,0.18057111971365608,0.00649700047097676
0.32,0.2527211920805888,0.33960118290177504,0.18753364203640427,0.00687412297473913
0.325,0.252721393669015,0.3488400811293053,0.19067604072392774,0.007234153466248257
0.33,0.25272159178924614,0.3513007987259285,0.19382970043911835,0.007588792402381607
0.335,0.2527217862790944,0.36443723221371027,0.19977955787111318,0.007982824148363252
0.34,0.25272197683005915,0.3638163597637389,0.20297271220152313,0.008397493087414434
0.34500000000000003,0.25272216305630657,0.3771396965055183,0.20690448887135315,0.008836837064442528
0.35000000000000003,0.252722344561668,0.37764020122034836,0.20984761733240964,0.009279640434668024
