s,steps,minimum_thermal,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_inverse_stretch,maximum_inverse_stretch,total_slice_energy,field_slice_energy,material_slice_energy,thermal_inventory,thermal_balance_residual,net_charge,maximum_abs_charge_density,maximum_field_density,maximum_end_traction,thermal_endpoint,thermal_electrical,material_balance_residual,material_boundary_integral,material_geometry_integral,material_exchange_integral,energy_balance_residual,energy_boundary_integral,energy_geometry_integral,energy_exchange_integral,momentum_balance_residual,momentum_boundary_integral,momentum_geometry_integral,momentum_exchange_integral
0.0,0,0.24999999999999978,-1.96875,0.1977128324659816,0.013638432016544072,0.002147804611281285,0.15901062377248615,101.39308508505253,0.0,101.39308508505253,5.570006386371622,0.0,0.0,0.0,0.0,0.019999021217455143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1,0.2500054293692746,-2.09375,0.15959148030322012,0.013665967893990305,0.0021479896662026307,0.1593368652414694,101.51756146036323,0.0,101.51756146036323,5.560627033180312,5.3846443439780845e-05,0.0,0.0,0.0,0.019987753387064978,-0.009433199634749461,0.0,0.0,0.0,0.0,0.0,-5.898059818321144e-17,-0.004546618730416819,0.015199466522202396,-0.0007473325773563472,-1.1102230246251565e-16,4.097995513389463,-4.91279661272503,-0.05356109033546094
0.01,2,0.2500248366033062,-2.09375,0.14181592532020204,0.013731445246519671,0.002148774150698163,0.16011362219596617,101.630251903785,0.0,101.630251903785,5.5530341890826564,0.00012855434668727477,0.0,0.0,0.0,0.019968802586031186,-0.017100751635652403,0.0,0.0,0.0,0.0,0.0,-6.591949208711867e-16,-0.00908474578524002,0.029305431216469932,-0.0013475496619035521,2.4424906541753444e-15,8.451833722734177,-10.10108778699443,-0.10408537751367482
0.015,3,0.25006846038986863,-2.08125,0.12715426256079354,0.013833944013861094,0.00214863222708208,0.16133260190891463,101.7312435688131,0.0,101.7312435688131,5.547222224103647,0.00023010285939510146,0.0,0.0,0.0,0.01994917012602549,-0.02301426512736985,0.0,0.0,0.0,0.0,0.0,2.5673907444456745e-16,-0.013601996752247922,0.042313576659414584,-0.0018017827876890885,2.220446049250313e-15,13.052593184592698,-15.555795064357362,-0.15148149582892825
0.02,4,0.2501007398028363,-2.08125,0.11334674593183536,0.013972419847360399,0.0021489145949252606,0.16298448984373706,101.82059859802695,0.0,101.82059859802695,5.543187457216512,0.00036498149181387327,0.0,0.0,0.0,0.01993282752698374,-0.02718391064692294,0.0,0.0,0.0,0.0,0.0,-1.0408340855860843e-15,-0.018088001928907086,0.05421967034744947,-0.002111224004311545,-4.440892098500626e-16,17.891329242294532,-21.266612529742588,-0.1956628061844072
0.025,5,0.249556130160431,-1.33125,0.10012925300145525,0.014145721507053743,0.002149789734333838,0.16505896262694894,101.89834184604798,0.0,101.89834184604798,5.540929452704304,0.0005415111852045407,0.0,0.0,0.0,0.0199212360746684,-0.029618444852522914,0.0,0.0,0.0,0.0,0.0,-3.8163916471489756e-16,-0.022533792888359806,0.06501797438244475,-0.002277125972571289,-5.329070518200751e-15,22.958915350325977,-27.2223173013187,-0.23654746488544096
0.03,6,0.24874530780500592,-1.34375,0.11534833746134154,0.014352655105282787,0.0021506329068857327,0.16754530519505179,101.96452639065537,0.0,101.96452639065537,5.540426809374535,0.0007456715785784358,0.0,0.0,0.0,0.019914067038808693,-0.030325248575665306,0.0,0.0,0.0,0.0,0.0,9.783840404509192e-16,-0.026931372155378577,0.07470602826146622,-0.0023008018692994383,-8.881784197001252e-15,28.246000804574415,-33.411138948346334,-0.27405848154070145
0.034999999999999996,7,0.24835837813215011,-1.34375,0.13442165534286232,0.014591945537499165,0.0021513697592353267,0.1704318045823113,102.01922547040155,0.0,102.01922547040155,5.541671071814508,0.0009750683775735915,0.0,0.0,0.0,0.019910167289792478,-0.029310382934687382,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,-0.031273485249855223,0.08328377945974129,-0.002183625511005484,-6.217248937900877e-15,33.743269699678685,-39.82146492523483,-0.3081237793489181
0.039999999999999994,8,0.24852010919919598,-1.34375,0.15335826241073391,0.014862363803772604,0.002152645015356728,0.17370716755957627,102.06252721334849,0.0,102.06252721334849,5.5446406830715125,0.0012129516619145092,0.0,0.0,0.0,0.019908412616046266,-0.026578654962024037,0.0,0.0,0.0,0.0,0.0,-3.5388358909926865e-16,-0.0355536662700157,0.09075320925751793,-0.0019270310713712878,-1.2434497875801753e-14,39.44202473045713,-46.44259962535028,-0.33867623794188184
0.04499999999999999,9,0.24924143668092014,-1.34375,0.17212478798376196,0.015162787622759532,0.0021545010933859527,0.17736120876404435,102.09444856256832,0.0,102.09444856256832,5.549326892872833,0.001454206059843441,0.0,0.0,0.0,0.019907885579074046,-0.02213369955863183,0.0,0.0,0.0,0.0,0.0,-4.371503159461554e-16,-0.03976628703671876,0.09711153220185513,-0.0015325129897565256,-1.4210854715202004e-14,45.33468791744367,-53.26531700735151,-0.3656537396178482
