s,l,material_label,n,velocity,thermal,electric_flux,electric_field,endpoint_heat_rate,ohmic_heat_rate,heat_rate,packet_edge_distance,integrated_endpoint_heat_rate,integrated_ohmic_heat_rate,integrated_heat_rate,heat_from_material_balance
0.0,-1.210034948128339,0.8899650518716737,0.003460816952416219,-7.693354084243116e-05,0.5800661321735392,0.1937271226735408,0.03291001545266457,-0.9618500457651422,0.0,-0.9618500457651422,0.860034948128339,0.0,0.0,0.0,0.5800661321735392
0.005,-1.2094397426343884,0.8899650518716737,0.0032966191564224936,0.2781118233340121,0.5592945144499896,0.19406746714714093,0.03297676554868784,-1.0757451853207405,0.0,-1.0757451853207405,0.8644397426343883,-0.005093988077714706,0.0,-0.005093988077714706,0.5749721440958245
0.01,-1.2077091956288855,0.8899650518716737,0.002882753024195083,0.522258478297938,0.5019629407710458,0.1953559440377361,0.03322151174820621,-1.2652398945493062,0.0,-1.2652398945493062,0.8677091956288855,-0.010946450777389823,0.0,-0.010946450777389823,0.5691196813961493
0.015,-1.2051469514229052,0.8899650518716737,0.002410833918786709,0.6999992249855661,0.44078225424277556,0.19700497691965957,0.033540404493514836,-1.4509656969200622,0.0,-1.4509656969200622,0.8701469514229051,-0.01773696475606324,0.0,-0.01773696475606324,0.562329167417476
0.02,-1.2023456222953857,0.8899650518716737,0.002008758416055942,0.7950215725068673,0.39313412296223216,0.19661556312285217,0.033516098003039035,-1.5252927725207395,0.0,-1.5252927725207395,0.8723456222953857,-0.025177610929665244,0.0,-0.025177610929665244,0.554888521243874
0.025,-1.1991270284722468,0.8899650518716737,0.0016425829288446423,0.8568886787693083,0.3234277123182151,0.1952136012568653,0.03332503506658928,-1.5190307831301004,0.0,-1.5190307831301004,0.8741270284722468,-0.032788419818792346,0.0,-0.032788419818792346,0.5472777123547469
0.03,-1.1953403813889445,0.8899650518716737,0.001350798943888775,0.8975967730806622,0.28389955806507744,0.19579434392773307,0.03348075272514776,-1.3622272597690293,0.0,-1.3622272597690293,0.8753403813889445,-0.03999156492604017,0.0,-0.03999156492604017,0.540074567247499
0.035,-1.1916389251469615,0.8899650518716737,0.0011307483655079796,0.9349202312716668,0.2094352880598141,0.1964494441293144,0.03364833828375462,-1.0648597478880895,4.3323005430943775,3.267440795206288,0.8766389251469614,-0.04605928244518297,0.010830751357735953,-0.035228531087447015,0.5448376010860921
0.04,-1.1880475349695343,0.8899650518716737,0.0009578325242275611,0.9517493758460946,0.1369676375857156,0.19315296770784338,0.033136785673846404,-0.5744735535282972,53.59657712758206,53.02210357405376,0.8780475349695344,-0.05015761569872393,0.15565294553442696,0.10549532983570305,0.6855614620092423
0.045,-1.1840281723817232,0.8899650518716737,0.0008224802849861793,0.9604111850502494,0.13360712231478733,0.19224099844531542,0.033039497847121777,0.13333564385383667,60.0031245443563,60.13646018821014,0.8790281723817231,-0.05126046047291008,0.4396521997142727,0.3883917392413626,0.9684578714149018
0.0479994953139635,-1.18125,0.8899650518716737,0.000675009493299861,0.9758011960199156,4.478593589318791e-07,0.19475363790740605,0.033512787352978024,0.7139968462155425,135.97488173985576,136.6888785860713,0.8792494953139635,-0.04998967555624402,0.7335697554589743,0.6835800799027303,1.2636462120762695
