s,steps,minimum_thermal,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_inverse_stretch,maximum_inverse_stretch,total_slice_energy,field_slice_energy,material_slice_energy,thermal_inventory,thermal_balance_residual,net_charge,maximum_abs_charge_density,maximum_field_density,maximum_end_traction,thermal_endpoint,thermal_electrical,material_balance_residual,material_boundary_integral,material_geometry_integral,material_exchange_integral,energy_balance_residual,energy_boundary_integral,energy_geometry_integral,energy_exchange_integral,momentum_balance_residual,momentum_boundary_integral,momentum_geometry_integral,momentum_exchange_integral
0.0,0,0.24999999999999933,-1.9515625,0.20100793597396205,0.013963416548659503,0.002147703336928646,0.16285327847322068,122.16905190372928,20.779251046569264,101.38980085716003,5.568872174844877,0.0,0.0,0.1897264597568928,0.005819771878725695,0.01999931314091589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1,0.24996519688366847,-1.9203125,0.32353901962676446,0.014054384600799162,0.0021461513585422287,0.16393106134660623,122.27577226340196,20.71700414192897,101.558768121473,5.559259245584138,0.00016711538490656348,0.0,0.18752014661946564,0.005819705726800982,0.019988572234632598,-0.009780045272938928,6.272937087717718e-10,0.0,0.0,0.0,0.0,-1.6740081543176188e-15,-0.004546602860019698,0.01378647188456311,-0.0007473326393153367,0.0,4.097981787290259,-9.069070746831763,-0.05356109762936763
0.01,4,0.24987600219584327,-1.9203125,0.5653663280724004,0.014291173794394194,0.0020468403049170377,0.16674048876253328,122.36969185981008,20.58453593287862,101.78515592693145,5.550109874609613,-0.00027685991583574433,0.0,0.1762115430954803,0.005819388215747471,0.01997090967623582,-0.01848544094707666,6.276489225548694e-10,-2.220446049250313e-16,0.0,0.0,0.0,-1.0720591081536668e-15,-0.00908603062350295,0.026399926749433106,-0.0013474757299295943,0.0,8.45289857120884,-18.38866311851122,-0.10409135613089278
0.015,8,0.24989391834646058,-1.9203125,0.7197441638919599,0.0146588389082175,0.0014200904919479684,0.17111333582084992,122.4514522185311,20.39147091834932,102.05998130018178,5.541782680329756,-0.0009350797094326655,0.0,0.17075578565028213,0.005818652295419834,0.01995483957296446,-0.0261544154336031,6.279147993313807e-10,0.0,0.0,0.0,0.0,-1.8457457784393227e-15,-0.013605251417148344,0.0378795717682479,-0.001801617335389347,5.329070518200751e-15,13.055562287872007,-27.923880524633734,-0.1514941368777706
0.02,13,0.23084576640980758,-1.2109375,0.8153606598262968,0.015141482931364143,0.0009524024077391358,0.17686924228941048,122.52158923240026,20.14838729738898,102.37320193501128,5.534498659005786,-0.0016193456129326871,0.0,0.17252040570698624,0.00581652071811806,0.01994174674125285,-0.03276458465905938,1.0414432901441662e-05,0.0,0.0,0.0,0.0,1.0443035325380379e-15,-0.018093962506441335,0.0482589517461993,-0.0021109599985601898,7.105427357601002e-15,17.897192726219536,-37.64617155001242,-0.19568190004753908
0.025,18,0.19591261882668842,-1.2078125000000002,0.8757106934259582,0.015728412030916274,0.0006841495106379708,0.1838885317234252,122.58054710737908,19.86454385489389,102.7160032524852,5.528524182448239,-0.002430636056440773,0.0,0.19216168478792645,0.005814428700995483,0.01993093217979308,-0.03824819248501568,0.00033083614481861515,0.0,0.0,0.0,0.0,1.8041124150158794e-16,-0.02254281427631842,0.057565319508340575,-0.0022767573722870574,1.7763568394002505e-14,22.96829706874522,-47.53165856971191,-0.23657270713899572
0.03,23,0.18100630692487507,-1.2046875,0.9139734406238631,0.016412485184475297,0.0005102257094715341,0.19209316684523056,122.62878553386852,19.547229455990376,103.08155607787815,5.524858422894922,-0.003165344434749056,0.0,0.19215406256649473,0.005812409523743789,0.01992216417204831,-0.04249665063596914,0.0016482431207634563,0.0,0.0,0.0,0.0,2.2898349882893854e-16,-0.026943178916030715,0.06582794227778345,-0.0023003234906325996,1.4210854715202004e-14,28.25877681401987,-57.559455037478074,-0.2740894970871708
0.035,29,0.15548273544069002,-1.1984375,0.9387901705484865,0.017190083588280784,0.00040066814016647854,0.2014469752489779,122.66675204916635,19.202610837016387,103.46414121214997,5.5231121072780915,-0.004476962490112667,0.0,0.23754147265981146,0.005810538322278005,0.019915875258592085,-0.04536300129421356,0.004079896217541528,0.0,0.0,0.0,0.0,-2.0816681711721685e-15,-0.0312874590229599,0.07307621042711933,-0.002183032242225673,7.105427357601002e-15,33.758813776837094,-67.71104228980518,-0.3081601874013407
0.04,35,0.10339384861265977,-1.9046875,0.9530871354328383,0.018056539497070596,0.00032278248965413313,0.21190169063626274,122.69491143715307,18.83582955541,103.85908188174307,5.5223841057313185,-0.007419346377317786,0.0,0.23916951566302996,0.005801904648139599,0.019911211249718026,-0.0466738194612383,0.007605096724997642,0.0,0.0,0.0,0.0,1.3530843112619095e-15,-0.0355690838795798,0.07934197370074278,-0.0019263177629683585,2.842170943040401e-14,39.459468401329175,-77.97017705588486,-0.3387176501861715
0.045,41,0.08011155626258248,-1.9046875,0.9653913452806364,0.019005429364203,0.0002675099851875473,0.22338837116667604,122.71363728655137,18.45061307982837,104.263024206723,5.52660911597516,-0.007989976586207129,0.0,0.24634047798502015,0.005790122046419431,0.019907652765426755,-0.04624832676050557,0.011975244476995474,-2.220446049250313e-16,0.0,0.0,0.0,-1.0685896612017132e-15,-0.03978237627238141,0.08465077869144652,-0.0015316746132004247,2.842170943040401e-14,45.352977937332064,-88.32301695883602,-0.3656997579868596
