s,steps,minimum_thermal,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_inverse_stretch,maximum_inverse_stretch,total_slice_energy,field_slice_energy,material_slice_energy,thermal_inventory,thermal_balance_residual,net_charge,maximum_abs_charge_density,maximum_field_density,maximum_end_traction,thermal_endpoint,thermal_electrical,material_balance_residual,material_boundary_integral,material_geometry_integral,material_exchange_integral,energy_balance_residual,energy_boundary_integral,energy_geometry_integral,energy_exchange_integral,momentum_balance_residual,momentum_boundary_integral,momentum_geometry_integral,momentum_exchange_integral
0.0,0,0.24999999999999978,-2.065625,0.19989288236240554,0.013854457517212333,0.0021476874265808073,0.1615646520561368,122.1649407809706,20.7750473740377,101.38989340693288,5.568535157560256,0.0,0.0,0.13507243957336756,0.005802120885750608,0.019999228294902516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1,0.24982266756128202,-1.921875,0.31339678095571344,0.013903158800327048,0.002146419069980242,0.16214154001275358,122.27165230404076,20.71379467346611,101.55785763057465,5.558759522056451,3.4267190884815026e-06,0.0,0.13508717795463746,0.005801953955514571,0.01998792747432626,-0.009779062222894187,0.0,-2.220446049250313e-16,0.0,0.0,0.0,-9.003214840319629e-16,-0.004546615377672743,0.013785781206671587,-0.000747332638257292,0.0,4.097992996071108,-9.068044410298429,-0.05356109785022909
0.01,2,0.2494020582039005,-1.921875,0.553127008377146,0.014028947896188587,0.0021425151582751376,0.16363397895503576,122.36558697228627,20.58375413247896,101.7818328398073,5.549296839227913,-0.0007298895943644783,0.0,0.1348093728400837,0.005801367010573199,0.01996899175911915,-0.018508428737979202,0.0,0.0,0.0,0.0,0.0,-4.0939474033052647e-16,-0.009084694235604566,0.02639916061132161,-0.0013475497954909886,-3.552713678800501e-15,8.451784365880911,-18.38621612030866,-0.10408539284156965
0.015,4,0.2487853816355512,-1.9156250000000001,0.7115304146324206,0.01422713207795524,0.0017925204339488653,0.1659908951427666,122.44732315150294,20.394234965521704,102.05308818598125,5.540414855703555,-0.0019317476776329532,0.0,0.13424461305324825,0.0058003659977836144,0.019950375342875453,-0.026188554179067756,0.0,-2.220446049250313e-16,0.0,0.0,0.0,2.914335439641036e-16,-0.013602902019657892,0.03787589182947049,-0.0018017147536968719,-5.329070518200751e-15,13.053447058507576,-27.921639274993975,-0.15148645454278062
0.02,7,0.23871140689524872,-1.215625,0.809429107099163,0.014493829450611853,0.0012877654832213858,0.16917177151484206,122.51741418606932,20.15520475556204,102.36220943050728,5.53223077887556,-0.0034881941833960627,0.0,0.1334003785812302,0.005798973723931651,0.019935725291286288,-0.03281618450130077,0.0,0.0,0.0,0.0,0.0,-1.0685896612017132e-15,-0.01809020794027182,0.048250226445934685,-0.0021110761407147575,-3.552713678800501e-15,17.893569810160063,-37.64513273460863,-0.19567299056797768
0.025,10,0.19650784936251542,-1.209375,0.874851101552963,0.014824432432380505,0.0009439517568094554,0.17312715751511437,122.5763024906004,19.875709169715932,102.70059332088447,5.524867144469791,-0.005338207723422817,0.0,0.13228797730772168,0.005797243658348232,0.01992524322496938,-0.0383298053670424,0.0,0.0,0.0,0.0,0.0,-8.326672684688674e-17,-0.022537602285848897,0.05754961427562036,-0.0022768872466127302,-1.0658141036401503e-14,22.963016553492476,-47.53277808662459,-0.2365629855568956
0.03,13,0.14253303399860706,-1.203125,0.9137664483763501,0.015213559915104547,0.0007022396325645792,0.17779807575479276,122.62444446154372,19.56306856190069,103.06137589964301,5.518056470682308,-0.007844505715193293,0.0,0.1309214751518946,0.005795256267889711,0.0199180473991331,-0.042634181162755025,0.0,0.0,0.0,0.0,0.0,-5.342948306008566e-16,-0.026936795472678878,0.0658034015986948,-0.0023004650599493435,0.0,28.252094244641015,-57.563582257083404,-0.2740791549853736
0.035,16,0.09054757350434861,-1.203125,0.9436487893552794,0.015657835333363682,0.0005237243115083208,0.18314886893970914,122.66228959968375,19.222869461281448,103.4394201384023,5.512569182231753,-0.010367356008851683,0.0,0.1293174457331245,0.005793116346048137,0.01991320445948531,-0.04559861931965132,0.0,0.0,0.0,0.0,0.0,-2.9351521213527576e-15,-0.03128027807339853,0.0730412243653812,-0.0021831848224225714,7.105427357601002e-15,33.751132969014215,-67.71895367018513,-0.30814932379896565
0.04,19,0.011722963029959121,-1.1968750000000001,0.9612262981728463,0.016154961694225468,0.0003904938701982549,0.1891566301136438,122.690303648856,18.860112554666276,103.83019109418973,5.508973848644899,-0.012508394697065637,0.0,0.13470845100595558,0.005790994956580464,0.019910001689971403,-0.047052914218291324,0.0,0.0,0.0,0.0,0.0,-5.828670879282072e-16,-0.03556143709229756,0.07929496712271314,-0.0019264813599656188,2.1316282072803006e-14,39.45118602572899,-77.98266306551511,-0.3387063236488298
0.041012496277005435,24,2.4427229905477077e-07,-1.1968750000000001,0.9647357672448607,0.016261930270613695,0.00036803569400327044,0.19045197464834818,122.6948151323833,18.784352778970888,103.91046235341241,5.508539028909725,-0.012851400728747589,0.0,0.13451752828152672,0.005790452746808247,0.019909506397741587,-0.04714472792178375,0.0,0.0,0.0,0.0,0.0,1.762479051592436e-15,-0.0364202662441628,0.0804439809437991,-0.001857653577165729,1.4210854715202004e-14,40.629213145131274,-80.07304051693923,-0.3444608251101353
