s,l,material_label,n,velocity,thermal,electric_flux,electric_field,endpoint_heat_rate,ohmic_heat_rate,heat_rate,packet_edge_distance,integrated_endpoint_heat_rate,integrated_ohmic_heat_rate,integrated_heat_rate,heat_from_material_balance
0.0,-1.2194107657405184,0.880589234259494,0.0035228224825531087,-6.576988758488774e-05,0.3193469839469927,0.1475349069695217,0.024958376350222338,-0.9470739631700226,0.0,-0.9470739631700226,0.8694107657405185,0.0,0.0,0.0,0.3193469839469927
0.005,-1.218931453689088,0.880589234259494,0.0032449865060851135,0.21787631396266421,0.31362449946715715,0.1468845484164617,0.02485381012162236,-1.0660543277621477,0.0,-1.0660543277621477,0.873931453689088,-0.005032820727330426,0.0,-0.005032820727330426,0.31431416321966227
0.01,-1.2174911294849278,0.880589234259494,0.0026563612079545385,0.42804694458302395,0.2995261520141822,0.14826163952836807,0.02510309347660603,-1.341639263318877,0.0,-1.341639263318877,0.8774911294849278,-0.011052054705032989,0.0,-0.011052054705032989,0.30829492924195967
0.015,-1.2151825398825602,0.880589234259494,0.002026369280325723,0.6232113405302548,0.270020508437965,0.14998878459326997,0.025421841974571365,-1.7791980946235633,0.0,-1.7791980946235633,0.8801825398825601,-0.018854148099889088,0.0,-0.018854148099889088,0.30049283584710357
0.02,-1.212543008221675,0.880589234259494,0.0015351052794000933,0.7159041589058559,0.24416462996315214,0.14860381187270205,0.025216916299196535,-2.120688517524091,0.0,-2.120688517524091,0.8825430082216751,-0.028603864630258227,0.0,-0.028603864630258227,0.29074311931673447
0.025,-1.20904464504603,0.880589234259494,0.0011826767628562663,0.8351329763784802,0.1988048837236588,0.15119376301675216,0.025696610536962677,-2.5077220664035593,0.0,-2.5077220664035593,0.8840446450460299,-0.04017489109007735,0.0,-0.04017489109007735,0.27917209285691535
0.03,-1.2057263932540228,0.880589234259494,0.0009165867515255932,0.8724533196686353,0.1523775603931081,0.1503800638411582,0.025596293153120387,-2.590176591151953,0.0,-2.590176591151953,0.8857263932540228,-0.05291963773396613,0.0,-0.05291963773396613,0.26642734621302655
0.035,-1.2018473445371718,0.880589234259494,0.000723636993626142,0.9221122446196384,0.09118604048552309,0.15175718582755252,0.025875524327848846,-2.463739033360381,0.0,-2.463739033360381,0.8868473445371717,-0.06555442679524698,0.0,-0.06555442679524698,0.2537925571517457
0.04,-1.1978693722745741,0.880589234259494,0.0005750851046329643,0.947288278006264,0.021415934553124294,0.15258988046519176,0.026063786075580908,-1.893707701909332,0.0,-1.893707701909332,0.8878693722745742,-0.07644804363342125,0.0,-0.07644804363342125,0.24289894031357143
0.041012496277005435,-1.1968750000000001,0.880589234259494,0.0005505808940560741,0.9571124171471865,2.4427229905477077e-07,0.1531848299210667,0.026177024868696833,-1.7319706062978266,0.0,-1.7319706062978266,0.8878874962770057,-0.07828353652776081,0.0,-0.07828353652776081,0.24106344741923186
