s,l,material_label,n,velocity,thermal,electric_flux,electric_field,endpoint_heat_rate,ohmic_heat_rate,heat_rate,packet_edge_distance,integrated_endpoint_heat_rate,integrated_ohmic_heat_rate,integrated_heat_rate,heat_from_material_balance
0.0,-0.521193595142936,1.5788064048570865,0.00481502517395294,-0.18793554778283633,0.5525254937000282,0.0,0.0,-6.528853588768647e-05,0.0,-6.528853588768647e-05,0.17119359514293597,0.0,0.0,0.0,0.5525254937000282
0.005,-0.521114598688269,1.5788064048570865,0.004701408757185798,-0.15922795899996806,0.5526297267510047,0.0,0.0,-5.23174661569532e-05,0.0,-5.23174661569532e-05,0.17611459868826906,-2.940150051115992e-07,0.0,-2.940150051115992e-07,0.5525251996850231
0.01,-0.5209002068216454,1.5788064048570865,0.004576629446758009,-0.1338521131649641,0.5527458135958402,0.0,0.0,-4.034185666140849e-05,0.0,-4.034185666140849e-05,0.18090020682164543,-5.256633121575035e-07,0.0,-5.256633121575035e-07,0.552524968036716
0.015,-0.5205706009621457,1.5788064048570865,0.004443848123334157,-0.11139412112287977,0.5528761479886741,0.0,0.0,-2.916855500325732e-05,0.0,-2.916855500325732e-05,0.18557060096214573,-6.99439341319168e-07,0.0,-6.99439341319168e-07,0.5525247942606869
0.02,-0.52014289570449,1.5788064048570865,0.004305384286424093,-0.09146320928379914,0.5530196677280419,0.0,0.0,-1.8671523263056448e-05,0.0,-1.8671523263056448e-05,0.19014289570449006,-8.190395369849524e-07,0.0,-8.190395369849524e-07,0.5525246746604913
0.025,-0.519632766872597,1.5788064048570865,0.004163756471004314,-0.07370431435021721,0.553171530774935,0.0,0.0,-8.770551302352945e-06,0.0,-8.770551302352945e-06,0.194632766872597,-8.87644723398476e-07,0.0,-8.87644723398476e-07,0.5525246060553048
0.03,-0.5190539434200141,1.5788064048570865,0.004021572847303182,-0.0577822392742994,0.5532695123442515,0.0,0.0,5.820627883147302e-07,0.0,5.820627883147302e-07,0.19905394342001415,-9.081159446835715e-07,0.0,-9.081159446835715e-07,0.5525245855840836
0.034999999999999996,-0.5184187932923088,1.5788064048570865,0.0038812121418528244,-0.04338557415868259,0.5533683113064447,0.0,0.0,9.404047976631599e-06,0.0,9.404047976631599e-06,0.20341879329230883,-8.831506677712058e-07,0.0,-8.831506677712058e-07,0.5525246105493604
0.039999999999999994,-0.5177382330821922,1.5788064048570865,0.0037446813372982108,-0.030236548136945072,0.553355811143149,0.0,0.0,1.7687712665413487e-05,0.0,1.7687712665413487e-05,0.2077382330821923,-8.154212661660931e-07,0.0,-8.154212661660931e-07,0.5525246782787621
0.04499999999999999,-0.5170205164445929,1.5788064048570865,0.003613935317901006,-0.018082043974117605,0.5532090770078095,0.0,0.0,2.5409446565038674e-05,0.0,2.5409446565038674e-05,0.21202051644459297,-7.076783680899627e-07,0.0,-7.076783680899627e-07,0.5525247860216601
0.04999999999999999,-0.5162725426252038,1.5788064048570865,0.003491264081487245,-0.006720478471549772,0.5529972895047718,0.0,0.0,3.250399756840662e-05,0.0,3.250399756840662e-05,0.2162725426252038,-5.628947577563496e-07,0.0,-5.628947577563496e-07,0.5525249308052704
0.054999999999999986,-0.5155105322527188,1.5788064048570865,0.0033941129493523306,0.0038556560092141675,0.5527323481901212,0.0,0.0,3.872270414174674e-05,0.0,3.872270414174674e-05,0.22051053225271877,-3.8482800348096627e-07,0.0,-3.8482800348096627e-07,0.5525251088720248
0.059999999999999984,-0.5147913837886181,1.5788064048570865,0.0033977742139465815,0.012770909918553836,0.5531480430694734,0.0,0.0,4.301666251331952e-05,0.0,4.301666251331952e-05,0.22479138378861807,-1.8047958684330073e-07,0.0,-1.8047958684330073e-07,0.5525253132204414
0.06499999999999999,-0.5140787522226599,1.5788064048570865,0.003422547762462448,0.020321522847089057,0.5537132463631104,0.0,0.0,4.606461693064765e-05,0.0,4.606461693064765e-05,0.22907875222265983,4.22236117666174e-08,0.0,4.22236117666174e-08,0.55252553592364
0.06999999999999999,-0.5133749935083439,1.5788064048570865,0.0034617238085208717,0.026446311292641113,0.5543672817389331,0.0,0.0,4.795077825209138e-05,0.0,4.795077825209138e-05,0.2333749935083439,2.7726209972346516e-07,0.0,2.7726209972346516e-07,0.552525770962128
0.075,-0.5126834132133389,1.5788064048570865,0.0035139850916812254,0.031251232563769785,0.5551370511544481,0.0,0.0,4.873827702417257e-05,0.0,4.873827702417257e-05,0.23768341321333886,5.189847379141252e-07,0.0,5.189847379141252e-07,0.5525260126847662
0.08,-0.5120070903931958,1.5788064048570865,0.003578583152474393,0.03487904360462272,0.5560063403495139,0.0,0.0,4.8509681666155555e-05,0.0,4.8509681666155555e-05,0.2420070903931958,7.621046346399457e-07,0.0,7.621046346399457e-07,0.5525262558046629
0.085,-0.511348102338042,1.5788064048570865,0.0036537191694816233,0.03746380893789761,0.5569498580100118,0.0,0.0,4.72208279677539e-05,0.0,4.72208279677539e-05,0.24634810233804194,1.0014309087247196e-06,0.0,1.0014309087247196e-06,0.552526495130937
0.09,-0.5107079275983446,1.5788064048570865,0.0037372731110320665,0.03913466712595702,0.5579781189048002,0.0,0.0,4.492613865231931e-05,0.0,4.492613865231931e-05,0.2507079275983446,1.2317983252749022e-06,0.0,1.2317983252749022e-06,0.5525267254983535
0.095,-0.5100876938567296,1.5788064048570865,0.0038271830599200148,0.04001397143473901,0.5590776154938816,0.0,0.0,4.1843261349597636e-05,0.0,4.1843261349597636e-05,0.2550876938567296,1.4487218252796948e-06,0.0,1.4487218252796948e-06,0.5525269424218535
0.1,-0.5094883328307727,1.5788064048570865,0.003921626236127609,0.040214365834351555,0.5602050876252714,0.0,0.0,3.8159387821107136e-05,0.0,3.8159387821107136e-05,0.25948833283077266,1.648728448206457e-06,0.0,1.648728448206457e-06,0.5525271424284764
0.105,-0.5091458870976111,1.5788064048570865,0.004128442624148051,0.0382170706882727,0.5615195027714744,0.0,0.0,3.424077118596348e-05,0.0,3.424077118596348e-05,0.2641458870976111,1.829728845724133e-06,0.0,1.829728845724133e-06,0.552527323428874
0.11,-0.5088820002681687,1.5788064048570865,0.004353060091654105,0.03574775363134227,0.5627962809653636,0.0,0.0,3.049854023842141e-05,0.0,3.049854023842141e-05,0.26888200026816866,1.9915771242850953e-06,0.0,1.9915771242850953e-06,0.5525274852771526
0.115,-0.508638799145015,1.5788064048570865,0.004567772646373597,0.03329059941189304,0.5639913866490112,0.0,0.0,2.693407212233147e-05,0.0,2.693407212233147e-05,0.273638799145015,2.135158655186978e-06,0.0,2.135158655186978e-06,0.5525276288586835
0.12,-0.5084147996089671,1.5788064048570865,0.004772473870713869,0.03089200413913366,0.5651017329243474,0.0,0.0,2.3543258802953682e-05,0.0,2.3543258802953682e-05,0.2784147996089671,2.2613519825001905e-06,0.0,2.2613519825001905e-06,0.5525277550520107
0.125,-0.5082089271532816,1.5788064048570865,0.0049672626102247285,0.02859550788084347,0.5661244798692769,0.0,0.0,2.0319045681931877e-05,0.0,2.0319045681931877e-05,0.2832089271532816,2.3710077437124043e-06,0.0,2.3710077437124043e-06,0.5525278647077719
0.13,-0.5080199214266963,1.5788064048570865,0.005152140377130645,0.02643975656973928,0.5670779626480364,0.0,0.0,1.7257364142742216e-05,0.0,1.7257364142742216e-05,0.2880199214266963,2.4649487682740895e-06,0.0,2.4649487682740895e-06,0.5525279586487966
0.135,-0.5078461689437703,1.5788064048570865,0.005327167616765476,0.024457132584666898,0.567949513532142,0.0,0.0,1.4351613269203819e-05,0.0,1.4351613269203819e-05,0.29284616894377036,2.5439712118039545e-06,0.0,2.5439712118039545e-06,0.55252803767124
