beta,tension_factor_B,yukawa,gauge_coupling,role,required_radius_sqrt_mu,scalar_core_radius_sqrt_mu,core_over_loop_radius,fermi_momentum_over_sqrt_mu,bulk_mass_over_sqrt_mu,fermi_over_bulk_mass,exterior_mass_fraction,semiclassical_mode_number,radial_speed_bound,radial_lorentz_factor,exterior_channel_energetically_open,exterior_wkb_exponent,target_exponent,minimum_mode_number,yukawa_loop_size,quartic_loop_to_tree_diagnostic,minimum_node_action_for_six_rotors,geometric_and_exponent_diagnostics_met,local_string_decay_rate_proved
1e-12,0.08329151380923958,0.3,0.3,rotor_forward_branch,337882183.309824,3378821.83309824,0.01,3.5658079220099768,0.5864701881750353,6.080117956389186,0.99,1204773625.9354248,0.00905,1.000040953765679,True,458621.18393145973,100.0,100.0,0.0005699316579881499,569931657.98815,1.4973616656695935e+19,True,False
1e-12,0.08329151380923958,0.3,0.3,relaxed_stationary_string,337882183.309824,3378821.83309824,0.01,2.5066282746310002,0.5864701881750353,4.274093253454314,0.99,846945034.1784594,0.0,1.0,True,3716190.405473645,100.0,100.0,0.0005699316579881499,569931657.98815,1.4973616656695935e+19,True,False
1e-12,0.08329151380923958,0.3,1.0,rotor_forward_branch,101364654.9929472,1013646.549929472,0.01,3.5658079220099768,0.5864701881750353,6.080117956389186,0.99,361432087.7806275,0.00905,1.000040953765679,True,137586.35517943793,100.0,100.0,0.0005699316579881499,51293849.2189335,1.3476254991026345e+18,True,False
1e-12,0.08329151380923958,0.3,1.0,relaxed_stationary_string,101364654.9929472,1013646.549929472,0.01,2.5066282746310002,0.5864701881750353,4.274093253454314,0.99,254083510.25353786,0.0,1.0,True,1114857.1216420936,100.0,100.0,0.0005699316579881499,51293849.2189335,1.3476254991026345e+18,True,False
1e-12,0.08329151380923958,1.0,0.3,rotor_forward_branch,337882183.309824,3378821.83309824,0.01,3.5658079220099768,1.9549006272501175,1.8240353869167558,0.99,1204773625.9354248,0.00905,1.000040953765679,True,144428041.22307047,100.0,100.0,0.006332573977646111,70361933084.9568,1.4973616656695935e+19,True,False
1e-12,0.08329151380923958,1.0,0.3,relaxed_stationary_string,337882183.309824,3378821.83309824,0.01,2.5066282746310002,1.9549006272501175,1.2822279760362942,0.99,846945034.1784594,0.0,1.0,True,416258054.43337804,100.0,100.0,0.006332573977646111,70361933084.9568,1.4973616656695935e+19,True,False
1e-12,0.08329151380923958,1.0,1.0,rotor_forward_branch,101364654.9929472,1013646.549929472,0.01,3.5658079220099768,1.9549006272501175,1.8240353869167558,0.99,361432087.7806275,0.00905,1.000040953765679,True,43328412.36692115,100.0,100.0,0.006332573977646111,6332573977.6461115,1.3476254991026345e+18,True,False
1e-12,0.08329151380923958,1.0,1.0,relaxed_stationary_string,101364654.9929472,1013646.549929472,0.01,2.5066282746310002,1.9549006272501175,1.2822279760362942,0.99,254083510.25353786,0.0,1.0,True,124877416.33001344,100.0,100.0,0.006332573977646111,6332573977.6461115,1.3476254991026345e+18,True,False
1e-12,0.08329151380923958,2.0,0.3,rotor_forward_branch,337882183.309824,3378821.83309824,0.01,3.5658079220099768,3.909801254500235,0.9120176934583779,0.99,1204773625.9354248,0.00905,1.000040953765679,False,,100.0,100.0,0.025330295910584444,1125790929359.3088,1.4973616656695935e+19,True,False
1e-12,0.08329151380923958,2.0,0.3,relaxed_stationary_string,337882183.309824,3378821.83309824,0.01,2.5066282746310002,3.909801254500235,0.6411139880181471,0.99,846945034.1784594,0.0,1.0,False,,100.0,100.0,0.025330295910584444,1125790929359.3088,1.4973616656695935e+19,True,False
1e-12,0.08329151380923958,2.0,1.0,rotor_forward_branch,101364654.9929472,1013646.549929472,0.01,3.5658079220099768,3.909801254500235,0.9120176934583779,0.99,361432087.7806275,0.00905,1.000040953765679,False,,100.0,100.0,0.025330295910584444,101321183642.33778,1.3476254991026345e+18,True,False
1e-12,0.08329151380923958,2.0,1.0,relaxed_stationary_string,101364654.9929472,1013646.549929472,0.01,2.5066282746310002,3.909801254500235,0.6411139880181471,0.99,254083510.25353786,0.0,1.0,False,,100.0,100.0,0.025330295910584444,101321183642.33778,1.3476254991026345e+18,True,False
3.1622776601683794e-12,0.0871327447137449,0.3,0.3,rotor_forward_branch,198063927.97515464,1980639.2797515464,0.01,3.5658079220099768,0.5733972701743041,6.218738922363591,0.99,706229000.7012095,0.00905,1.000040953765679,True,201777.5425230478,100.0,100.0,0.0005699316579881499,180228214.9878652,5.145254985480889e+18,True,False
3.1622776601683794e-12,0.0871327447137449,0.3,0.3,relaxed_stationary_string,198063927.97515464,1980639.2797515464,0.01,2.5066282746310002,0.5733972701743041,4.371538556277088,0.99,496472642.0470006,0.0,1.0,True,1951843.9777518106,100.0,100.0,0.0005699316579881499,180228214.9878652,5.145254985480889e+18,True,False
3.1622776601683794e-12,0.0871327447137449,0.3,1.0,rotor_forward_branch,59419178.39254639,594191.7839254639,0.01,3.5658079220099768,0.5733972701743041,6.218738922363591,0.99,211868700.21036285,0.00905,1.000040953765679,True,60533.26275690257,100.0,100.0,0.0005699316579881499,16220539.348907867,4.6307294869328e+17,True,False
3.1622776601683794e-12,0.0871327447137449,0.3,1.0,relaxed_stationary_string,59419178.39254639,594191.7839254639,0.01,2.5066282746310002,0.5733972701743041,4.371538556277088,0.99,148941792.6141002,0.0,1.0,True,585553.1933255349,100.0,100.0,0.0005699316579881499,16220539.348907867,4.6307294869328e+17,True,False
3.1622776601683794e-12,0.0871327447137449,1.0,0.3,rotor_forward_branch,198063927.97515464,1980639.2797515464,0.01,3.5658079220099768,1.911324233914347,1.8656216767090772,0.99,706229000.7012095,0.00905,1.000040953765679,True,77922277.30159111,100.0,100.0,0.006332573977646111,22250396912.082127,5.145254985480889e+18,True,False
3.1622776601683794e-12,0.0871327447137449,1.0,0.3,relaxed_stationary_string,198063927.97515464,1980639.2797515464,0.01,2.5066282746310002,1.911324233914347,1.3114615668831262,0.99,496472642.0470006,0.0,1.0,True,220279947.67497882,100.0,100.0,0.006332573977646111,22250396912.082127,5.145254985480889e+18,True,False
3.1622776601683794e-12,0.0871327447137449,1.0,1.0,rotor_forward_branch,59419178.39254639,594191.7839254639,0.01,3.5658079220099768,1.911324233914347,1.8656216767090772,0.99,211868700.21036285,0.00905,1.000040953765679,True,23376683.190477334,100.0,100.0,0.006332573977646111,2002535722.0873911,4.6307294869328e+17,True,False
3.1622776601683794e-12,0.0871327447137449,1.0,1.0,relaxed_stationary_string,59419178.39254639,594191.7839254639,0.01,2.5066282746310002,1.911324233914347,1.3114615668831262,0.99,148941792.6141002,0.0,1.0,True,66083984.30249365,100.0,100.0,0.006332573977646111,2002535722.0873911,4.6307294869328e+17,True,False
3.1622776601683794e-12,0.0871327447137449,2.0,0.3,rotor_forward_branch,198063927.97515464,1980639.2797515464,0.01,3.5658079220099768,3.822648467828694,0.9328108383545386,0.99,706229000.7012095,0.00905,1.000040953765679,False,,100.0,100.0,0.025330295910584444,356006350593.314,5.145254985480889e+18,True,False
3.1622776601683794e-12,0.0871327447137449,2.0,0.3,relaxed_stationary_string,198063927.97515464,1980639.2797515464,0.01,2.5066282746310002,3.822648467828694,0.6557307834415631,0.99,496472642.0470006,0.0,1.0,False,,100.0,100.0,0.025330295910584444,356006350593.314,5.145254985480889e+18,True,False
3.1622776601683794e-12,0.0871327447137449,2.0,1.0,rotor_forward_branch,59419178.39254639,594191.7839254639,0.01,3.5658079220099768,3.822648467828694,0.9328108383545386,0.99,211868700.21036285,0.00905,1.000040953765679,False,,100.0,100.0,0.025330295910584444,32040571553.39826,4.6307294869328e+17,True,False
3.1622776601683794e-12,0.0871327447137449,2.0,1.0,relaxed_stationary_string,59419178.39254639,594191.7839254639,0.01,2.5066282746310002,3.822648467828694,0.6557307834415631,0.99,148941792.6141002,0.0,1.0,False,,100.0,100.0,0.025330295910584444,32040571553.39826,4.6307294869328e+17,True,False
1e-11,0.09132823495491219,0.3,0.3,rotor_forward_branch,116278598.08226265,1162785.9808226265,0.01,3.5658079220099768,0.5600719031519307,6.366696672235458,0.99,414610166.35434526,0.00905,1.000040953765679,True,83209.0107111536,100.0,100.0,0.0005699316579881499,56993165.798815005,1.7733550698984228e+18,True,False
1e-11,0.09132823495491219,0.3,0.3,relaxed_stationary_string,116278598.08226265,1162785.9808226265,0.01,2.5066282746310002,0.5600719031519307,4.475547265492851,0.99,291467221.68745357,0.0,1.0,True,1018571.3716427494,100.0,100.0,0.0005699316579881499,56993165.798815005,1.7733550698984228e+18,True,False
1e-11,0.09132823495491219,0.3,1.0,rotor_forward_branch,34883579.42467879,348835.7942467879,0.01,3.5658079220099768,0.5600719031519307,6.366696672235458,0.99,124383049.90630354,0.00905,1.000040953765679,True,24962.703213349527,100.0,100.0,0.0005699316579881499,5129384.92189335,1.5960195629085795e+17,True,False
1e-11,0.09132823495491219,0.3,1.0,relaxed_stationary_string,34883579.42467879,348835.7942467879,0.01,2.5066282746310002,0.5600719031519307,4.475547265492851,0.99,87440166.50623605,0.0,1.0,True,305571.4114928199,100.0,100.0,0.0005699316579881499,5129384.92189335,1.5960195629085795e+17,True,False
1e-11,0.09132823495491219,1.0,0.3,rotor_forward_branch,116278598.08226265,1162785.9808226265,0.01,3.5658079220099768,1.866906343839769,1.9100090016706373,0.99,414610166.35434526,0.00905,1.000040953765679,True,41969763.055865586,100.0,100.0,0.006332573977646111,7036193308.49568,1.7733550698984228e+18,True,False
1e-11,0.09132823495491219,1.0,0.3,relaxed_stationary_string,116278598.08226265,1162785.9808226265,0.01,2.5066282746310002,1.866906343839769,1.3426641796478551,0.99,291467221.68745357,0.0,1.0,True,116574751.98103325,100.0,100.0,0.006332573977646111,7036193308.49568,1.7733550698984228e+18,True,False
1e-11,0.09132823495491219,1.0,1.0,rotor_forward_branch,34883579.42467879,348835.7942467879,0.01,3.5658079220099768,1.866906343839769,1.9100090016706373,0.99,124383049.90630354,0.00905,1.000040953765679,True,12590928.916759672,100.0,100.0,0.006332573977646111,633257397.7646111,1.5960195629085795e+17,True,False
1e-11,0.09132823495491219,1.0,1.0,relaxed_stationary_string,34883579.42467879,348835.7942467879,0.01,2.5066282746310002,1.866906343839769,1.3426641796478551,0.99,87440166.50623605,0.0,1.0,True,34972425.59430996,100.0,100.0,0.006332573977646111,633257397.7646111,1.5960195629085795e+17,True,False
1e-11,0.09132823495491219,2.0,0.3,rotor_forward_branch,116278598.08226265,1162785.9808226265,0.01,3.5658079220099768,3.733812687679538,0.9550045008353186,0.99,414610166.35434526,0.00905,1.000040953765679,False,,100.0,100.0,0.025330295910584444,112579092935.93088,1.7733550698984228e+18,True,False
1e-11,0.09132823495491219,2.0,0.3,relaxed_stationary_string,116278598.08226265,1162785.9808226265,0.01,2.5066282746310002,3.733812687679538,0.6713320898239276,0.99,291467221.68745357,0.0,1.0,False,,100.0,100.0,0.025330295910584444,112579092935.93088,1.7733550698984228e+18,True,False
1e-11,0.09132823495491219,2.0,1.0,rotor_forward_branch,34883579.42467879,348835.7942467879,0.01,3.5658079220099768,3.733812687679538,0.9550045008353186,0.99,124383049.90630354,0.00905,1.000040953765679,False,,100.0,100.0,0.025330295910584444,10132118364.233778,1.5960195629085795e+17,True,False
1e-11,0.09132823495491219,2.0,1.0,relaxed_stationary_string,34883579.42467879,348835.7942467879,0.01,2.5066282746310002,3.733812687679538,0.6713320898239276,0.99,87440166.50623605,0.0,1.0,False,,100.0,100.0,0.025330295910584444,10132118364.233778,1.5960195629085795e+17,True,False
3.1622776601683794e-11,0.09592758176090196,0.3,0.3,rotor_forward_branch,68375786.69310644,683757.8669310644,0.01,3.5658079220099768,0.5464803747371867,6.525042960096865,0.99,243804937.13367656,0.00905,1.000040953765679,True,30887.069903442938,100.0,100.0,0.0005699316579881499,18022821.49878652,6.131980979162323e+17,True,False
3.1622776601683794e-11,0.09592758176090196,0.3,0.3,relaxed_stationary_string,68375786.69310644,683757.8669310644,0.01,2.5066282746310002,0.5464803747371867,4.5868587244994625,0.99,171392680.2250787,0.0,1.0,True,527527.8940261294,100.0,100.0,0.0005699316579881499,18022821.49878652,6.131980979162323e+17,True,False
3.1622776601683794e-11,0.09592758176090196,0.3,1.0,rotor_forward_branch,20512736.00793193,205127.3600793193,0.01,3.5658079220099768,0.5464803747371867,6.525042960096865,0.99,73141481.14010295,0.00905,1.000040953765679,True,9266.12097103288,100.0,100.0,0.0005699316579881499,1622053.9348907867,5.51878288124609e+16,True,False
