half_angle,layer,rounding,kind,r0,kept_energy,status,time,exit_angle_deg
15.0,2.0,0.5,light,0.05,4.829582257660098,left sideways,33.26590556593204,54.22180029875587
15.0,2.0,0.5,light,0.2,2.5747766872743574,left sideways,35.192072388763,47.18531849334639
15.0,2.0,0.5,light,0.5,1.7852514197426723,left sideways,38.86941178227341,39.68202954544167
15.0,2.0,0.5,light,1.0,1.549056206300669,left sideways,42.19902250410635,35.47804246395501
15.0,2.0,0.5,light,2.0,1.4703656723182073,left sideways,45.02101802316869,33.65032374966387
15.0,2.0,0.5,light,4.0,1.4474349648297247,left sideways,48.50520287527913,33.062222749761744
15.0,2.0,0.5,light,7.0,1.4388939426080083,left sideways,53.27638452503752,32.8359332054047
15.0,2.0,0.5,light,10.0,1.3823377565937172,left sideways,58.79285028509421,31.226930784932723
15.0,2.0,0.5,light,12.5,1.0726338652627414,left sideways,76.58055792240162,15.305949761900084
15.0,2.0,0.5,matter,0.05,4.918033741005665,left sideways,26.294876946392076,67.2034992180843
15.0,2.0,0.5,matter,0.2,3.169707196340192,left sideways,26.239769828645652,69.9096585507336
15.0,2.0,0.5,matter,0.5,2.334059329866624,left sideways,26.83954939854578,72.46919732758322
15.0,2.0,0.5,matter,1.0,2.015167670245361,left sideways,27.639656106205706,73.9600071924611
15.0,2.0,0.5,matter,2.0,1.8924222835837612,left sideways,28.492340181851457,74.66241566625598
15.0,2.0,0.5,matter,4.0,1.8532763481300403,left sideways,29.676725046490283,74.90575145756321
15.0,2.0,0.5,matter,7.0,1.8361659160943709,left sideways,31.345965894378956,75.01537299889337
15.0,2.0,0.5,matter,10.0,1.7059388557067612,left sideways,33.38712166768913,75.92313671422264
15.0,2.0,0.5,matter,12.5,1.109440676171366,left sideways,42.644705253471734,83.77320881427924
15.0,2.0,2.0,light,0.05,41.72185326191765,left sideways,32.81066544388737,60.74185446627503
15.0,2.0,2.0,light,0.2,15.865739754013942,left sideways,32.10607200395422,59.3890696901885
15.0,2.0,2.0,light,0.5,7.178912249475657,left sideways,32.12659405332149,56.690903793155464
15.0,2.0,2.0,light,1.0,3.528438751102926,left sideways,33.36434692599325,51.343929798363085
15.0,2.0,2.0,light,2.0,2.0049382882769105,left sideways,37.24662449218015,42.48534190872474
15.0,2.0,2.0,light,4.0,1.5797736599763035,left sideways,42.93885436985671,36.12205823796551
15.0,2.0,2.0,light,7.0,1.484253812597205,left sideways,48.43276361188489,33.99344995628882
15.0,2.0,2.0,light,10.0,1.4442027180710122,left sideways,53.42321062236917,32.97706279592163
15.0,2.0,2.0,light,12.5,1.2909849514010634,left sideways,59.43077089982807,28.123382299511675
15.0,2.0,2.0,matter,0.05,24.881413797620823,left sideways,27.294291608717824,62.77914344436455
15.0,2.0,2.0,matter,0.2,12.1568338487197,left sideways,26.284904027892768,63.99140618717654
15.0,2.0,2.0,matter,0.5,7.216493271994193,left sideways,25.677509484461936,65.53104766375252
15.0,2.0,2.0,matter,1.0,4.4429539455663365,left sideways,25.391113967721115,67.74500108057678
15.0,2.0,2.0,matter,2.0,2.740824065844155,left sideways,25.783593614459594,71.04389159400341
15.0,2.0,2.0,matter,4.0,2.088782969076498,left sideways,27.18023189043772,73.57734574852223
