variant,samples,type_i,type_iv,other,estimated_band_samples,envelope_violations,worst_envelope_ratio,min_null,peak_nec_content,nec_content_over_sigma,front_window_over_sigma,peak_negative_energy,peak_positive_energy,peak_stress,max_alpha,alpha_v_radius
previous_reference,2184,313512,0,0,0,0,0.07590688172019587,-0.9261202000010909,198.29696640890404,2297.32266243078,0.0,0.0013016440253339988,0.0,2.908149676836745,649.1604902527682,12.200000000000001
plateau_e3,2184,313512,0,0,0,0,0.20633629723499852,-0.6928617067336303,176.1229969890079,2040.083474646794,0.0,0.009617920724030825,0.0,1.8149336320132203,239.79635615277914,12.125
shift_edge_1,1904,264792,0,0,0,0,0.18542333411327672,-0.9261202000010909,179.87083623286088,2084.0756369540377,0.0,0.0012200270916917053,0.0,2.908149676836745,394.54571360105473,12.175
outer_fall_8p75,2184,267864,0,0,0,0,0.07590688172019587,-0.9261202000010909,190.04034142414912,2203.68072144883,0.0,0.0013016440253339988,0.0,2.908149676836745,649.1604902527682,10.225000000000001
rise_4p5_fall_8p25,2184,287160,0,0,0,0,0.07590688172019587,-0.9261202000010909,178.63905648392333,2071.2725908233288,0.0,0.0011885763266351974,0.0,2.908149676836745,649.1604902527682,9.725000000000001
rise_4_fall_7p75,2184,267622,242,0,0,0,0.07590688172019587,-0.9261202000010909,167.70879652605663,1944.2976496644974,0.0,0.0010505635338018142,0.0,2.908149676836745,649.1604902527682,9.225
rise_3_fall_7p25,2184,255362,262,0,586,0,0.07590688172019587,-0.9261202000010909,154.75485626897796,1792.838853531374,0.0,0.0007018101284503261,0.0,2.908149676836745,649.1604902527682,9.075000000000001
e3_fall_8p75,2184,267864,0,0,0,0,0.20633629723499852,-0.7284465038159299,168.23791400478143,1950.4296720800774,0.0,0.009617920724030825,0.0,1.8149336320132203,239.79635615277914,10.175
e3_fall_8p75_edge1,1904,226344,0,0,0,0,0.5040328796924103,-0.6928617067336303,148.68785247230784,1723.3723710871018,0.0,0.009014848622725218,0.0,1.8149336320132203,145.74304178677235,10.15
e3_fall_8p75_edge0p75,1848,213888,0,0,0,0,0.6554421638733235,-0.6542110952699333,135.51664452379944,1573.8817010054674,0.0,0.00881392923500021,0.0,1.8413234494478188,126.58437842141528,10.15
e2p5_fall_8p75_edge1,1904,225724,620,0,0,0,0.8310097298811155,-0.6267576271137197,138.1718066694612,1600.6002879739249,0.0,0.024504899197463015,0.0,1.4288015216304113,88.57947038914878,10.125
e3_fall_8p75_edge1_sheath0p5,1904,222734,3610,0,0,0,0.5040328796924103,-0.6928617067336303,138.3834842809436,1603.1880623701288,0.0,0.0106563508847273,0.0,1.8149336320132203,89.5816966674722,10.125
