s,l,rest_energy_residual,rest_force_residual,energy_term_scale,force_term_scale,endpoint_rest_power,endpoint_rest_force
0.005,-2.0875000000000004,1.0878919386693328e-06,2.988198950687328e-05,0.0011573060671753682,0.012202147504651638,-2.9556446532377314e-06,-3.7439976855587914e-05
0.005,-2.0125,3.2558288572216776e-06,-1.3258733229933767e-05,0.0005923113973951055,0.00659619140213829,-3.795359136810602e-05,-0.0005679784026262341
0.005,-1.9125,6.8170284063519795e-06,1.1355935038590638e-05,0.00014850890974407515,0.0028508793455389735,5.926319230895431e-06,-0.0001874448705790528
0.005,-1.8125,3.206519192564239e-06,6.033563443060831e-08,2.880074948638375e-05,0.0013472250413821166,1.0232509028659162e-05,-5.431263839523019e-05
0.005,-1.6125,8.089991282116817e-07,1.0884179156452668e-07,3.562815993889169e-05,0.0002375570020759717,5.284761808005321e-06,7.619514148537318e-06
0.005,-1.5125,4.914770708233575e-07,-9.823556558876849e-08,1.022237588403926e-05,0.00011774657371927854,3.1930796198943417e-06,7.246118749592063e-06
0.005,-1.4125,3.307181394874859e-07,-1.5263421929804194e-08,3.5422256721623132e-06,6.30702693198667e-05,1.936471901031341e-06,4.159383470463933e-06
0.005,-1.2125000000000001,1.9413184013262806e-07,-6.989683746518193e-09,1.273055349260323e-06,2.3681349454536156e-05,7.335935924070596e-07,-9.521190825530965e-07
0.005,-1.1125,1.7726769437561428e-08,-8.06798664276235e-09,5.132879645562913e-07,1.7321968691281095e-05,1.07815548618668e-07,1.4182736382930638e-07
0.005,-1.0125000000000002,-5.338091152984008e-09,-8.98402091815514e-09,8.280160739815975e-08,7.1412958094059194e-06,-2.480221923870821e-08,-3.580070344649177e-08
0.005,-0.8125,-3.297519488295944e-08,-1.7965101230561867e-08,2.85559204893804e-05,2.697005439938065e-06,-1.6372555687811865e-09,-2.1881980474638933e-09
0.005,-0.7125,9.120242332883954e-08,-1.0131891196016175e-08,3.341557870995814e-05,5.546464373696274e-06,4.92569788824005e-10,6.503659284575287e-10
0.005,-0.6125,3.3681507216692006e-07,-9.197845436770127e-08,3.106152060732963e-05,1.2269661208072077e-05,-1.6120339753236847e-10,-2.3382106319384003e-10
0.005,-0.5125,4.773470272777886e-07,1.0545432201030654e-06,1.0281181700310602e-05,3.561639171631046e-05,6.54788164909378e-11,1.0269965478563624e-10
0.185,-2.0875000000000004,4.43047148704605e-06,4.134997660518812e-05,0.0027975673146810203,0.013835058303800492,-9.316024718977398e-06,-5.100884200170321e-05
0.185,-2.0125,-5.218089351674717e-06,-1.7080230446658022e-05,0.0017866391924289287,0.0077818184575599945,-0.0001872011739509665,-0.0007906249394219132
0.185,-1.9125,-5.551413446644249e-06,1.450227528303662e-05,0.0007032213753998688,0.00348225009226739,-0.00011098452053001715,-0.0002866966844483585
0.185,-1.8125,-3.568723578378848e-06,-1.463224062059486e-07,0.00017673019139688204,0.0016499430048828028,-4.6744946990011986e-05,-9.806528865838325e-05
0.185,-1.6125,-1.303433723046512e-06,3.125034193387565e-08,0.00012971659355884838,0.00031825001552355234,-1.0316656076375894e-05,1.01333267647499e-06
0.185,-1.5125,-6.090230767648033e-07,-1.5252302709450247e-07,4.285484905899879e-05,0.00015336468380333168,-6.2636832105318475e-06,4.334001777270889e-06
0.185,-1.4125,-3.349898721881711e-07,-4.421279399789343e-08,1.4532811515511288e-05,8.051806065176325e-05,-4.400289606429239e-06,2.2580598694720977e-06
0.185,-1.2125000000000001,-2.714834668307371e-07,-1.006049554564259e-07,1.693036551898854e-05,3.7003780914812264e-05,-2.752557707295266e-06,-2.672381133534704e-06
0.185,-1.1125,-5.593899354793619e-09,7.043231780526467e-08,2.6873835187114946e-06,2.702904322705355e-05,8.272817816718674e-09,1.7438777136265309e-06
0.185,-1.0125000000000002,-3.3388785431775933e-09,-4.8906313240532315e-08,3.335083623232142e-07,9.605238986933815e-06,-3.5619149512868735e-09,-4.046721337765349e-07
0.185,-0.8125,-1.106974988463525e-08,-2.258180004327693e-08,3.4579238171794484e-06,6.238088807094262e-07,-1.8194222698570068e-10,-2.4910882982105856e-08
0.185,-0.7125,-1.9051769294302924e-08,4.76706752749354e-08,4.977710516737023e-06,4.3912385500447375e-07,5.843416945739387e-11,6.2177711330600935e-09
0.185,-0.6125,-1.123498135601924e-09,-5.271391280846962e-08,6.672987895979074e-07,2.731254392774845e-06,1.981486719988585e-12,-1.6520299094282866e-09
0.185,-0.5125,-1.9990347903750287e-10,1.5883951797787646e-08,1.0145288685396041e-06,3.461303365522803e-07,7.925801510333643e-12,5.016495320856006e-10
0.375,-2.0875000000000004,3.1590723217999276e-06,5.4103512736577595e-05,0.005637018333254655,0.017967493731806995,-1.8116962884755928e-05,-6.53149224326664e-05
0.375,-2.0125,-1.004528385305272e-05,-2.1995796858946797e-05,0.0032200822391614185,0.01058885075440392,-0.0002058879212010582,-0.0010074863990730365
0.375,-1.9125,4.313573713234566e-06,1.8167592381556816e-05,0.0008939935831787534,0.004756109069348614,4.7780214992805934e-05,-0.0003455064369622566
0.375,-1.8125,4.1451144156886294e-07,-6.234048821123441e-07,0.0001670252984363332,0.0022210489676864156,5.3586872343147735e-05,-0.00011266146620232684
0.375,-1.6125,-1.060508385671062e-06,-2.542584527127202e-07,0.0002800280252102271,0.0005836594353018804,2.43480235585565e-05,8.823552077679066e-06
0.375,-1.5125,-1.408036947538304e-07,-3.1147164566367303e-07,8.050923677539592e-05,0.0002677681991889894,1.4531104182592529e-05,1.1144970463346667e-05
0.375,-1.4125,9.057498315157078e-08,-9.357648768382149e-08,1.6624104069873757e-05,0.00013444378269072762,8.357339550187605e-06,6.355992410085889e-06
0.375,-1.2125000000000001,1.1114695436641831e-07,-1.439167618975877e-07,1.4314012540540376e-05,6.560412574920138e-05,3.303118944708237e-06,-3.6781267703171367e-06
0.375,-1.1125,-2.1657492142068814e-08,6.001232644650433e-08,6.125353467953112e-06,4.415904355610497e-05,8.514491325590833e-07,1.8851013564971397e-06
0.375,-1.0125000000000002,-2.1631052867329233e-08,-5.975168484560319e-08,1.8750008463505236e-06,1.638445660950982e-05,-1.9814553041069948e-07,-4.435353799241592e-07
0.375,-0.8125,-5.966639667790227e-10,-3.0613654826102506e-08,8.153923789933604e-08,1.7137248858930022e-06,-1.2768278107358817e-08,-2.7728411714250736e-08
0.375,-0.7125,-2.931569583137898e-09,-1.0163270886327252e-08,7.413793268281995e-07,2.690824060979522e-06,3.3441037991485665e-09,7.026103049254673e-09
0.375,-0.6125,-8.472937868641696e-09,1.577637148394226e-08,1.7715582293951757e-06,4.1357553261719894e-07,-8.788595962882185e-10,-1.79282537473086e-09
0.375,-0.5125,-1.2749033307023762e-08,1.5134459974010425e-08,2.2764946749835193e-06,3.2937351821426614e-07,2.3461684128447433e-10,4.5531268388606887e-10
0.5650000000000001,-2.0875000000000004,1.666206923392633e-05,8.807218512444448e-05,0.010219400003454653,0.024679363819137944,-4.5227756410811854e-05,-0.00010516481751998768
0.5650000000000001,-2.0125,-2.3090687465929694e-05,-3.5450312718958606e-05,0.0071661810460157335,0.015692620765186963,-0.0007508276804151556,-0.0016083862672447132
0.5650000000000001,-1.9125,-3.491430080093498e-06,2.862488736327367e-05,0.0026618168924836664,0.007296138178028177,-0.00029094252630352754,-0.0005100440303118558
0.5650000000000001,-1.8125,-5.58805863527017e-06,-1.7663201961396998e-06,0.0006089132668300364,0.003403000535851226,-0.00010471271379538873,-0.00016459769008909494
0.5650000000000001,-1.6125,-4.979152942079146e-06,-1.1458952477155943e-06,0.0006780886301492005,0.0012158360232098501,-1.604549407505387e-05,1.8058856820945305e-05
0.5650000000000001,-1.5125,-3.505058070888355e-07,-6.057844665380695e-07,0.00018850634420854712,0.0005362355308081615,-7.12912865386132e-06,2.1030563702636005e-05
0.5650000000000001,-1.4125,-2.747091269256976e-07,-3.373016863029143e-07,5.600217260577719e-05,0.0002540629834604841,-1.1238988406964776e-05,8.417936439005684e-06
0.5650000000000001,-1.2125000000000001,-7.606680492022182e-07,-3.7561979203745745e-07,8.203847698008999e-05,0.00014845805540146658,-8.051651786862295e-06,-8.396815893176106e-06
0.5650000000000001,-1.1125,1.9205678764521486e-08,1.2290280071117676e-07,1.8753469069115325e-05,9.277298933913466e-05,2.3088202253424103e-06,3.927446853341366e-06
0.5650000000000001,-1.0125000000000002,-8.702452487514135e-08,-1.3229442686241095e-07,4.595845397262887e-06,3.429710839777377e-05,-5.444366307833418e-07,-9.33458809922516e-07
0.5650000000000001,-0.8125,-3.8821818292381915e-09,-6.359758895255955e-08,2.655744257137003e-07,3.667098580713485e-06,-3.430395382135542e-08,-5.910892611897731e-08
0.5650000000000001,-0.7125,-9.780135516231682e-09,-1.9855735085167986e-08,1.8389817873466658e-06,6.00774297878778e-06,8.737063762991664e-09,1.5037948645429387e-08
0.5650000000000001,-0.6125,-2.0922031668267908e-08,3.017398460695189e-08,3.272216943916953e-06,1.653692334976592e-06,-2.220960300177268e-09,-3.890278799780983e-09
0.5650000000000001,-0.5125,-2.3779524628062062e-08,5.055280751584905e-09,3.645161446547221e-06,3.7540453370612056e-07,5.919765409572751e-10,9.815614242316657e-10
0.755,-2.0875000000000004,3.052079054331545e-05,0.00013647358607828935,0.014944560496643153,0.03641863475985233,-8.378557471011348e-05,-0.000161080805383579
0.755,-2.0125,-5.676928071787096e-05,-5.508367903599154e-05,0.010742450514899372,0.02533032349546904,-0.0011663407727516334,-0.002411022395615109
0.755,-1.9125,6.1001132473054805e-06,4.625940818508685e-05,0.0031982824569058046,0.012241881523798294,-8.944720020247822e-05,-0.0006097748193437559
0.755,-1.8125,-6.5193375662407036e-06,-3.9058982941534825e-06,0.0006289416366120715,0.005732714041254939,7.539853351515378e-05,-0.00016036800911611924
0.755,-1.6125,-1.3191718027596191e-05,-3.47339542032345e-06,0.0015664021448537275,0.0029074836952973867,6.180606084309464e-05,5.7204412447538e-05
0.755,-1.5125,6.049013555159919e-07,-1.460519675871166e-06,0.000436689482347308,0.0012619497148447327,5.410579183385121e-05,4.931299049895185e-05
0.755,-1.4125,-1.0001918033559268e-06,-9.624934262888283e-07,9.068277790035861e-05,0.0005786314871924018,1.368889101170568e-05,1.601357210421077e-05
0.755,-1.2125000000000001,-1.7696185078140445e-06,-9.293232597749667e-07,0.00016860049592472637,0.0004005767889846751,5.964615266687047e-06,-9.472025603166522e-06
0.755,-1.1125,-1.1465486965653831e-07,2.728179754300857e-07,5.5946036981233765e-05,0.00023752332947693107,7.841019704142252e-06,1.3199982017698733e-05
0.755,-1.0125000000000002,-2.7165879169758827e-07,-3.9722000624132273e-07,1.559018719743404e-05,8.55157085557825e-05,-1.8643646786826155e-06,-3.137027945279519e-06
0.755,-0.8125,-1.0578561273819655e-08,-1.6222002911293808e-07,7.515076875984777e-07,9.357638967679655e-06,-1.2230585936003686e-07,-2.0085778953435459e-07
0.755,-0.7125,-3.647577902593467e-08,-5.040632913868823e-08,5.576687161615827e-06,1.541331209552731e-05,3.03183561781361e-08,5.2813722552046024e-08
