design,s,type_iv,samples_with_type_iv,unresolved,worst_envelope_ratio
lapse_static,-8.0,0,0,0,3.320792352117615e-79
lapse_static,-7.8,0,0,0,1.9968887443065326e-73
lapse_static,-7.6,0,0,0,2.101192489234334e-68
lapse_static,-7.4,0,0,0,7.929840743520302e-65
lapse_static,-7.2,0,0,0,3.265780278918206e-61
lapse_static,-7.0,0,0,0,5.7302602136811615e-58
lapse_static,-6.8,0,0,0,1.741956100249286e-54
lapse_static,-6.6,0,0,0,7.167580013230499e-51
lapse_static,-6.4,0,0,0,2.208366843571107e-47
lapse_static,-6.2,0,0,0,5.207949161819445e-44
lapse_static,-6.0,0,0,0,9.619245623978398e-41
lapse_static,-5.8,0,0,0,1.4119349433414829e-37
lapse_static,-5.6,0,0,0,1.5892693032689628e-34
lapse_static,-5.4,0,0,0,1.3706629956464514e-31
lapse_static,-5.2,0,0,0,9.048109181075217e-29
lapse_static,-5.0,0,0,0,4.6759450547990124e-26
lapse_static,-4.8,0,0,0,1.9184101410646493e-23
lapse_static,-4.6,0,0,0,6.033588982374094e-21
lapse_static,-4.4,0,0,0,1.45331197723589e-18
lapse_static,-4.2,0,0,0,2.6774948944925233e-16
lapse_static,-4.0,0,0,0,3.765652471179298e-14
lapse_static,-3.8,0,0,0,3.964974660731646e-12
lapse_static,-3.6,0,0,0,1.7694191025379586e-10
lapse_static,-3.4,0,0,0,3.247604555313644e-09
lapse_static,-3.2,0,0,0,4.515025702535823e-08
lapse_static,-3.0,0,0,0,8.899648953410899e-07
lapse_static,-2.8,0,0,0,0.002448510774372245
lapse_static,-2.6,0,0,0,0.024685274510308382
lapse_static,-2.4,0,0,0,0.0644089303036412
lapse_static,-2.2,0,0,0,0.1005405319258892
lapse_static,-2.0,0,0,0,0.11826535285719027
lapse_static,-1.8,0,0,0,0.1432530149886266
lapse_static,-1.6,0,0,0,0.168954104379085
lapse_static,-1.4,0,0,0,0.19030156457592565
lapse_static,-1.2,0,0,0,0.43966339104832114
lapse_static,-1.0,0,0,0,0.5338579498090713
lapse_static,-0.8,0,0,0,0.5462651582810104
lapse_static,-0.6,0,0,0,0.5362615892468107
lapse_static,-0.4,0,0,0,0.4950758019119446
lapse_static,-0.2,0,0,0,0.39426862488472014
lapse_static,0.0,0,0,0,0.2803736064838191
lapse_static,0.2,0,0,0,0.2803018062217913
lapse_static,0.4,0,0,0,0.20487592187007916
lapse_static,0.6,0,0,0,0.10835361563095883
lapse_static,0.8,0,0,0,0.07131928540823532
lapse_static,1.0,0,0,0,0.028852777056657716
lapse_static,1.2,0,0,0,0.00344253556824934
lapse_static,1.4,0,0,0,0.0
lapse_static,1.6,0,0,0,0.0
lapse_static,1.8,0,0,0,0.0
lapse_static,2.0,0,0,0,0.0
lapse_static,2.2,0,0,0,0.0
lapse_static,2.4,0,0,0,0.0
lapse_static,2.6,0,0,0,0.0
lapse_static,2.8,0,0,0,0.0
lapse_static,3.0,0,0,0,0.0
lapse_staged,-8.0,0,0,0,3.320792352117615e-79
lapse_staged,-7.8,0,0,0,1.9968887443065326e-73
lapse_staged,-7.6,0,0,0,2.101192489234334e-68
lapse_staged,-7.4,0,0,0,7.929840743520302e-65
lapse_staged,-7.2,0,0,0,3.265780278918206e-61
lapse_staged,-7.0,0,0,0,5.7302602136811615e-58
lapse_staged,-6.8,0,0,0,1.741956100249286e-54
lapse_staged,-6.6,0,0,0,7.167580013230499e-51
lapse_staged,-6.4,0,0,0,2.208366843571107e-47
lapse_staged,-6.2,0,0,0,5.207949161819445e-44
lapse_staged,-6.0,0,0,0,9.619245623978398e-41
lapse_staged,-5.8,0,0,0,1.4119349433414829e-37
lapse_staged,-5.6,0,0,0,1.5892693032689628e-34
lapse_staged,-5.4,0,0,0,1.3706629956464514e-31
lapse_staged,-5.2,0,0,0,9.048109181075217e-29
lapse_staged,-5.0,0,0,0,4.6759450547990124e-26
lapse_staged,-4.8,0,0,0,1.9184101410646493e-23
lapse_staged,-4.6,0,0,0,6.033588982374094e-21
lapse_staged,-4.4,0,0,0,1.45331197723589e-18
lapse_staged,-4.2,0,0,0,2.6774948944925233e-16
lapse_staged,-4.0,0,0,0,3.765652471179298e-14
lapse_staged,-3.8,0,0,0,3.964974660731646e-12
lapse_staged,-3.6,0,0,0,1.7694191025379586e-10
lapse_staged,-3.4,0,0,0,3.247604555313644e-09
lapse_staged,-3.2,0,0,0,4.515025702535823e-08
lapse_staged,-3.0,0,0,0,8.899648953410899e-07
lapse_staged,-2.8,0,0,0,0.002448510774372245
lapse_staged,-2.6,0,0,0,0.024685274510308382
lapse_staged,-2.4,0,0,0,0.0644089303036412
lapse_staged,-2.2,0,0,0,0.1005405319258892
lapse_staged,-2.0,0,0,0,0.11826535285719027
lapse_staged,-1.8,0,0,0,0.1432530149886266
lapse_staged,-1.6,0,0,0,0.168954104379085
lapse_staged,-1.4,0,0,0,0.19030156457592565
lapse_staged,-1.2,0,0,0,0.43966339104832114
lapse_staged,-1.0,0,0,0,0.5338579498090713
lapse_staged,-0.8,0,0,0,0.5462651582810104
lapse_staged,-0.6,0,0,0,0.5362615892468107
lapse_staged,-0.4,0,0,0,0.4950758019119446
lapse_staged,-0.2,0,0,0,0.39426862488472014
lapse_staged,0.0,0,0,0,0.2803736064838191
lapse_staged,0.2,0,0,0,0.2803018062217913
lapse_staged,0.4,0,0,0,0.20487592187007916
lapse_staged,0.6,0,0,0,0.10835361563095883
lapse_staged,0.8,0,0,0,0.07131928540823532
lapse_staged,1.0,0,0,0,0.028852777056657716
lapse_staged,1.2,0,0,0,0.00344253556824934
lapse_staged,1.4,0,0,0,0.0
lapse_staged,1.6,0,0,0,0.0
lapse_staged,1.8,0,0,0,0.0
lapse_staged,2.0,0,0,0,0.0
lapse_staged,2.2,0,0,0,0.0
lapse_staged,2.4,0,0,0,0.0
lapse_staged,2.6,0,0,0,0.0
lapse_staged,2.8,0,0,0,0.0
lapse_staged,3.0,0,0,0,0.0
ungated_windows,-8.0,3838,92,0,0.18502557625274607
ungated_windows,-7.8,3740,93,0,0.1429136669525873
ungated_windows,-7.6,3485,94,1,0.12011680131457156
ungated_windows,-7.4,3181,89,0,0.12011572329341993
ungated_windows,-7.2,2862,85,0,0.12011572329341993
ungated_windows,-7.0,2550,82,0,0.12011572329342264
ungated_windows,-6.8,2202,80,0,0.12011572329342264
ungated_windows,-6.6,1806,75,0,0.12011572329342264
ungated_windows,-6.4,1385,62,0,0.12011572329342264
ungated_windows,-6.2,889,51,0,0.12011572329341993
ungated_windows,-6.0,331,35,0,0.12011572329342196
ungated_windows,-5.8,38,3,0,0.12011572329342264
ungated_windows,-5.6,7,7,5,0.12011572329342264
ungated_windows,-5.4,10,8,0,0.12011572329342264
ungated_windows,-5.2,3,1,0,0.12011572329342264
ungated_windows,-5.0,2,2,0,0.12011572329341993
ungated_windows,-4.8,0,0,0,0.12011572329342264
ungated_windows,-4.6,0,0,0,0.12011572329342196
ungated_windows,-4.4,0,0,0,0.12011572329341993
ungated_windows,-4.2,0,0,0,0.12011572329342196
ungated_windows,-4.0,0,0,0,0.12011572329342264
ungated_windows,-3.8,0,0,0,0.12011572329342196
ungated_windows,-3.6,0,0,0,0.12011572329339895
ungated_windows,-3.4,0,0,0,0.1201157232934003
ungated_windows,-3.2,0,0,0,0.1201157232934003
ungated_windows,-3.0,0,0,0,0.12011572329339895
ungated_windows,-2.8,0,0,0,0.12011572329339895
ungated_windows,-2.6,0,0,0,0.12011572329340232
