surface,path,manifest,manifest_sha256,expected_sha256,actual_sha256,hash_matches
baseline,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_s15/ledgers/rematch_w6_t1p5/source_ledger_point_ledger.csv,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_s15/ledgers/rematch_w6_t1p5/source_ledger_manifest.json,663634ed645d74ab38a5d27ae9502928d13f89c1a94896c08f5adbfe51c0e7ac,4c63e7bf43faced91caba846af14aff24fd62762e3df9627197447700219b473,4c63e7bf43faced91caba846af14aff24fd62762e3df9627197447700219b473,True
baseline,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_s15/intermediate_rematch_w6_t1p5/intermediate_source_point_sector_stress.csv,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_s15/intermediate_rematch_w6_t1p5/intermediate_source_model_manifest.json,9594c1ec33db0990c207c891ac413ae6518653e677ac2602244b5846b6059d4f,0be577b27cfb21ba9cb340dd7d80206b494eac69639d69f2b7ea816bd7d2a58f,0be577b27cfb21ba9cb340dd7d80206b494eac69639d69f2b7ea816bd7d2a58f,True
baseline,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_s15/endpoint_j_freeze_source_model_rematch_w6_t1p5/endpoint_j_closure_sector_stress.csv,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_s15/endpoint_j_freeze_source_model_rematch_w6_t1p5/endpoint_j_closure_component_manifest.json,c6a0f7e7bda2974dcbdc0680d1a9b13505277c6960fcf7c03e5b560fe4b87417,af3709dab054401027400c84191f215372b612079bb4e1456ccc8ebcadf69587,af3709dab054401027400c84191f215372b612079bb4e1456ccc8ebcadf69587,True
baseline,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_s15/endpoint_medium_covariant_audit_freeze_rematch_w6_t1p5/endpoint_medium_covariant_point_projection.csv,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_s15/endpoint_medium_covariant_audit_freeze_rematch_w6_t1p5/endpoint_medium_covariant_manifest.json,fd8541f42268a5f13eb9da2603418dd74321880c4c1aad32e1f89cd4d8a90fc0,5a0d4a3a347e46d74285b3472cbb52dece4be4061739625aadfad061b2347746,5a0d4a3a347e46d74285b3472cbb52dece4be4061739625aadfad061b2347746,True
baseline,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_s15/endpoint_support_stroke_exchange_freeze_rematch_w6_t1p5/endpoint_support_stroke_exchange_point_fit.csv,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_s15/endpoint_support_stroke_exchange_freeze_rematch_w6_t1p5/endpoint_support_stroke_exchange_manifest.json,9ad90336c0513e66121bab1af166c01ec73444d94c2a2c55c269720a3baf2547,60f13eb5af5f2fadadfffcd1703f58fed3d5994b67f2b3b9e74255de072d3f5e,60f13eb5af5f2fadadfffcd1703f58fed3d5994b67f2b3b9e74255de072d3f5e,True
baseline,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_s15/component_rematch_w6_t1p5/component_source_assignment_detail.csv,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_s15/component_rematch_w6_t1p5/component_source_manifest.json,ed6d87d5a2ba76de30bf5a8dc1f95488c093f0e76e9f9c4a864606f76784d01c,0059214194295739f71cd9578626ffed1aa7420236d9fbe75fb410e160118a5d,0059214194295739f71cd9578626ffed1aa7420236d9fbe75fb410e160118a5d,True
baseline,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_s15/endpoint_support_stroke_exchange_freeze_rematch_w6_t1p5/endpoint_support_stroke_exchange_coefficients.csv,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_s15/endpoint_support_stroke_exchange_freeze_rematch_w6_t1p5/endpoint_support_stroke_exchange_manifest.json,9ad90336c0513e66121bab1af166c01ec73444d94c2a2c55c269720a3baf2547,13657e14392de4a45677472aafe1c686d6e11853594f211118c8eaf89b82ece6,13657e14392de4a45677472aafe1c686d6e11853594f211118c8eaf89b82ece6,True
dense,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_dense377x241_sharded12/ledgers/rematch_w6_t1p5/source_ledger_point_ledger.csv,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_dense377x241_sharded12/ledgers/rematch_w6_t1p5/source_ledger_manifest.json,cd37d5a7b82a10c9b1771df4ca28dfe88f224a952449bab6dbdcd2c31b54da4d,700c2f9f7ef0aec4fea0ae0387902838f9f7e16db4673779767cee181371a47f,700c2f9f7ef0aec4fea0ae0387902838f9f7e16db4673779767cee181371a47f,True
dense,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_dense377x241_sharded12/intermediate_rematch_w6_t1p5/intermediate_source_point_sector_stress.csv,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_dense377x241_sharded12/intermediate_rematch_w6_t1p5/intermediate_source_model_manifest.json,35e3ada213832222133b319fe242bf20031a15b3aeb5046bd7d0bbdf6e2938de,2b051f777e95bcd1ce67988bb9216ccde0783af4c5eda3ae750827965e93d642,2b051f777e95bcd1ce67988bb9216ccde0783af4c5eda3ae750827965e93d642,True
dense,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_dense377x241_sharded12/endpoint_j_freeze_source_model_rematch_w6_t1p5/endpoint_j_closure_sector_stress.csv,toolkit/adm_harness_cli/runs/beta_collar_generator_beta075_p003_mid_dense377x241_sharded12/endpoint_j_freeze_source_model_rematch_w6_t1p5/endpoint_j_closure_component_manifest.json,120a55b22e726d96278a180838c2aa7b6ccea44d3bb82c707f7aaed49e94abac,6f9514f704553fec48909a3fd35b7ec95dac8858c503e6576d1e793ce24b4216,6f9514f704553fec48909a3fd35b7ec95dac8858c503e6576d1e793ce24b4216,True
