fixture,amplitude_scale,expected_type,actual_type,type_pass,rest_frame_pass,heat_frame_flag_pass,fixture_pass,expected_rest_energy,actual_rest_energy,actual_rest_radial_pressure,reference_mixed_eigenvalues_at_unit_scale,reference_eigenvector_causal_norms,reference_eigen_residual,reference_eigenbasis_rank
vacuum,1.0,type_i_boost_diagonalizable,type_ii_null_boundary,False,True,True,False,0.0,0.0,0.0,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[-1.0, 1.0, 1.0, 1.0]",0.0,4
ordinary_diagonal,1e-08,type_i_boost_diagonalizable,type_ii_null_boundary,False,True,True,False,2e-08,2e-08,1.0000000000000002e-08,"[[-2.0, 0.0], [1.0, 0.0], [0.3, 0.0], [0.3, 0.0]]","[-1.0, 1.0, 1.0, 1.0]",0.0,4
ordinary_diagonal,1.0,type_i_boost_diagonalizable,type_i_boost_diagonalizable,True,True,True,True,2.0,2.0,1.0,"[[-2.0, 0.0], [1.0, 0.0], [0.3, 0.0], [0.3, 0.0]]","[-1.0, 1.0, 1.0, 1.0]",0.0,4
ordinary_diagonal,100000000.0,type_i_boost_diagonalizable,type_i_boost_diagonalizable,True,True,True,True,200000000.0,200000000.0,100000000.0,"[[-2.0, 0.0], [1.0, 0.0], [0.3, 0.0], [0.3, 0.0]]","[-1.0, 1.0, 1.0, 1.0]",0.0,4
radial_tension,1e-08,type_i_boost_diagonalizable,type_ii_null_boundary,False,True,True,False,1e-08,1e-08,-1e-08,"[[-1.0, 0.0], [-1.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[-1.0, 1.0, 1.0, 1.0]",0.0,4
radial_tension,1.0,type_i_boost_diagonalizable,type_ii_null_boundary,False,True,True,False,1.0,1.0,-1.0,"[[-1.0, 0.0], [-1.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[-1.0, 1.0, 1.0, 1.0]",0.0,4
radial_tension,100000000.0,type_i_boost_diagonalizable,type_ii_null_boundary,False,True,True,False,100000000.0,100000000.0,-100000000.0,"[[-1.0, 0.0], [-1.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[-1.0, 1.0, 1.0, 1.0]",0.0,4
isotropic_degenerate,1e-08,type_i_boost_diagonalizable,type_ii_null_boundary,False,True,True,False,1e-08,1e-08,-1e-08,"[[-1.0, 0.0], [-1.0, 0.0], [-1.0, 0.0], [-1.0, 0.0]]","[-1.0, 1.0, 1.0, 1.0]",0.0,4
isotropic_degenerate,1.0,type_i_boost_diagonalizable,type_ii_null_boundary,False,True,True,False,1.0,1.0,-1.0,"[[-1.0, 0.0], [-1.0, 0.0], [-1.0, 0.0], [-1.0, 0.0]]","[-1.0, 1.0, 1.0, 1.0]",0.0,4
isotropic_degenerate,100000000.0,type_i_boost_diagonalizable,type_ii_null_boundary,False,True,True,False,100000000.0,100000000.0,-100000000.0,"[[-1.0, 0.0], [-1.0, 0.0], [-1.0, 0.0], [-1.0, 0.0]]","[-1.0, 1.0, 1.0, 1.0]",0.0,4
negative_enthalpy,1e-08,type_i_boost_diagonalizable,type_ii_null_boundary,False,False,True,False,1e-08,2e-08,-1.0000000000000002e-08,"[[-1.0, 0.0], [-2.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[-1.0, 1.0, 1.0, 1.0]",0.0,4
negative_enthalpy,1.0,type_i_boost_diagonalizable,type_i_boost_diagonalizable,True,False,True,False,1.0,2.0,-1.0,"[[-1.0, 0.0], [-2.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[-1.0, 1.0, 1.0, 1.0]",0.0,4
negative_enthalpy,100000000.0,type_i_boost_diagonalizable,type_i_boost_diagonalizable,True,False,True,False,100000000.0,200000000.0,-100000000.0,"[[-1.0, 0.0], [-2.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[-1.0, 1.0, 1.0, 1.0]",0.0,4
null_dust,1e-08,type_ii_null_boundary,type_ii_null_boundary,True,False,False,False,,0.0,0.0,"[[3.251767952832691e-17, 1.570092458683775e-16], [3.251767952832691e-17, -1.570092458683775e-16], [0.0, 0.0], [0.0, 0.0]]","[-2.220446049250313e-16, -2.220446049250313e-16, 1.0, 1.0]",1.3401577416544657e-16,3
null_dust,1.0,type_ii_null_boundary,type_ii_null_boundary,True,False,False,False,,0.0,0.0,"[[3.251767952832691e-17, 1.570092458683775e-16], [3.251767952832691e-17, -1.570092458683775e-16], [0.0, 0.0], [0.0, 0.0]]","[-2.220446049250313e-16, -2.220446049250313e-16, 1.0, 1.0]",1.3401577416544657e-16,3
null_dust,100000000.0,type_ii_null_boundary,type_ii_null_boundary,True,False,False,False,,0.0,0.0,"[[3.251767952832691e-17, 1.570092458683775e-16], [3.251767952832691e-17, -1.570092458683775e-16], [0.0, 0.0], [0.0, 0.0]]","[-2.220446049250313e-16, -2.220446049250313e-16, 1.0, 1.0]",1.3401577416544657e-16,3
flux_dominant,1e-08,type_iv_flux_dominant,type_ii_null_boundary,False,False,True,False,,1e-08,-1e-08,"[[-1.0, 0.19999999999999998], [-1.0, -0.19999999999999998], [0.0, 0.0], [0.0, 0.0]]","[-2.220446049250313e-16, -2.220446049250313e-16, 1.0, 1.0]",5.551115123125783e-17,4
flux_dominant,1.0,type_iv_flux_dominant,type_iv_flux_dominant,True,True,True,True,,,,"[[-1.0, 0.19999999999999998], [-1.0, -0.19999999999999998], [0.0, 0.0], [0.0, 0.0]]","[-2.220446049250313e-16, -2.220446049250313e-16, 1.0, 1.0]",5.551115123125783e-17,4
flux_dominant,100000000.0,type_iv_flux_dominant,type_iv_flux_dominant,True,True,True,True,,,,"[[-1.0, 0.19999999999999998], [-1.0, -0.19999999999999998], [0.0, 0.0], [0.0, 0.0]]","[-2.220446049250313e-16, -2.220446049250313e-16, 1.0, 1.0]",5.551115123125783e-17,4
