stress_algebraic_type,classification_radial_scale,radial_discriminant_normalized,radial_type_margin_normalized,radial_block_discriminant,rho_plus_p_l,radial_flux_ratio,boost_velocity_to_flux_frame,rest_frame_energy_density,rest_frame_radial_pressure,rest_frame_angular_pressure,type_i_heat_flux_compatible,minimal_type_i_regulator,nec_margin,wec_margin,dec_margin,classification_resolved,exact_vacuum,eigenbasis_rank,eigen_equation_relative_error,spherical_block_relative_error,jordan_chain_error,full_eigensystem_certified,s,l,holding,h_s,h_l,h_theta,rho,p_l,j_l,p_omega,alpha,beta,gamma_ll,gamma_omega,source_frame_frobenius,imaginary_eigenvalue_scale,raw_imaginary_eigenvalue_scale,legacy_j_l,spherical_projection_absolute_error,spherical_projection_relative_error,study,level,h,width_factor,W_raw,support_shell_window,support_edge_receiver_radial_cap_window,support_edge_receiver_angular_flange_window,standing_support_packet_beta_rematch_window,transverse_to_density,analytic_magnitude,analytic_channel_max_relative_error,analytic_both_ends_norm_volume_beyond_L
type_i_boost_diagonalizable,7.985752691715552e-05,3.999998857103913,1.9999997142759578,2.550889113279182e-08,-0.00015971503101709563,0.0,0.0,-7.985752691715552e-05,-7.985750409994013e-05,7.985751550854784e-05,True,0.0,-0.00015971503101709563,-0.00015971503101709563,-0.00015971504242570336,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,-6.0,False,0.0025,0.0025,0.0001,-7.985752691715552e-05,-7.985750409994013e-05,-0.0,7.985751550854784e-05,1.0,0.0,1.0,39.0625,0.00015971503101709647,0.0,0.0,-0.0,5.092958146142232e-12,6.377555557694248e-08,exterior_tail,0,0.0025,1.0,4.3298697960381105e-15,0.0,0.0,0.0,0.0,0.9999998571379791,7.985758424578941e-05,1.0036097389818336e-06,0.9932793822291476
type_i_boost_diagonalizable,5.6341950319736776e-06,3.9999949407189748,1.9999987351793438,1.2697645403067325e-10,-1.1268382937701098e-05,0.0,0.0,-5.6341950319736776e-06,-5.634187905727421e-06,5.6341914688505475e-06,True,0.0,-1.1268382937701098e-05,-1.1268382937701098e-05,-1.1268386500824226e-05,True,False,4,0.0,0.0,,True,15.0,-12.0,False,0.0025,0.0025,0.0001,-5.6341950319736776e-06,-5.634187905727421e-06,-0.0,5.6341914688505475e-06,1.0,0.0,1.0,147.0625,1.1268382937702223e-05,0.0,0.0,-0.0,1.3527831588619086e-12,2.4010229521430394e-07,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,0.9999993675896717,5.634201159231487e-06,2.3523306484609127e-06,0.5068437438362867
type_i_boost_diagonalizable,3.634008091543543e-07,3.9999775759846665,1.9999943939883098,5.28237631057372e-13,-7.267995810795243e-07,0.0,0.0,-3.634008091543543e-07,-3.6339877192516996e-07,3.633997905397622e-07,True,0.0,-7.267995810795243e-07,-7.267995810795243e-07,-7.268005996941165e-07,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,-24.0,False,0.0025,0.0025,0.0001,-3.634008091543543e-07,-3.6339877192516996e-07,-0.0,3.633997905397622e-07,1.0,0.0,1.0,579.0625,7.267995810809519e-07,0.0,0.0,-0.0,3.435616591565549e-13,9.454069735178472e-07,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,0.9999971969941551,3.6340036207979985e-07,4.375765122479557e-06,0.25475747011373795
type_i_boost_diagonalizable,2.2893708566207e-08,3.999966422364511,1.9999916055735112,2.096469968883841e-15,-4.578722495286039e-08,0.0,0.0,-2.2893708566207e-08,-2.2893516386653386e-08,2.2893612476430187e-08,True,0.0,-4.578722495286039e-08,-4.578722495286039e-08,-4.578732104263719e-08,True,False,4,0.0,0.0,,True,15.0,-48.0,False,0.0025,0.0025,0.0001,-2.2893708566207e-08,-2.2893516386653386e-08,-0.0,2.2893612476430187e-08,1.0,0.0,1.0,2307.0625,4.578722495306204e-08,0.0,0.0,-0.0,8.623246126154496e-14,3.7666444915277365e-06,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,0.9999958027867553,2.2893780659511767e-08,1.1543434538457345e-05,0.1275476741330151
type_i_boost_diagonalizable,1.4336626498305973e-09,3.9996654615811793,1.999916363646535,8.220866767627023e-18,-2.867205393345064e-09,0.0,0.0,-1.4335427435144665e-09,-1.4336626498305973e-09,1.4336026966725321e-09,True,0.0,-2.867205393345064e-09,-2.867205393345064e-09,-2.867205393345064e-09,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,-96.0,False,0.0025,0.0025,0.0001,-1.4335427435144665e-09,-1.4336626498305973e-09,-0.0,1.4336026966725321e-09,1.0,0.0,1.0,9219.0625,2.8672053945986825e-09,0.0,0.0,-0.0,2.157959914452497e-14,1.5052075986686848e-05,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,1.000041821674545,1.4337146374526115e-09,0.00011989410839135534,0.06379501754443266
type_i_boost_diagonalizable,7.985752691715552e-05,3.999998857103913,1.9999997142759578,2.550889113279182e-08,-0.00015971503101709563,0.0,0.0,-7.985752691715552e-05,-7.985750409994013e-05,7.985751550854784e-05,True,0.0,-0.00015971503101709563,-0.00015971503101709563,-0.00015971504242570336,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,6.0,False,0.0025,0.0025,0.0001,-7.985752691715552e-05,-7.985750409994013e-05,-0.0,7.985751550854784e-05,1.0,0.0,1.0,39.0625,0.00015971503101709647,0.0,0.0,-0.0,5.092958146142232e-12,6.377555557694248e-08,exterior_tail,0,0.0025,1.0,4.3298697960381105e-15,0.0,0.0,0.0,0.0,0.9999998571379791,7.985758424578941e-05,1.0036097389818336e-06,0.9932793822291476
type_i_boost_diagonalizable,5.6341950319736776e-06,3.9999949407189748,1.9999987351793438,1.2697645403067325e-10,-1.1268382937701098e-05,0.0,0.0,-5.6341950319736776e-06,-5.634187905727421e-06,5.6341914688505475e-06,True,0.0,-1.1268382937701098e-05,-1.1268382937701098e-05,-1.1268386500824226e-05,True,False,4,0.0,0.0,,True,15.0,12.0,False,0.0025,0.0025,0.0001,-5.6341950319736776e-06,-5.634187905727421e-06,-0.0,5.6341914688505475e-06,1.0,0.0,1.0,147.0625,1.1268382937702223e-05,0.0,0.0,-0.0,1.3527831588619086e-12,2.4010229521430394e-07,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,0.9999993675896717,5.634201159231487e-06,2.3523306484609127e-06,0.5068437438362867
type_i_boost_diagonalizable,3.634008091543543e-07,3.9999775759846665,1.9999943939883098,5.28237631057372e-13,-7.267995810795243e-07,0.0,0.0,-3.634008091543543e-07,-3.6339877192516996e-07,3.633997905397622e-07,True,0.0,-7.267995810795243e-07,-7.267995810795243e-07,-7.268005996941165e-07,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,24.0,False,0.0025,0.0025,0.0001,-3.634008091543543e-07,-3.6339877192516996e-07,-0.0,3.633997905397622e-07,1.0,0.0,1.0,579.0625,7.267995810809519e-07,0.0,0.0,-0.0,3.435616591565549e-13,9.454069735178472e-07,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,0.9999971969941551,3.6340036207979985e-07,4.375765122479557e-06,0.25475747011373795
type_i_boost_diagonalizable,2.2893708566207e-08,3.999966422364511,1.9999916055735112,2.096469968883841e-15,-4.578722495286039e-08,0.0,0.0,-2.2893708566207e-08,-2.2893516386653386e-08,2.2893612476430187e-08,True,0.0,-4.578722495286039e-08,-4.578722495286039e-08,-4.578732104263719e-08,True,False,4,0.0,0.0,,True,15.0,48.0,False,0.0025,0.0025,0.0001,-2.2893708566207e-08,-2.2893516386653386e-08,-0.0,2.2893612476430187e-08,1.0,0.0,1.0,2307.0625,4.578722495306204e-08,0.0,0.0,-0.0,8.623246126154496e-14,3.7666444915277365e-06,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,0.9999958027867553,2.2893780659511767e-08,1.1543434538457345e-05,0.1275476741330151
type_i_boost_diagonalizable,1.4336626498305973e-09,3.9996654615811793,1.999916363646535,8.220866767627023e-18,-2.867205393345064e-09,0.0,0.0,-1.4335427435144665e-09,-1.4336626498305973e-09,1.4336026966725321e-09,True,0.0,-2.867205393345064e-09,-2.867205393345064e-09,-2.867205393345064e-09,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,96.0,False,0.0025,0.0025,0.0001,-1.4335427435144665e-09,-1.4336626498305973e-09,-0.0,1.4336026966725321e-09,1.0,0.0,1.0,9219.0625,2.8672053945986825e-09,0.0,0.0,-0.0,2.157959914452497e-14,1.5052075986686848e-05,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,1.000041821674545,1.4337146374526115e-09,0.00011989410839135534,0.06379501754443266
