study,width_factor,s,level,holding,points,type_i,type_iv,other_type,uncertified,min_delta,min_delta_s,min_delta_l,min_nec_type_i,min_wec_type_i,min_dec_type_i,max_abs_p_omega,max_abs_j_l,max_imaginary_eigenvalue,max_eigen_equation_error,l_min,l_max,source_frame_norm_proper_integral,source_frame_norm_volume_integral,type_iv_proper_length,imaginary_eigenvalue_proper_integral,max_projection_relative_error,max_transverse_to_density
blend_sensitivity,0.5,1.878989361702128,0,False,81,25,56,0,0,-0.002064008825596269,1.878989361702128,-1.7999999999999998,-0.05981852762759932,-0.05981852762759932,-0.05981852762759932,0.08943215387279302,0.023009805406734547,0.022715681948800644,3.239279014839886e-16,-4.0,4.0,0.8520764295284198,54.649626880223565,9.093495158263067,0.07659558859149855,0.0004565613163833578,27.122223155700254
blend_sensitivity,0.5,1.878989361702128,0,True,81,81,0,0,0,1.1528256828379623e-06,1.878989361702128,-4.0,-0.016484021928018032,-0.016484021928018032,-0.032820793171992164,0.026866736333421515,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,0.16072734072672717,13.565559103607894,0.0,0.0,1.4724317522797206e-08,87.40230839834783
blend_sensitivity,0.5,1.878989361702128,1,False,161,49,112,0,0,-0.0020643899091340027,1.878989361702128,-1.7999999999999998,-0.059810248950108585,-0.059810248950108585,-0.059810248950108585,0.08982139678055134,0.023012078444636486,0.022717778880944783,3.376611507232129e-16,-4.0,4.0,0.8535174347567692,54.740146050246906,9.165381202715956,0.07666881588602029,0.00011420073110713093,1277.7954692616252
blend_sensitivity,0.5,1.878989361702128,1,True,161,161,0,0,0,1.1528192067485582e-06,1.878989361702128,-4.0,-0.016484901157024348,-0.016484901157024348,-0.03327602947434853,0.027016018134406468,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,0.16091476351457978,13.577546110165954,0.0,0.0,1.4724364871631539e-08,87.31108972713017
blend_sensitivity,0.5,1.878989361702128,2,False,321,100,221,0,0,-0.002064485201398105,1.878989361702128,-1.7999999999999998,-0.060635448889065344,-0.060635448889065344,-0.060635448889065344,0.08982164346968913,0.02301264680368755,0.022718303201373254,2.882983075955557e-16,-4.0,4.0,0.8544736206500626,54.79894423024234,9.020777646258647,0.07639143188790319,2.9297389761424433e-05,1289.4546385382093
blend_sensitivity,0.5,1.878989361702128,2,True,321,321,0,0,0,1.152817617137277e-06,1.878989361702128,-4.0,-0.01648512087295937,-0.01648512087295937,-0.03327611749849471,0.027066331927312635,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,0.16152612846625092,13.615206442742867,0.0,0.0,1.4724376423965428e-08,87.28829877379505
blend_sensitivity,2.0,1.878989361702128,0,False,81,25,56,0,0,-0.002064008825596269,1.878989361702128,-1.7999999999999998,-0.05981852762759932,-0.05981852762759932,-0.05981852762759932,0.0894417272304592,0.023009805406734547,0.022715681948800644,3.239279014839886e-16,-4.0,4.0,0.8530656582406979,54.707198157931515,9.093495158263067,0.07672788601603552,0.0004565613163833578,27.122223155700254
blend_sensitivity,2.0,1.878989361702128,0,True,81,81,0,0,0,1.1528256828379623e-06,1.878989361702128,-4.0,-0.016484021928018032,-0.016484021928018032,-0.032820793171992164,0.026866736333421515,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,0.16086146582121072,13.574412180311779,0.0,0.0,1.4724317522797206e-08,87.40230839834783
blend_sensitivity,2.0,1.878989361702128,1,False,161,49,112,0,0,-0.0020643899091340027,1.878989361702128,-1.7999999999999998,-0.059810248950108585,-0.059810248950108585,-0.059810248950108585,0.08993443230338793,0.023012078444636486,0.022717778880944783,3.376611507232129e-16,-4.0,4.0,0.853798971592547,54.75977009079894,9.165381202715956,0.07660754094045591,0.00011420073110713093,1277.7954692616252
blend_sensitivity,2.0,1.878989361702128,1,True,161,161,0,0,0,1.1528192067485582e-06,1.878989361702128,-4.0,-0.016484901157024348,-0.016484901157024348,-0.03327602947434853,0.027016018134406468,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,0.16097688349073716,13.583989930576259,0.0,0.0,1.4724364871631539e-08,87.31108972713017
