holding,distance_per_h_l,cutoff,source_frame_norm_proper_integral
False,16,0.01,0.0022925717455249514
False,16,0.001,0.004391834207851474
False,16,0.0001,0.00460399877497844
False,16,1e-05,0.004625238899539345
False,32,0.01,0.0022925362780354098
False,32,0.001,0.004391795139503982
False,32,0.0001,0.004603959703613506
False,32,1e-05,0.00462519982329376
True,16,0.01,0.0002048395627651143
True,16,0.001,0.0004076971162653237
True,16,0.0001,0.0004295989522997313
True,16,1e-05,0.0004318087077611409
True,32,0.01,0.000204828862609649
True,32,0.001,0.00040768415548083313
True,32,0.0001,0.00042958598854164564
True,32,1e-05,0.00043179574574433186
