path_kind,moving,duration,time_skew,u,radius,mass_onset_order,predicted_angular_coefficient,angular_residual,scaled_angular_residual,angular_coefficient_ratio,material_density,material_onset_order,predicted_material_coefficient,scaled_material_density,predicted_current_coefficient,current,initial_boundary_enthalpy,roundoff_floor,log_f_onset_coefficient
direct,False,4.0,-0.65,0.000244140625,6.25,3,1.07769746145153e-05,2.62325408543053e-09,1.0744848733923451e-05,0.9970190260494278,-1.3793886420942512e-13,2,-2.3174601162943397e-06,-2.3142301196361945e-06,2.3174601162943397e-06,1.3793886420942512e-13,-0.00016020795655557235,9.107066189176863e-18,0.00017695854395385902
direct,False,4.0,-0.65,0.00048828125,6.25,3,1.07769746145153e-05,5.230877774225866e-09,1.0712837681614573e-05,0.9940487070634516,-5.50986825491865e-13,2,-2.3174601162943397e-06,-2.3110062461078315e-06,2.3174601162943397e-06,5.50986825491865e-13,-0.00016020795655557235,9.10736262989997e-18,0.00017695854395385902
direct,False,4.0,-0.65,0.0009765625,6.25,3,1.07769746145153e-05,1.0399568407151011e-08,1.0649158048922636e-05,0.9881398472053085,-2.197815706307215e-12,2,-2.3174601162943397e-06,-2.3045768020567942e-06,2.3174601162943397e-06,2.197815706307215e-12,-0.00016020795655557235,9.10795019495959e-18,0.00017695854395385902
direct,False,4.0,-0.65,0.001953125,6.25,3,1.07769746145153e-05,2.0553036579980992e-08,1.0523154728950268e-05,0.976447946233151,-8.742487581636361e-12,2,-2.3174601162943397e-06,-2.2917906646004822e-06,2.3174601162943397e-06,8.742487581636361e-12,-0.00016020795655557235,9.109104322816922e-18,0.00017695854395385902
direct,False,4.0,-0.65,0.00390625,6.25,3,1.07769746145153e-05,4.0142431657213835e-08,1.0276462504246742e-05,0.9535572711107227,-3.4584133159492455e-11,2,-2.3174601162943397e-06,-2.2665057507404975e-06,2.3174601162943397e-06,3.4584133159492455e-11,-0.00016020795655557235,9.11133063021506e-18,0.00017695854395385902
direct,False,4.0,-0.65,0.0078125,6.25,3,1.07769746145153e-05,7.658979891266178e-08,9.803494260820708e-06,0.9096703491921165,-1.3531842072516613e-10,2,-2.3174601162943397e-06,-2.217057005161122e-06,2.3174601162943397e-06,1.3531842072516613e-10,-0.00016020795655557235,9.115471237692481e-18,0.00017695854395385902
direct,False,4.0,-0.65,0.015625,6.25,3,1.07769746145153e-05,1.3957794068652563e-07,8.93298820393764e-06,0.8288957266268374,-5.181710483235685e-10,2,-2.3174601162943397e-06,-2.1224286139333364e-06,2.3174601162943397e-06,5.181710483235685e-10,-0.00016020795655557235,9.122620367376308e-18,0.00017695854395385902
direct,False,4.0,-0.65,0.03125,6.25,3,1.07769746145153e-05,2.3283472016877923e-07,7.450711045400935e-06,0.6913546066412476,-1.9030217581140413e-09,2,-2.3174601162943397e-06,-1.9486942803087783e-06,2.3174601162943397e-06,1.9030217581140413e-09,-0.00016020795655557235,9.133175966958545e-18,0.00017695854395385902
direct,False,4.0,-0.65,0.0625,6.25,3,1.07769746145153e-05,3.2882448091443644e-07,5.261191694630983e-06,0.4881881866497844,-6.4573421839698074e-09,2,-2.3174601162943397e-06,-1.6530795990962707e-06,2.3174601162943397e-06,6.4573421839698074e-09,-0.00016020795655557235,9.143905314952143e-18,0.00017695854395385902
direct,False,4.0,-0.65,0.125,6.25,3,1.07769746145153e-05,3.4078311874599816e-07,2.7262649499679853e-06,0.2529712695338478,-1.8933139595725458e-08,2,-2.3174601162943397e-06,-1.2117209341264293e-06,2.3174601162943397e-06,1.8933139595725458e-08,-0.00016020795655557235,9.144522766386734e-18,0.00017695854395385902
direct,True,4.0,-0.65,0.000244140625,6.25,3,1.07769746145153e-05,2.6232196007134733e-09,1.0744707484522387e-05,0.9970059194581888,1.1876520160716658e-22,4,3.35228131366374e-08,3.342943235641358e-08,2.3174601162943397e-06,1.3793886420942512e-13,-0.00016020795655557235,9.107066189176863e-18,0.00017695854395385902
direct,True,4.0,-0.65,0.00048828125,6.25,3,1.07769746145153e-05,5.230740027518921e-09,1.0712555576358751e-05,0.9940225303983009,1.8949525878346887e-21,4,3.35228131366374e-08,3.3336358470535395e-08,2.3174601162943397e-06,5.50986825491865e-13,-0.00016020795655557235,9.10736262989997e-18,0.00017695854395385902
direct,True,4.0,-0.65,0.0009765625,6.25,3,1.07769746145153e-05,1.0399018953208923e-08,1.0648595408085937e-05,0.9880876395258044,3.0150773520701026e-20,4,3.35228131366374e-08,3.31511260724515e-08,2.3174601162943397e-06,2.197815706307215e-12,-0.00016020795655557235,9.10795019495959e-18,0.00017695854395385902
direct,True,4.0,-0.65,0.001953125,6.25,3,1.07769746145153e-05,2.055085095796342e-08,1.0522035690477272e-05,0.9763441101833297,4.770742239491616e-19,4,3.35228131366374e-08,3.278429103401966e-08,2.3174601162943397e-06,8.742487581636361e-12,-0.00016020795655557235,9.109104322816922e-18,0.00017695854395385902
direct,True,4.0,-0.65,0.00390625,6.25,3,1.07769746145153e-05,4.013378562205919e-08,1.0274249119247153e-05,0.9533518901871556,7.465684909436579e-18,4,3.35228131366374e-08,3.206487252827083e-08,2.3174601162943397e-06,3.4584133159492455e-11,-0.00016020795655557235,9.11133063021506e-18,0.00017695854395385902
direct,True,4.0,-0.65,0.0078125,6.25,3,1.07769746145153e-05,7.655596927890601e-08,9.79916406769997e-06,0.9092685487540877,1.142956127145654e-16,4,3.35228131366374e-08,3.068099491783376e-08,2.3174601162943397e-06,1.3531842072516613e-10,-0.00016020795655557235,9.115471237692481e-18,0.00017695854395385902
direct,True,4.0,-0.65,0.015625,6.25,3,1.07769746145153e-05,1.3944839750545251e-07,8.924697440348961e-06,0.8281264231919465,1.675951577995667e-15,4,3.35228131366374e-08,2.8117801629574152e-08,2.3174601162943397e-06,5.181710483235685e-10,-0.00016020795655557235,9.122620367376308e-18,0.00017695854395385902
direct,True,4.0,-0.65,0.03125,6.25,3,1.07769746145153e-05,2.3235895907804517e-07,7.4354866904974455e-06,0.6899419323566682,2.2604812727305916e-14,4,3.35228131366374e-08,2.370286411034753e-08,2.3174601162943397e-06,1.9030217581140413e-09,-0.00016020795655557235,9.133175966958545e-18,0.00017695854395385902
direct,True,4.0,-0.65,0.0625,6.25,3,1.07769746145153e-05,3.2721008030207074e-07,5.235361284833132e-06,0.4857913720778116,2.602655196214383e-13,4,3.35228131366374e-08,1.705676109391058e-08,2.3174601162943397e-06,6.4573421839698074e-09,-0.00016020795655557235,9.143905314952143e-18,0.00017695854395385902
