s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,maximum_anchor_force,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.0,0,0.25,-2.1,0.20214036673420838,0.014073006574194467,0.0021479093474530216,0.16414965477402294,1.0,0.15000000000000002,34701.02708997272,122.17087308558476,5.196165857942437,21.140063713733436,0.0,0.0,0.0,0.019832810128079286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,10,0.25,-2.1,0.19657604239257814,0.014108362288763256,0.0021482980326533816,0.16456795058880358,0.9921488196598851,0.15500000000000003,34691.321235679134,122.30032872291638,5.198559127480732,21.130642696676055,1.2827438611181285e-10,-1.3322676295501878e-14,-1.3706233238268295e-15,0.019843317618871495,-0.6652899839987205,-0.10707735988828185,-0.0007497007168174605,0.0,-6.403899635444331,-0.0019326155411708062,4.068956445505492
0.01,20,0.25,-2.1,0.19125189474758336,0.0141863194037033,0.0021481361919870718,0.16549037242403308,0.9702530541774247,0.16000000000000003,34671.31955419484,122.4175623468385,5.199552329898163,21.123009515933582,1.8686953051780847e-10,-3.552713678800501e-14,-1.0763344193073512e-15,0.019856214215246325,-2.1714188842886926,-0.19263169879108705,-0.0013571299401568236,0.0,-13.114090504578101,-0.0038608504329855917,8.397849063570746
0.015,30,0.25,-2.1,0.20412066666763623,0.014308117127152424,0.0021485627843886882,0.1669318270966006,0.9365943848298064,0.16500000000000004,34641.189873161624,122.52268521125266,5.199120645458809,21.117153027802846,2.357464269278026e-10,-5.1514348342607263e-14,1.0354609603463125e-16,0.019870917826524975,-4.504695450208884,-0.25699896798352295,-0.0018231744577397262,0.0,-20.120561529571805,-0.005784214599333899,12.979841626473858
0.02,40,0.25,-2.1,0.21953169535588177,0.014475768918715598,0.0021490821271685444,0.16891653935548856,0.8932000912613468,0.17000000000000004,34601.08594216757,122.61578816881735,5.197242656492997,21.11306340699012,3.484764295045404e-10,-7.460698725481052e-14,-7.667860901090852e-15,0.01988681266206081,-7.652538164814338,-0.3005256809469882,-0.002148616141597615,0.0,-27.4122427708966,-0.007702200445779011,17.806797256720237
0.025,50,0.25,-2.1,0.2353094823447144,0.014692146602994505,0.0021490271831915396,0.17147908174274812,0.841858459964738,0.17500000000000004,34551.13534667741,122.6969170611659,5.193900632946613,21.110732118840687,3.8235549137309746e-10,-8.881784197001252e-14,-2.6322507570908892e-15,0.019903387678334432,-11.604437219492173,-0.32356871759358585,-0.0023341341579748,0.0,-34.97726200473481,-0.009614272669192483,22.86954830189003
0.03,60,0.25,-2.1,0.25150314009387015,0.014961105111625666,0.0021495756292615594,0.1746659037287988,0.7841137562873551,0.18000000000000005,34491.4981271321,122.76615985362872,5.189080023374401,21.110151888372517,3.727952438200558e-10,-9.947598300641403e-14,-2.3434116470995494e-16,0.01991990172400498,-16.347290038044765,-0.32649504048652483,-0.0023803074315458064,0.0,-42.803206020335764,-0.011519856201719837,28.15820646686347
0.035,70,0.25,-2.1,0.2680962843331294,0.015287657908280206,0.002150701395283881,0.17853748595429603,0.7212817959451748,0.18500000000000005,34422.343213688815,122.82361056256838,5.182771110248429,21.111316653583824,4.437838313600255e-10,-9.947598300641403e-14,-3.5151174706493243e-15,0.019935269494315275,-21.867276666330888,-0.30968156900117927,-0.0022876183610850954,0.0,-50.877714660762145,-0.013418321405410013,33.662726332104995
0.04,80,0.25,-2.1,0.2850342763439984,0.015678218372286827,0.0021515485873676034,0.18317131109620288,0.6545027063055399,0.19000000000000006,34343.866971722324,122.86939048544889,5.174968161491206,21.114221523324783,4.711356961214092e-10,-1.1368683772161603e-13,-4.61052617080516e-15,0.019948594269868634,-28.148384329979486,-0.2735148174765776,-0.0020564561719292546,0.0,-59.18918979883691,-0.015308965302285022,39.3735858059714
0.045,90,0.25,-2.1,0.3022507687785029,0.016140929122019088,0.0021524906557141856,0.1886659282793159,0.5848023135404133,0.19500000000000006,34256.22669250809,122.90354280532257,5.165669873044336,21.118862720430997,5.126880686855852e-10,-9.947598300641403e-14,3.1336318536796303e-16,0.019959075657903693,-35.177700290723486,-0.21839068218533603,-0.0016871214412706142,0.0,-67.7272894229796,-0.01719098714661696,45.282288935863534
