s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,maximum_anchor_force,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.0,0,0.25,-2.1,0.20214036673420838,0.014073006574194467,0.002149075487186356,0.16414965477402294,1.0,0.15000000000000002,34688.604191411236,122.12968735335787,5.190648086218682,21.11820651450323,0.0,0.0,0.0,0.019581806752314874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,3,0.25,-2.1,0.19657604239257814,0.014097673331977905,0.002148250357797521,0.1644414856648744,0.9980806085206897,0.15500000000000003,34679.02892008748,122.25993935828969,5.193059796030674,21.108785745634993,7.284031087703646e-09,-6.873612790059269e-12,3.4933182925367704e-15,0.01959800088879906,-0.6548986086224243,-0.1070772732679387,-0.0007496809665530906,0.0,-6.396303250044172,-0.0017382378830910258,4.0178975978450495
0.01,6,0.25,-2.1,0.19125189474758336,0.014143242197231837,0.0021479251782993308,0.1649806465096074,0.9932536508297165,0.16000000000000003,34659.194564692414,122.377820329836,5.194123005150877,21.101153355492617,1.1705162511198439e-08,-1.3413270494311291e-11,-3.670436614701271e-15,0.01962511438992949,-2.1477121120097693,-0.19263162231533604,-0.0013570472759349271,0.0,-13.096059626793899,-0.0034724793848356587,8.294720456253922
0.015,9,0.25,-2.1,0.19723051742117076,0.014210053552384546,0.0021480773235120344,0.16577123396450275,0.9866964106134049,0.16500000000000004,34629.26004778623,122.48344134360858,5.193819724280717,21.095298209860374,-2.5750770175952384e-05,-1.2563106110974331e-10,2.528704661056258e-15,0.01966057036016155,-4.46545584914657,-0.2569990024098463,-0.0018229849608828244,0.0,-20.089583531356244,-0.005202368082123084,12.8257101635986
0.02,12,0.25,-2.1,0.2096053321325039,0.014298628010963117,0.0021486859630507615,0.16681951227709632,0.9793197562282286,0.17000000000000004,34589.367662717166,122.57689533791955,5.192134456939726,21.09121047194965,-2.573919920569378e-05,-1.3070078352939163e-10,4.305337677229405e-16,0.0197022495358907,-7.596464136009319,-0.3005258542009601,-0.0021482768081604662,0.0,-27.36670980168538,-0.0069275455561924595,17.604655029475705
0.025,15,0.25,-2.1,0.22252786826840543,0.014409676950011326,0.0021497320398481245,0.1681340421569109,0.9718012419456813,0.17500000000000004,34539.63181339112,122.65823301691952,5.189053871168778,21.088881575084905,-2.5742403105192582e-05,-1.355395795599179e-10,-2.1853676057835332e-15,0.01974875370998595,-11.531274208481635,-0.32356891603103893,-0.002333604532148085,0.0,-34.91713704113244,-0.008647649818368615,22.624193857398566
0.03,18,0.25,-2.1,0.23622763778393857,0.014544117321293076,0.002149704878621249,0.1697258620449091,0.9645993341901872,0.18000000000000005,34480.19809411913,122.7275461842533,5.1845659094716074,21.088304192334213,-2.5755815002440105e-05,-1.4090772992858547e-10,-2.708547880484828e-15,0.019798773440156993,-16.257933280281716,-0.32649494739999485,-0.002379551191562308,0.0,-42.730393879251324,-0.010362313509828986,27.876192687248697
0.035,21,0.25,-2.1,0.2507721218359621,0.014703091217561047,0.0021487000467921647,0.1716087277802344,0.9579474151911905,0.18500000000000005,34411.222322696434,122.78493154735274,5.178661304208836,21.08947219056556,-2.5767452919544235e-05,-1.4586731822419097e-10,2.179917811255395e-17,0.01985005162836522,-21.76366510550728,-0.3096806089977197,-0.002286604845541886,0.0,-50.795886644317264,-0.012071161807866276,33.35220419638846
0.04,24,0.25,-2.1,0.26611845543195595,0.014887991160405628,0.002148232656674211,0.17379942261219875,0.9483544660513787,0.19000000000000006,34332.889334707594,122.830508715029,5.1713328373702225,21.092380589202566,-5.02686019561487e-05,-4.248050800015335e-10,-1.0899589056276974e-17,0.019900392030891664,-28.033372782063996,-0.2735121054924516,-0.0020551618357611537,0.0,-59.10311305796349,-0.013773809936522271,39.0439819091325
0.045,27,0.25,-2.1,0.2821698247047466,0.015100492007681132,0.00214828044421882,0.17631814888640124,0.934811626986346,0.19500000000000006,34245.34997790231,122.86432097764096,5.162576069127196,21.097025504354953,-5.025214604852612e-05,-4.283151611161884e-10,-2.7930196956709745e-15,0.01994685406078263,-35.054660587973316,-0.2183849762156039,-0.0016855312323884595,0.0,-67.64186992875962,-0.015469860159296413,44.94383125162479
