s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,maximum_anchor_force,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.0,0,0.25,-2.1,0.20214036673420838,0.014073006574194467,0.002149075487186356,0.16414965477402294,1.0,0.15000000000000002,34688.604191411236,122.12968735335787,5.190648086218682,21.11820651450323,0.0,0.0,0.0,0.019581806752314874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,10,0.25,-2.1,0.19657604239257814,0.014097673331988279,0.002148250357795,0.16444148566499717,0.9980806101637665,0.15500000000000003,34679.028920087745,122.25993935818614,5.1930597959993205,21.108785745635082,3.133588255323405e-11,-2.842170943040401e-14,1.5150428788224994e-15,0.019598000888232044,-0.6548986080234759,-0.10707727326881762,-0.0007496809665458277,0.0,-6.396303245610966,-0.0017382378831805126,4.017897600026429
0.01,20,0.25,-2.1,0.19125189474758336,0.014143242197256678,0.0021479251782945746,0.16498064650990132,0.9932536541989769,0.16000000000000003,34659.19456468768,122.37782032966979,5.194123005085833,21.1011533554928,5.500298863989652e-11,-6.039613253960852e-14,-2.4769316130389426e-15,0.019625114388817953,-2.1477121114577593,-0.19263162231724135,-0.0013570472759203672,0.0,-13.096059619671736,-0.0034724793850154107,8.294720457760938
0.015,30,0.25,-2.1,0.19723052004069266,0.014210053552427633,0.0021480773235037264,0.16577123396501262,0.9866964157077476,0.16500000000000004,34629.26004777431,122.48344134341868,5.193819724188495,21.095298209858726,1.1107814805608089e-10,-9.414691248821327e-14,-2.4660320239826652e-15,0.01966057035868405,-4.465457899243383,-0.2569990024512025,-0.0018229849610134333,0.0,-20.08958352365205,-0.005202368082394508,12.825710161881151
0.02,40,0.25,-2.1,0.20960533468454687,0.014298628011028476,0.0021486859630377017,0.16681951227786995,0.9793197625680728,0.17000000000000004,34589.367662695186,122.57689533775937,5.192134456826708,21.091210471948095,2.0233892488017634e-10,-1.2079226507921703e-13,-5.684135692848442e-15,0.019702249534416957,-7.596466185992481,-0.3005258542437044,-0.0021482768082836585,0.0,-27.366709798424715,-0.006927545556558174,17.604655023618193
0.025,50,0.25,-2.1,0.22252787055139409,0.014409676950103848,0.002149732039830707,0.16813404215800626,0.971801248660812,0.17500000000000004,34539.63181336413,122.65823301681604,5.189053871035998,21.08888157508346,1.613097325907016e-10,-1.3855583347321954e-13,2.833893154632013e-15,0.019748753708882554,-11.531276259112852,-0.32356891607532634,-0.0023336045322635036,0.0,-34.917137043599745,-0.008647649818831983,22.624193846996544
0.03,60,0.25,-2.1,0.23622763968125463,0.014544117321417038,0.0021497048786118028,0.16972586204637707,0.9645993423288858,0.18000000000000005,34480.198094094754,122.72754618419455,5.184565909327824,21.088304192332863,7.089999568012027e-11,-1.5631940186722204e-13,-1.689436303722931e-15,0.01979877343941214,-16.257935331763875,-0.32649494744606533,-0.0023795511916698585,0.0,-42.73039388386469,-0.010362313510394421,27.876192672113188
0.035,70,0.25,-2.1,0.25077212331946175,0.014703091217721485,0.0021487000467804206,0.17160872778213493,0.9579474246412313,0.18500000000000005,34411.222322677706,122.78493154732125,5.178661304057986,21.08947219056431,1.0117260152173638e-10,-1.8474111129762605e-13,-5.449794528138487e-17,0.01985005162817894,-21.76366715746674,-0.3096806090457213,-0.0022866048456411337,0.0,-50.79588664857954,-0.012071161808539392,33.35220417745032
0.04,80,0.25,-2.1,0.2661184561509387,0.01488799116060848,0.0021482326566589693,0.17379942261460257,0.948354467374618,0.19000000000000006,34332.889334697946,122.83050871495688,5.171332837215365,21.092380589199596,1.51856213813699e-10,-1.9184653865522705e-13,4.921164458909054e-15,0.019900392031428977,-28.033376783005995,-0.27351210557839223,-0.0020551618359978016,0.0,-59.10311305697651,-0.01377380993730992,39.0439818913537
0.045,90,0.25,-2.1,0.2821698254684787,0.015100492007931973,0.0021482804441988862,0.17631814888937505,0.9348116285065566,0.19500000000000006,34245.34997790089,122.86432097753809,5.162576068970727,21.097025504352096,2.1774972305177768e-10,-2.0605739337042905e-13,4.378909903359274e-15,0.01994685406234854,-35.05466458695389,-0.21838497630385728,-0.0016855312326164039,0.0,-67.64186992192695,-0.015469860160207464,44.94383123281236
0.05,100,0.25,-2.1,0.29883699661210017,0.01534259099078861,0.0021488228048650746,0.17918902024167718,0.9197502729112493,0.20000000000000007,34148.7121670224,122.88632796683979,5.152389881703043,21.103404090412386,1.8527487704051891e-10,-2.2026824808563106e-13,2.5559536336969503e-15,0.01998565984526007,-42.81853840900234,-0.14470379969895214,-0.001177939481900018,0.0,-76.40277157518905,-0.017158898125028455,51.04467096177307
0.055,110,0.25,-2.1,0.3160396239608619,0.015616657737620578,0.002149842347511705,0.1824406776021693,0.9031954032294941,0.20500000000000007,34043.09835124703,122.89650059474276,5.140776444645354,21.11151447948195,1.7322106510153845e-10,-2.2026824808563106e-13,9.94587501385274e-16,0.02001359914716792,-51.314840812796554,-0.05288181562755053,-0.0005325352264900732,0.0,-85.3778799689083,-0.018840488361552835,57.340252420651225
0.06,120,0.25,-2.1,0.33368024723850326,0.015925496617676803,0.002151321813615244,0.18610705843288186,0.8851811109893535,0.21000000000000008,33928.62590941859,122.89480095608853,5.127741852617154,21.12135570793862,1.1194784806605935e-10,-2.3447910280083306e-13,4.1820360760302716e-15,0.02002938043260025,-60.53380943274994,0.05665932193303459,0.00025060485099726054,0.0,-94.56096230890635,-0.02051416871340218,63.82538073364934
