s,x_maximum_difference,x_rms_difference,x_relative_rms_difference,velocity_maximum_difference,velocity_rms_difference,velocity_relative_rms_difference,heat_maximum_difference,heat_rms_difference,heat_relative_rms_difference,charge_maximum_difference,charge_rms_difference,charge_relative_rms_difference,density_maximum_difference,density_rms_difference,density_relative_rms_difference,radial_maximum_difference,radial_rms_difference,radial_relative_rms_difference,current_maximum_difference,current_rms_difference,current_relative_rms_difference,angular_maximum_difference,angular_rms_difference,angular_relative_rms_difference
0.0,4.440892098500626e-16,9.621221172337121e-17,6.973851941984318e-17,0.00043046789625653115,6.044185877572627e-05,0.001120941790364091,0.12597379441552548,0.02614910504148883,0.0082111874882495,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.00018906811797569662,2.224468982160852e-05,0.003969418704423924,8.073938368879062e-06,1.1277212379338374e-06,0.0003179883095114049,4.345108447624822e-06,5.639240824070203e-07,0.011472840335586994,8.65274154067996e-06,1.1976562433873763e-06,0.006360729505565452
0.005,7.268169697383087e-05,6.490821221308467e-06,4.7047544019260835e-06,0.02323164653900822,0.0021992397849096273,0.04089554069708335,0.12600606590700414,0.02614656941480891,0.008212550759860377,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.00018943291742791381,2.2300481415021857e-05,0.0039783132737723995,8.319427827944634e-06,1.1787079526318329e-06,0.0003323686555006376,5.5694583428119305e-05,4.546714325361646e-06,0.08030048612387872,8.651487185799904e-06,1.1976188953451316e-06,0.006360520345496689
0.01,0.00028203112677127606,2.5469482801809087e-05,1.8460426823841464e-05,0.044311697761735075,0.004282014870876854,0.07568160929762605,0.12602283819794557,0.02614386180875827,0.008213453564032717,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.00018991735825766177,2.2488008939468105e-05,0.004009672899376689,9.496954046728234e-06,1.363942783689653e-06,0.00038466578928236355,0.00011185714224317405,8.920090854021659e-06,0.1151286147226274,8.647679317721731e-06,1.1974944151603617e-06,0.006359972803117119
0.015,0.0006147602009275444,5.604785469993761e-05,4.0621350927938905e-05,0.06361054598433742,0.006248640051612833,0.1010866667773694,0.12602432409348152,0.026140963933881142,0.008213893790378995,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.00019052257750580472,2.3058540278113354e-05,0.004108203078083608,1.1900171889922019e-05,1.637766739575456e-06,0.00046204096875615124,0.00016881952268397993,1.3312303928157365e-05,0.12792490827996528,8.641576896159736e-06,1.197305533378171e-06,0.0063592080990794485
0.02,0.0010573519822678623,9.718497497242984e-05,7.042999615428098e-05,0.08106964233238032,0.008076754920099977,0.11730476475536061,0.12601085114080046,0.026137863571012103,0.008213870781760231,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.00019124995561652178,2.440292856869164e-05,0.004343219113720438,1.3528555185193455e-05,2.0051674455670867e-06,0.0005659612300289347,0.00022692282797662087,1.7743246041519016e-05,0.13328938664873405,8.633405719527117e-06,1.1970705165484993e-06,0.0063583234702972585
0.025,0.0015962853938989996,0.00014776839899576018,0.0001070761298828734,0.09667848186688363,0.009758708128864698,0.12649330547945054,0.1259828599228472,0.026134554427740243,0.008213385301050272,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.00019210112184480082,2.6976977165104702e-05,0.00479510069283952,1.8804262995653336e-05,2.485191453288365e-06,0.0007018910227723255,0.0002865211572891985,2.2240700740338243e-05,0.1360455111727847,8.623347437780398e-06,1.1968028283051045e-06,0.006357390402577799
0.03,0.0022182755019161116,0.00020667963066327218,0.0001497444454269508,0.11041843538294935,0.011291497892629464,0.13084031464920196,0.125940903135477,0.02613103603290371,0.008212439509087835,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.00026669161225942664,3.119064477872251e-05,0.005535344900520593,2.745832227585678e-05,3.0956470272169015e-06,0.0008749863327455319,0.00034798529453226813,2.6834838633280795e-05,0.1378306941369429,8.611546552961664e-06,1.1965117559510872e-06,0.006356457988044402
0.035,0.0029100141931095447,0.00027278789481086714,0.00019761025747092417,0.12217497635590666,0.01266482300857463,0.13187883800510913,0.125885645358097,0.026127313681793947,0.008211036961530176,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.0003741473614528885,3.734266631992565e-05,0.006614816315688459,3.788521509372417e-05,3.849749150579402e-06,0.0010891525519328286,0.0004117062332934607,3.155707756201918e-05,0.13928145013597734,8.59811924516836e-06,1.1962031253312984e-06,0.00635555674411105
0.04,0.0036575617634809765,0.00034489816203622244,0.00024980207213390234,0.1317060511946478,0.013855714783400908,0.13051123889578678,0.12581786345099033,0.026123398418093052,0.00820918261421715,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.0005062241159272292,4.565517343699559e-05,0.008069828994362748,5.0182826294866475e-05,4.7580044347628826e-06,0.001347579684701388,0.00047809833715381695,3.6440770615699884e-05,0.14068148991878476,8.583161321895887e-06,1.195879938676845e-06,0.006354702020796415
0.045,0.0044457393959044245,0.00042168777115433843,0.00030535595084008646,0.13865884936256773,0.014829796620661388,0.12722146886445446,0.12573844745133922,0.026119307069568363,0.008206882848167531,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.0006671985619664169,5.63646567916589e-05,0.009938121818247382,6.44640423932627e-05,5.831019491970551e-06,0.0016535406491681066,0.0005476017590181996,4.152294095231256e-05,0.14217809116738495,8.56675302573248e-06,1.1955428085442463e-06,0.006353896322207889
0.05,0.005257804361955887,0.0005016860896763869,0.0003632011119055396,0.14266234978759607,0.01555696935949526,0.12235138364558472,0.12564840187453186,0.026115062332046732,0.008204145508845852,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.000862594216329813,6.981280716827424e-05,0.012274554551026159,8.085611119546454e-05,7.081694431367578e-06,0.002011020147381043,0.000620683485013995,4.684705034207891e-05,0.14386564562427398,8.548958816636588e-06,1.1951902886019513e-06,0.006353131075426518
0.055,0.0060759877374382265,0.0005833490994866567,0.000422214291049936,0.14353853327101754,0.01602992898425715,0.11628634359708195,0.12554884730587768,0.02611069290352213,0.008200979960150992,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.0010995725327672436,8.653852413853943e-05,0.015166606577057243,9.949886752398966e-05,8.526012515641668e-06,0.002424950624897684,0.0006978359138514531,5.246589887813415e-05,0.14582044343589767,8.52982452335439e-06,1.1948193192190295e-06,0.006352389009766523
0.06,0.006883093883256475,0.000665208853921774,0.00048132822301539516,0.14145300134915562,0.016271674942416763,0.10948990769052956,0.12544102213022246,0.026106233678828538,0.00819739715957009,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.001387484871115563,0.00010742484192709521,0.01875884706112069,0.00012054098251961442,1.0183289335213155e-05,0.002901298858795876,0.0007795711065633761,5.844544267278482e-05,0.14811831020816996,8.509376221524958e-06,1.1944258414700306e-06,0.0063516474283728626
0.065,0.00766452424549946,0.0007460368129940255,0.0005396499819346035,0.13698795591038865,0.016336335249195703,0.10248307270420924,0.12532628432633608,0.02610172599419767,0.008193409745674394,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.0017386627914927413,0.00013403164574117112,0.02330848573295384,0.00014413283923011416,1.2077499075063748e-05,0.0034474644571421114,0.0008664075446602694,6.487611346572706e-05,0.15085970012526825,8.48762143015766e-06,1.1940055653279837e-06,0.006350882301688579
0.07,0.008410436746556837,0.000825003939455234,0.0005965767252082273,0.1311042147966787,0.016301394071955102,0.09578188994881763,0.12520611314414465,0.026097217935282763,0.008189032147156003,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.0021695689501401716,0.00016956882160571934,0.02934858686946618,0.0001704136731162961,1.4241799859794526e-05,0.004073604078925244,0.0009588438904999967,7.191530273503956e-05,0.15424731109171377,8.464552500229072e-06,1.1935547873256872e-06,0.006350072628075324
0.075,0.00911625529093485,0.0009017047882508856,0.0006518128146659807,0.12458741767925385,0.01622723982172774,0.08967747335978489,0.12508211057878782,0.026092764704730133,0.008184280708817798,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.0027025060070990058,0.00022259522077436875,0.038309282034652094,0.0001994889453371567,1.6736828085543906e-05,0.004797936695768523,0.0010573101106590265,7.998346823009965e-05,0.15892411787839875,8.440151679527737e-06,1.1930709494758545e-06,0.006349203420615842
0.08,0.009779131866023083,0.0009759076011931128,0.0007051888027811903,0.11694050372140125,0.016105398411464036,0.08403145060363285,0.12495600231088666,0.02608842905410912,0.0081791738363394,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.00477822992606861,0.00032823910473568413,0.05606962885730193,0.00023139092578981345,1.9782448237187792e-05,0.0056848129426019575,0.001162078659176717,9.116028810824179e-05,0.16830884559630627,8.4143961053441e-06,1.1925528124373425e-06,0.006348266646429242
0.085,0.010376622540612668,0.0010462593305198657,0.0007557258425797362,0.0958714630186226,0.015452649222679568,0.07638371012121903,0.12482971308102009,0.02608428113088304,0.008173737969813882,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.015388262459101264,0.000835899235166899,0.13991071924243914,0.00031706506635789753,2.7465060999453087e-05,0.007915168236379309,0.0019727326604087794,0.00013703616918118994,0.23294019560985244,8.387261724516245e-06,1.1920003792361744e-06,0.006347260839145141
