s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,maximum_anchor_force,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.0,0,0.25,-2.1,0.20214036673420838,0.014073006574194467,0.002149075487186356,0.16414965477402294,1.0,0.15000000000000002,34700.56647265553,122.1296873533579,20.76259234487473,5.5646809053923745,0.0,0.0,0.0,0.019585636601135693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,3,0.25,-2.1,0.31511703907630434,0.014097578243880466,0.002148076265631133,0.164440360655417,0.9912431103368649,0.15500000000000003,34694.09474294632,122.28118711929046,20.76533841663189,5.555248732743461,-4.675456543524067e-07,-6.611600156247732e-12,-1.9074280848484704e-16,0.019601324640032048,-0.4079265483842991,-0.10707730119738099,-0.0007505884505853281,0.0,-7.571814781447328,-0.0017384487703596715,4.018645077114332
0.01,6,0.25,-2.1,0.45854676788059107,0.014142859751876544,0.002147115801266094,0.16497612129242764,0.9681270442155644,0.16000000000000003,34676.23933047622,122.41373837130016,20.749863881003893,5.547581815422837,-8.15015082857184e-07,-1.2944312288709625e-11,-4.0873458961038653e-16,0.01962717780152412,-1.743260597339286,-0.19263180237191613,-0.0013607023455124664,0.0,-15.497583104283823,-0.0034729032180056832,8.29606520925427
0.015,9,0.25,-2.1,0.5726757564463358,0.014209185748010222,0.0021461764461159416,0.16576096443555163,0.9357760194648213,0.16500000000000004,34646.96893681073,122.5270382632626,20.71783465598291,5.541668617843111,-2.5974265512215945e-05,-1.2498624357704102e-10,-7.765957202597344e-16,0.019661006032389402,-4.008154847286836,-0.2569994693693147,-0.0018312596576586175,0.0,-23.783305906172718,-0.005203009429314505,12.827343161475763
0.02,12,0.25,-2.1,0.6606532363087565,0.01429706749447557,0.0021452461868682626,0.166801041941252,0.8931775257497231,0.17000000000000004,34606.301304056826,122.62097054584949,20.670978526003253,5.537499005565016,-2.5792770641958237e-05,-1.2990852837901912e-10,1.0899589056276974e-16,0.019701296468908693,-7.20085507811978,-0.3005266412942744,-0.002163066860076399,0.0,-32.42912150090296,-0.006928411543715584,17.606212195072516
0.025,15,0.249595183690228,-1.3257760277140411,0.7276442622831923,0.014407203097089781,0.0019664739645430113,0.16810475496286906,0.8401944004465708,0.17500000000000004,34554.289737913336,122.69553111456489,20.61086623181025,5.535064220709534,-2.556654539078299e-05,-1.3463363757182378e-10,-2.6804080492600324e-16,0.01974732966275042,-11.316760806535251,-0.3235698557248256,-0.002356820901007769,1.8373787380304254e-11,-41.42998374299039,-0.008648750213049323,22.625421442207706
0.03,18,0.24897285322984988,-1.3261170073792037,0.7786561654084683,0.014540491881421199,0.0017463756316054401,0.16968292990098482,0.780073385002294,0.18000000000000005,34491.07326661401,122.75086208054533,20.538842665696617,5.534356862220654,-2.5341614118590863e-05,-1.3995204994898813e-10,-9.587264297377435e-16,0.01979843838670049,-16.344442042759148,-0.32649558345795077,-0.0024131120366868005,1.3540311710051855e-09,-50.77648587677077,-0.01036366084093884,27.87714705898994
0.035,21,0.24894318530138668,-1.3265191477526599,0.8177501485888338,0.01469805336657819,0.0015449256982370723,0.17154905081958122,0.714285307570293,0.18500000000000005,34416.84651233692,122.78718421982312,20.456037726253133,5.535370802951564,-2.519206912967619e-05,-1.4488676924884203e-10,-1.3887147169853477e-15,0.01985280374119691,-22.268034947334005,-0.30968011721706984,-0.0023324285054936457,4.662501330255697e-09,-60.45586635418401,-0.012072771537157478,33.35344644529023
0.04,24,0.24950951501892174,-1.3269818418893207,0.8479882953681273,0.014881251770074802,0.001347889431915813,0.17371955986357665,0.6440992273983183,0.19000000000000006,34331.86972974838,122.80479132508948,20.36339265173814,5.538101081752755,-5.0945439178153616e-05,-4.2384584730825736e-10,2.962341400549222e-17,0.019908280534208983,-29.06644129305024,-0.27350922061809174,-0.0021151613980446857,6.238666526334682e-09,-70.45296123819348,-0.013775700687970415,39.046706284735244
0.045,27,0.25,-2.1,0.8716223357130509,0.01509172689635874,0.0011829572714796024,0.1762142364397242,0.5705702828754886,0.19500000000000006,34236.396376710036,122.80392866353723,20.261695029342917,5.542543924821166,-5.0733178004383216e-05,-4.2740566641441546e-10,-1.4009003851202874e-15,0.01996149379949893,-36.71910064208049,-0.2183779232842841,-0.0017616112194654991,6.277946997567723e-09,-80.75078160593414,-0.01547205402409676,44.94986570816735
0.05,30,0.25,-2.1,0.8903065551316405,0.01533143285713549,0.0010450023319952344,0.179056673220155,0.49454968431717994,0.20000000000000007,34130.65264040776,122.78476926991196,20.15161239368034,5.548696622039451,-5.052201714465123e-05,-4.305675815885479e-10,-1.7578619267133583e-15,0.02000773213935887,-45.207607520087315,-0.14469022883749547,-0.0012719951316465259,6.277946997567723e-09,-91.33164424357712,-0.017161421061476945,51.05631866564179
0.055,33,0.25,-2.1,0.90526021991632,0.015602686397056175,0.0009295091596654287,0.18227487121985317,0.41670823891510594,0.20500000000000007,34014.88598512664,122.74750433052446,20.033718675111505,5.556557393673121,-4.842968992821963e-05,-4.3159786855540005e-10,-1.7333416765709316e-16,0.020042418061512867,-54.51185689111397,-0.05285874091583383,-0.0006464548006390618,6.277946997567723e-09,-102.17841293120762,-0.01884337072235925,57.35995090431621
0.06,36,0.25,-2.1,0.917391905641608,0.015908227042662725,0.0008326700278443637,0.18590198192679375,0.33756614570779175,0.21000000000000008,33889.328060940956,122.69233536139386,19.908513089125204,5.566125289550092,-4.8253895288772744e-05,-4.324789415477426e-10,-8.95091330477434e-16,0.020062918329987512,-64.6129933645597,0.05669557928639497,0.00011493416126524811,6.277946997567723e-09,-113.27613742864337,-0.020517445927174558,63.85525344838521
0.065,39,0.25,-2.1,0.9273719071635831,0.016251292319704166,0.000751251143723617,0.18997723729395172,0.25752359522851354,0.21499999999999997,33754.198563807644,122.61949898221101,19.77643563361068,5.577400072285883,-5.635264626340885e-05,6.548262376782077e-09,-7.523748362718074e-16,0.020067349395186385,-75.49310472249853,0.183543868558944,0.001012152863609397,6.277946997567723e-09,-124.61349920638595,-0.022183156862011767,70.53747655606946
0.07,42,0.25,-2.1,0.935689486053888,0.016635711942065583,0.0006824923916862116,0.19454711713354716,0.17689015598593436,0.22000000000000008,33609.68562709729,122.52922861641696,19.63787795177646,5.590382088669123,-5.697621828051556e-05,6.550408215844072e-09,-1.2292318574839251e-15,0.020057090301298795,-87.1367846061337,0.3272496927272209,0.002045228902955705,6.277946997567723e-09,-136.18247497858766,-0.023839972535261704,77.40271632956716
0.075,45,0.25,-2.1,0.9427045111332891,0.017066026529158174,0.0006240682849004981,0.19966682440765277,0.09591748061823092,0.22499999999999998,33455.95906020194,122.4217437870853,19.493196551344937,5.605072136899736,-5.7875308859734775e-05,6.552326681230625e-09,-9.83991103717693e-16,0.020036789522205736,-99.53007579504293,0.48736945021200706,0.0032142257980358954,6.277946997567723e-09,-147.9757562604191,-0.02548731012955958,84.44766694742998
0.08,54,0.25,-2.1,0.9486850147682764,0.017547638219181778,0.0005740485319838904,0.20540216235503422,0.014923450806225756,0.22999999999999998,33293.20264389616,122.29727003698908,19.342728636124814,5.6214713298245265,-7.195274426625754e-05,6.552411946358916e-09,-3.572685582159635e-17,0.020011450812394735,-112.65790212355452,0.6634528114769582,0.00451923210638483,6.277946997567723e-09,-159.98479349944287,-0.02712452144733148,91.66967489588923
0.085,101,0.25,-2.1,0.9538320507943783,0.018087003099700565,0.0005308568059096836,0.21183194061304012,0.06077196461356426,0.235,33121.633531207124,122.15632580314018,19.1941664748808,5.639554462715972,0.003753908326468493,6.5540746163605945e-09,-7.224009663670457e-16,0.019985495921510568,-126.50256615363276,0.85477620602958,0.005958242099515509,6.277946997567723e-09,-172.19887184651424,-0.028750875526128823,99.06664160533906
0.09,104,0.25,-2.1,0.9583019358574475,0.01869187950001231,0.0004932268907612612,0.21905109084455424,0.1250048882208259,0.24,32941.455321222464,121.9987945176234,19.04088118304993,5.659203097744932,0.003771481211998819,7.008921443230065e-09,-1.39276777090424e-17,0.019963164913576394,-141.0456052844469,1.0596875601835316,0.007521830794449235,6.277946997567723e-09,-184.60760372552832,-0.030365536122862424,106.63683287791864
0.095,107,0.25,-2.1,0.9622173390400827,0.019371651299467104,0.000460148769663028,0.2271747397870741,0.1780035608693715,0.245,32752.85259080699,121.82485811274167,18.881393700335902,5.680278238853173,0.0037704774037771367,7.01172098160896e-09,-9.83991103717693e-16,0.019946357147393883,-156.2708137229348,1.2763676654268714,0.009198937236317171,6.277946997567723e-09,-197.20453329579718,-0.03196753223358007,114.37866063952714
