s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,maximum_anchor_force,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.0,0,0.25,-2.1,0.20214036673420838,0.014073006574194467,0.002149075487186356,0.16414965477402294,1.0,0.15000000000000002,34700.56647265553,122.1296873533579,20.76259234487473,5.5646809053923745,0.0,0.0,0.0,0.01958563573988936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,10,0.25,-2.1,0.31511760727678556,0.014097845078954804,0.0021480734534912445,0.1644435176439632,0.9912431869123264,0.15500000000000003,34695.437836032885,122.29056445284827,20.765339991969928,5.5646809053923745,-2.1720191842548047e-09,-2.930988785010413e-14,0.0,0.019601323915057575,-0.40812393473557335,0.0,0.0,0.0,-7.5192099346823165,-0.0017384475671753483,4.018644916013677
0.01,20,0.25,-2.1,0.458547747807277,0.014143932380145859,0.0021471060823485834,0.16498881298603235,0.9681273294054361,0.16000000000000003,34678.65056233323,122.43062014348759,20.749870171774226,5.5646809053923745,-3.5956799084294776e-09,-5.861977570020827e-14,0.0,0.019627177211141784,-1.7440127297908394,0.0,0.0,0.0,-15.39712304104858,-0.003472893588209581,8.296064903645613
0.015,30,0.25,-2.1,0.5726770033196009,0.014211617077459618,0.00214615600885242,0.16578973664333352,0.935776635705915,0.16500000000000004,34650.17831585525,122.54956801914209,20.71784879198385,5.5646809053923745,-3.5783298553729835e-09,-8.704148513061227e-14,0.0,0.019661005561311496,-4.009762113742371,0.0,0.0,0.0,-23.639510840631967,-0.005202976889535147,12.827342730115058
0.02,40,0.25,-2.1,0.6606546454171359,0.014301432774791649,0.002145211447095256,0.16685270972147748,0.8931775337288071,0.17000000000000004,34610.04397881318,122.64730896157616,20.671003623178716,5.5646809053923745,-2.5214666363491907e-09,-1.1368683772161603e-13,0.0,0.019701296084892787,-7.203551177807531,0.0,0.0,0.0,-32.2462823479602,-0.006928334254136518,17.606211655868027
0.025,50,0.25,-2.1,0.7276457624673857,0.014414108993322844,0.001966466963315854,0.1681865121404114,0.8401944949751646,0.17500000000000004,34558.306171991164,122.723856706384,20.610905387335528,5.5646809053923745,-1.422894090678811e-09,-1.4566126083082054e-13,0.0,0.019747329316909153,-11.320715028123233,0.0,0.0,0.0,-41.21216177878721,-0.008648598808848315,22.62542080594183
0.03,60,0.25,-2.1,0.7786577077128872,0.014550586527420606,0.0017463675450952963,0.16980247060646614,0.7800736437716377,0.18000000000000005,34495.10941012478,122.77937192874278,20.538898968466075,5.5646809053923745,-3.453715289676131e-10,-1.7408297026122455e-13,0.0,0.019798438016541176,-16.349753547427355,0.0,0.0,0.0,-50.52751201099821,-0.010363398176018408,27.87714632388451
0.035,70,0.25,-2.1,0.8177516947029065,0.014712037748066707,0.00154492512429506,0.1717147073593359,0.714285823482517,0.18500000000000005,34420.65397138133,122.81409471712963,20.45611424318719,5.5646809053923745,4.2430338822494767e-10,-1.8474111129762605e-13,0.0,0.019852803278519952,-22.274729105536267,0.0,0.0,0.0,-60.179340048343875,-0.012072352318211382,33.35344559317632
0.04,80,0.25,-2.1,0.8479898099959673,0.01489989286021087,0.0013478882982820596,0.17394046214240236,0.6441001018780735,0.19000000000000006,34335.2059311743,122.82833893818692,20.363492367943667,5.5646809053923745,1.0853130647883499e-09,-2.2737367544323206e-13,0.0,0.01990827991545476,-29.07446809382096,0.0,0.0,0.0,-70.15224908458792,-0.013775070969278823,39.04670528102435
0.045,90,0.25,-2.1,0.8716237825906622,0.015115873066487243,0.0011829554427424246,0.17650049940985424,0.5705716197117525,0.19500000000000006,34239.02473011652,122.82237071673823,20.261820891588293,5.5646809053923745,2.0894620344806398e-09,-2.4158453015843406e-13,0.0,0.019961492975728697,-36.72832488433125,0.0,0.0,0.0,-80.4290156684384,-0.015471150523861615,44.94986449196809
