s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,minimum_rest_dec_margin,maximum_relaxation_strain,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,heat_relaxation_integral,entropy_relaxation_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.0,0,0.2500000000000001,-2.1,0.20214036673420838,0.09980578861122105,0.0021490754871863658,0.1641496547740229,1.0,0.15000000000000002,0.0065260085930964815,0.0,34644.92092054466,122.01065615881365,5.17749346533699,21.06751639378555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,40,0.2500000009826989,-2.1,0.20356004766855915,0.09992773850848015,0.0021481069470542244,0.16437408770115472,0.9979144881575621,0.15500000000000003,0.00631734754495631,0.02226080561106958,34635.46416749379,122.14274518300141,5.179831340476968,21.05810719881995,1.1821153670820816e-10,-1.780797731498751e-13,-1.452918414440702e-15,-0.6454682140523738,-0.10707628278028097,-0.0007496234484855284,0.0,8.635038404608599e-07,9.916430661339516e-07,-6.361804476940286,-0.0014274746464343715,3.8776669035532985
0.01,80,0.25000001117592124,-2.1,0.2303840326538878,0.10010820018120943,0.002147281616588676,0.1647098544865669,0.9921584163505828,0.16000000000000003,0.00609166245037078,0.02990598393002042,34616.038840566005,122.26238656944665,5.180776577951803,21.050510077090394,1.4637328453482944e-10,-1.8829382497642655e-13,-2.8306839494557757e-15,-2.1057328021600705,-0.19263009554103538,-0.0013567683563452592,0.0,3.4486734354031864e-06,4.176072917536268e-06,-13.018248664130592,-0.0028498925341629852,8.022312447111977
0.015,120,0.2500000508062784,-2.1,0.2508839106401347,0.10034673309488269,0.0021466020331618414,0.1651579512742316,0.9836339620688452,0.16500000000000004,0.005858224619759024,0.03229415643980715,34586.92904909263,122.3697777351709,5.180353250308023,21.04470073473987,2.051780219346074e-08,-1.0658141036401503e-13,4.8132755578598125e-15,-4.357849090614968,-0.2569974113885185,-0.0018223177326795288,0.0,6.705274169560093e-06,8.385497513461476e-06,-19.956405494216487,-0.004266384731714962,12.4376949439148
0.02,160,0.25000015584834595,-2.1,0.26446352938274437,0.10064306942184768,0.002146075863458746,0.16571974335362263,0.9733375244968436,0.17000000000000004,0.005627501384191436,0.032608042057089115,34548.27702544444,122.4649314798633,5.178599932318921,21.040662439054408,2.0580847509283342e-08,-1.1723955140041653e-13,-2.1217795735352924e-15,-7.390152412313652,-0.3005244017513472,-0.002147058352632894,0.0,1.0088534119428628e-05,1.2876851274745832e-05,-27.16328376351135,-0.0056760866795342755,17.12576848198584
0.025,199,0.25000038196042224,-2.1,0.27156817039020603,0.10099711222601228,0.002145715824751218,0.16639697595616784,0.9622229930360406,0.17500000000000004,0.005407082214701486,0.03195214466291585,34500.03599443738,122.5476629545736,5.1755606847317726,21.038383770500808,2.0572157136133707e-08,-1.6342482922482304e-13,-5.5824203871631075e-15,-11.206008803823043,-0.32356728255292966,-0.0023316827724627997,0.0,1.3382271962718701e-05,1.730926694544176e-05,-34.63035808798195,-0.00707813622347403,22.08557584250283
0.03,238,0.2500008082719862,-2.1,0.2734692058417369,0.10140893510321038,0.002145541397158499,0.1671917885267028,0.9510939769257845,0.18000000000000005,0.005200466449953735,0.030794699941325554,34442.14510451257,122.61785888527535,5.171275752359279,21.037856203259107,2.0515231634377705e-08,-1.7053025658242404e-13,-4.7382131535386545e-15,-15.809894665130178,-0.32649206700227945,-0.002376791577836003,0.0,1.6508610170941017e-05,2.154179434392925e-05,-42.35423391344367,-0.008471671553836668,27.31256033663688
0.035,277,0.25000154106072275,-2.1,0.2718888016544206,0.10187878260887205,0.0021455759951005153,0.16810673143422278,0.940540241730258,0.18500000000000005,0.005008082320152561,0.02942753712073376,34374.54351846459,122.67546891108233,5.165774529583177,21.039073228309125,2.057831531675379e-08,-1.7053025658242404e-13,1.65358687409252e-15,-21.206275553279486,-0.30967446905224727,-0.0022828968545593005,0.0,1.9461663182329747e-05,2.5549101349983712e-05,-50.33464579425186,-0.009855829028701269,32.798541677963456
0.04,316,0.2500027173572067,-2.1,0.2686573765666981,0.10240707256555513,0.0021458501401231543,0.16914478734883812,0.9309225931779,0.19000000000000006,0.004828557716202504,0.028404202485428742,34297.18707006204,122.72045968340473,5.159072510393607,21.04202989397423,2.706519963982716e-08,-3.126388037344441e-13,-1.6867539829786129e-15,-27.398281027762152,-0.27349956673519393,-0.0020504252749606244,0.0,2.2274061419595837e-05,2.937312913746181e-05,-58.57196191875156,-0.011229740835996831,38.53197267330939
0.045,355,0.2500045085160693,-2.1,0.26546580776180784,0.10299439920199796,0.0021463999095304026,0.17030939561458916,0.9223889542659883,0.19500000000000006,0.00465964676846059,0.03469926725924566,34210.126782681065,122.75289531170215,5.151172797653011,21.04672249345675,2.7028586089056164e-08,-3.126388037344441e-13,-2.736648383520542e-15,-34.38145652837769,-0.21836160795834697,-0.0016797223284436944,0.0,2.4996316699367105e-05,3.309109709109371e-05,-67.06492315162194,-0.012592532446535304,44.49851933587549
0.05,394,0.25000712379312334,-2.1,0.2636034780843683,0.1036415378240841,0.002145299523545136,0.17160448117048954,0.9149161449472724,0.20000000000000007,0.004499039434637524,0.04159032400907159,34113.52985563875,122.77294273151149,5.1420690519885595,21.05314834622559,2.699619006887296e-08,-3.410605131648481e-13,-3.3441727438487304e-15,-42.14209362398273,-0.14466372548688422,-0.0011710567338385715,0.0,2.7683837965430744e-05,3.679434460832027e-05,-75.80861479981343,-0.013943319829463102,50.68284988861101
0.055,432,0.2500108139703526,-2.1,0.26392844246258335,0.10434945108167598,0.002140787551286783,0.173034488470956,0.9083627980332457,0.20500000000000007,0.004344731388796826,0.04907617204217729,34007.61629712846,122.78077748521454,5.131748825328665,21.061305636827527,2.7046865920657515e-08,-3.197442310920451e-13,3.3588616431628535e-16,-50.66227297430297,-0.052817563853375875,-0.0005246250013752441,0.0,3.038866626929316e-05,4.057430050840236e-05,-84.7944152924702,-0.015281206361970655,57.06971119696327
0.06,470,0.25001587507207435,-2.1,0.266932812552944,0.10511929624586025,0.002136568913283117,0.17460441967725207,0.9025151082126773,0.21000000000000008,0.004195048501402759,0.057156753964381135,33892.643180922736,122.77657795479874,5.120199141829276,21.07119330433621,2.708772691048867e-08,-3.410605131648481e-13,-5.564495672347902e-15,-59.92111738863003,0.05675696706094226,0.0002594429999743047,0.0,3.3156244748163006e-05,4.451547743920609e-05,-94.01125922641174,-0.01660527939558559,63.64489703074553
