s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,minimum_rest_dec_margin,maximum_relaxation_strain,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,heat_relaxation_integral,entropy_relaxation_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.0,0,0.24999999999999967,-2.1,0.20214036673420838,0.09980578861122111,0.002149075487186356,0.16414965477402294,1.0,0.15000000000000002,0.006687171643391138,0.0,34684.6167643298,122.12968735335787,0.0,26.30271505087351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,40,0.2500000015229402,-2.1,0.19657604239257814,0.09996461826815309,0.0021482618003729756,0.16444184023934932,0.997690402313637,0.15500000000000003,0.00653194996242891,0.019144728011691647,34673.99724204715,122.2528164507839,0.0,26.29330384410641,8.781894819026054e-11,-1.4033219031261979e-13,-4.990863552257817e-15,-0.7379974622360136,-0.10707727005001966,-0.0007495339779456713,0.0,6.139392242231545e-07,5.6206080854433e-07,-6.005238933697668,-0.0017376029993028815,4.018384049197715
0.01,80,0.2500000222669347,-2.1,0.19125189474758336,0.10025542471539196,0.0021479782132161913,0.16498187482486482,0.9916770721348191,0.16000000000000003,0.006368770801309917,0.02148684498260156,34653.419877859145,122.36552291473124,0.0,26.28569862173777,1.1185245486263881e-10,-1.5631940186722204e-13,-8.669590613664369e-16,-2.289937744130847,-0.1926316013193881,-0.001356456049383755,0.0,2.3316440208464005e-06,2.1613387475781686e-06,-12.303281582141377,-0.0034693647075784337,8.295689798418527
0.015,120,0.2500001191486433,-2.1,0.18614521843470647,0.10067780559158108,0.0021482017968117253,0.16577330980597885,0.9831529488268832,0.16500000000000004,0.006204283332868904,0.019192755440868403,34623.04606261016,122.46786049173623,0.0,26.279878262591534,8.097377606359772e-09,-1.0480505352461478e-13,-5.436361636157021e-15,-4.642641817762518,-0.2569989470407535,-0.0018216486432249108,0.0,4.354773515486087e-06,4.004160139206044e-06,-18.884410652377024,-0.005193854535103957,12.827052340150297
0.02,160,0.2500004098625073,-2.1,0.1812353449910627,0.10123216715746818,0.002148911195958392,0.1668214932612992,0.9730568623167936,0.17000000000000004,0.006045730326066583,0.01618284104212986,34583.023128414025,122.55987738586629,0.0,26.275829089872076,8.126984726891968e-09,-1.1723955140041653e-13,1.5933304545148014e-15,-7.784038913736195,-0.3005257582479053,-0.002145892670123561,0.0,6.375873546233324e-06,5.771380857017848e-06,-25.73805213397471,-0.0069096291800041735,17.606216683715335
0.025,199,0.25000109388783825,-2.1,0.17650372323014477,0.10191972506406762,0.0021500865378468394,0.16813365318757326,0.962089464806425,0.17500000000000004,0.005899110451847614,0.02320152523001351,34533.47104413,122.6415849454351,0.0,26.2735417401191,8.096199404381145e-09,-1.1013412404281553e-13,-3.752353838702353e-15,-11.70422545386057,-0.32356879527547844,-0.0023298696439813023,0.0,8.331337521509546e-06,7.413515408135106e-06,-32.85328139361393,-0.008615218618868735,22.625767550766298
0.03,238,0.25000247314325713,-2.1,0.17193197316561284,0.10274251558015084,0.0021500989812582257,0.16971901073843085,0.9507275548204441,0.18000000000000005,0.0057681792119059425,0.0320898485519403,34474.54109840845,122.71304095654395,0.0,26.273008891216623,8.070158280601314e-09,-1.2079226507921703e-13,-1.2599882372536432e-15,-16.390795477807043,-0.3264948501878174,-0.0023741639917441446,0.0,1.0222916908959704e-05,8.9572005004168e-06,-40.21891901880428,-0.010309111241016439,27.877482129625033
0.035,277,0.2500049726425544,-2.1,0.16750125426353074,0.10370341660210304,0.0021492550112958693,0.17158892499924178,0.9392239809142555,0.18500000000000005,0.005654562244643703,0.042378327449522635,34406.39316905009,122.77431214829905,0.0,26.274224587295606,8.119376290550413e-09,-1.4210854715202004e-13,-5.946875396232369e-15,-21.830649611335726,-0.30968062609342245,-0.002279266543110588,0.0,1.2067488409653678e-05,1.0446564398122306e-05,-47.82375234639098,-0.011989737754063465,33.352785891756746
0.04,316,0.2500091615213572,-2.1,0.16319300140300724,0.10480617963616144,0.00214897670123933,0.1737570746834749,0.9276164002933374,0.19000000000000006,0.005557929044974472,0.05406872205737345,34329.2140274112,122.82549461136003,0.0,26.277184046147504,1.4016034437932667e-09,-2.2737367544323206e-13,-4.923101690557728e-15,-28.00853880529159,-0.27351237931199396,-0.002045577583101844,0.0,1.3884780978894154e-05,1.1929765642215645e-05,-55.65697281976222,-0.013655453419725828,39.04327761385438
0.045,355,0.2500157748274676,-2.1,0.15898965673757234,0.10605547184117355,0.0021492415700322793,0.17623967892938924,0.9157425601021517,0.19500000000000006,0.005476158478637035,0.06716720812365562,34243.153555829034,122.86661450879089,0.0,26.281883567018944,1.3807592440754674e-09,-2.5579538487363607e-13,3.921340045594397e-15,-34.91214020384351,-0.21838570931950485,-0.001673411003923557,0.0,1.5694190226603674e-05,1.3456433850398896e-05,-63.7086152885198,-0.015304518117533984,44.941101020806364
