s,x_maximum_difference,x_rms_difference,x_relative_rms_difference,velocity_maximum_difference,velocity_rms_difference,velocity_relative_rms_difference,heat_maximum_difference,heat_rms_difference,heat_relative_rms_difference,charge_maximum_difference,charge_rms_difference,charge_relative_rms_difference,density_maximum_difference,density_rms_difference,density_relative_rms_difference,radial_maximum_difference,radial_rms_difference,radial_relative_rms_difference,current_maximum_difference,current_rms_difference,current_relative_rms_difference,angular_maximum_difference,angular_rms_difference,angular_relative_rms_difference
0.0,4.440892098500626e-16,8.805125543753056e-17,6.382312678693128e-17,0.0012000337381585513,0.0002344245404477356,0.004346132367717174,0.5087597846927068,0.09308387438772728,0.023125329860584753,0.0,0.0,0.0,0.00016682623559217437,3.799537075216984e-05,0.006781614380897946,2.9691258164260895e-06,5.095674239729472e-07,0.00015125398527628443,2.2689922836741593e-05,2.914118343578808e-06,0.05051104590946632,0.0,0.0,0.0
0.005,7.194233688168072e-05,1.0415609393767012e-05,7.5495729410953815e-06,0.023758493179548618,0.0035578218307647114,0.069632894675741,0.508760516524613,0.09307416666637278,0.02312758186425435,0.0,0.0,0.0,0.00016705164945749265,3.7856318752701213e-05,0.006755321402650251,7.290850599725278e-06,1.04878825746497e-06,0.00031128422153312116,5.703498624517998e-05,7.514188547936671e-06,0.122826717372927,0.0,0.0,0.0
0.01,0.0002591263171094482,3.827066801853483e-05,2.7738898127138355e-05,0.03960651961300643,0.006231709931918124,0.121708512312782,0.5087627675882178,0.0930648799329093,0.023129050944725567,0.0,0.0,0.0,0.0001670522094217872,3.7675353761263204e-05,0.006719857039107685,9.911791808558425e-06,1.501221862786834e-06,0.00044561510674703093,0.00011430253102581961,1.3554149427289818e-05,0.17201058742863493,0.0,0.0,0.0
0.015,0.0005199160832747296,7.824471464493674e-05,5.670924149711417e-05,0.04892882584640157,0.008075560418950528,0.14923411148210952,0.5087661137900907,0.09305566859861321,0.023129663323150945,0.0,0.0,0.0,0.00016682661938150455,3.754756775237683e-05,0.006692222628687575,1.113401350487115e-05,1.8949931092740024e-06,0.0005626581218714688,0.00017188837766428676,1.9666992246366988e-05,0.18975133356202775,0.0,0.0,0.0
0.02,0.0008163848819308095,0.00012505480263075498,9.062854600832945e-05,0.05227716618112564,0.009109656210383442,0.15356141888219135,0.5087700211946569,0.09304629252957264,0.023129367494687914,0.0,0.0,0.0,0.00016637311971458464,3.761529069970737e-05,0.006697765498405069,1.229212605025759e-05,2.355976608616207e-06,0.000699848369650333,0.00022987769742050757,2.5790127495714234e-05,0.19568084978037936,0.0,0.0,0.0
0.025,0.0011161668792498691,0.00017388086616387487,0.00012600052390240936,0.05053506837515531,0.00944415727076267,0.142605968327708,0.5087740194651307,0.09303660799617647,0.023128133787282866,0.0,0.0,0.0,0.00016568948110289635,3.806293403256751e-05,0.006769170461425267,1.9872009156283142e-05,3.024387218276377e-06,0.0008989584177242145,0.0002883541395606603,3.195057782931126e-05,0.19764634950652016,0.0,0.0,0.0
0.03,0.0013941826476295827,0.00022077763465919178,0.0001599637739395169,0.044957328112469594,0.00928345348635137,0.12493750373898097,0.508777697384847,0.09302653004682693,0.023125945942643698,0.0,0.0,0.0,0.0001647729996774065,3.9105643440622844e-05,0.006944327657150298,2.9146250712046903e-05,3.982820376930474e-06,0.0011847726055715035,0.0003473987257284352,3.818284482319145e-05,0.19829175892743536,0.0,0.0,0.0
0.035,0.0016341430959646575,0.0002629971983614426,0.0001905257967760249,0.04508926265084213,0.008901144660156075,0.10701104241325368,0.5087807183819768,0.09301601134164143,0.023122796108908637,0.0,0.0,0.0,0.00018328905426320471,4.097017735111309e-05,0.007262812523012628,4.0116794868480694e-05,5.242827492892143e-06,0.0015610782572999262,0.00040708851274270463,4.451081256609871e-05,0.1985218411678959,0.0,0.0,0.0
0.04,0.0018290426467822973,0.00029912429506473654,0.00021666090554583176,0.05112934816400247,0.008589709481439726,0.0927741621257171,0.5087828344134486,0.09300502731646966,0.023118681230696304,0.0,0.0,0.0,0.0002430303992918808,4.387032529952357e-05,0.007761416848458772,5.278389684457369e-05,6.784290483943349e-06,0.002022325972091025,0.0004674949457052611,5.09451080473912e-05,0.19863716539682658,0.0,0.0,0.0
0.045,0.0019810597001015395,0.00032909212837796013,0.00023832120739853492,0.057004158935433806,0.008571199244916103,0.08374483612276598,0.5087838918890455,0.0929935692657329,0.023113601376270713,0.0,0.0,0.0,0.00031285265705168624,4.798428247906216e-05,0.00847007168171769,6.714532597130876e-05,8.586257020394558e-06,0.0025627790484181617,0.0005286817919136269,5.748636994218827e-05,0.19872132065831283,0.0,0.0,0.0
