s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,minimum_rest_dec_margin,maximum_relaxation_strain,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,heat_relaxation_integral,entropy_relaxation_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.0,0,0.2500000000000001,-2.1,0.20214036673420838,0.09980578861122105,0.0021490754871863658,0.1641496547740229,1.0,0.15000000000000002,0.0065260085930964815,0.0,34644.92092054466,122.01065615881365,5.17749346533699,21.06751639378555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,40,0.2500000010218969,-2.1,0.20355977932978045,0.09993072326349353,0.002148106488470841,0.164379570841595,0.9979145163175454,0.15500000000000003,0.006317350247866886,0.022260794539112894,34636.80725160347,122.15212315699544,5.17983171380557,21.067527246515496,1.379145058534589e-10,-1.8118839761882555e-13,-8.141053680571891e-15,-0.6456652593115605,0.0,0.0,0.0,8.63632809248756e-07,9.917049960604749e-07,-6.309195111076357,-0.0014274620019631026,3.8776665766249896
0.01,80,0.2500000119299293,-2.1,0.23038352170607118,0.10012010850631647,0.002147280109223908,0.16473185349161415,0.9921585232780652,0.16000000000000003,0.006091667681345642,0.029905952764906374,34618.45008570256,122.27927048405411,5.180778068868841,21.06755974900012,1.601294378909755e-10,-2.007283228522283e-13,-7.381113362632283e-15,-2.106482106457416,0.0,0.0,0.0,3.450098354483906e-06,4.17671656464679e-06,-12.917771776043454,-0.0028497917339052425,8.022311824227199
0.015,120,0.25000005525501917,-2.1,0.25088319026404743,0.1003734857682397,0.0021465988997673986,0.1652076578268684,0.9836341898598135,0.16500000000000004,0.005858232077470979,0.03229410602410798,34590.13852157103,122.39231215238057,5.180356598323497,21.06760071646258,2.0560532768003543e-08,-9.769962616701378e-14,-4.28478386231957e-15,-4.359444797179068,0.0,0.0,0.0,6.710185432309413e-06,8.387606339927192e-06,-19.812566198364948,-0.0042660455492116315,12.437694051579895
0.02,160,0.25000017187511425,-2.1,0.2644626354884015,0.10069060615965453,0.0021460705454831677,0.16580858893961617,0.9733379072365747,0.17000000000000004,0.005627510672538978,0.0326079764897802,34552.019955701915,122.49127820364886,5.178605870663938,21.067643303282644,2.0566102196421163e-08,-9.947598300641403e-14,1.9009990303660572e-15,-7.392823888001621,0.0,0.0,0.0,1.0099136893719487e-05,1.288122822709115e-05,-26.980350928449482,-0.005675284669611493,17.125767334240926
0.025,199,0.250000425826488,-2.1,0.27156713651605363,0.10107142854017427,0.002145707788829395,0.16653671578267834,0.96222355791341,0.17500000000000004,0.005407092889454464,0.03195206851667365,34504.05295028219,122.57600169797333,5.1755699388695815,21.06768478356055,2.0574785593833804e-08,-8.526512829121202e-14,4.238492541220206e-16,-11.209916896934573,0.0,0.0,0.0,1.3400032528664973e-05,1.7316443562863117e-05,-34.412364196884305,-0.007076572792988838,22.08557443440324
0.03,238,0.25000090894622634,-2.1,0.27346805983903133,0.10151611944967597,0.002145530142016659,0.16739458958477665,0.9510947457819521,0.18000000000000005,0.005200478058172378,0.030794617109560996,34446.1821616289,122.64638795394417,5.1712890385447885,21.067724164427368,2.050520680274073e-08,-5.3290705182007514e-14,5.137623485323555e-15,-15.815127934327512,0.0,0.0,0.0,1.6533862336833572e-05,2.15521121264115e-05,-42.10497438697159,-0.008468973577870707,27.31255864086965
0.035,277,0.25000174539601355,-2.1,0.2718875646269111,0.1020250542406176,0.0021455610586067373,0.1683852658603502,0.940541232743505,0.18500000000000005,0.005008094423425535,0.029427450480162598,34378.352430287414,122.70240591199124,5.165792553505826,21.06776135542338,2.0580812630598364e-08,-3.552713678800501e-14,3.63067014525376e-15,-21.212846450130424,0.0,0.0,0.0,1.9493427763905574e-05,2.5562984995582484e-05,-50.057677872294875,-0.009851547970906727,32.79853964494247
0.04,316,0.2500030961178288,-2.1,0.26865606407922904,0.10259882051886098,0.0021458311061998744,0.16951233235460478,0.930923822402229,0.19000000000000006,0.004828569897957331,0.030474739775748994,34300.52543336575,122.74404224656982,5.159095965856358,21.067796749176853,2.7062064743621148e-08,-1.7763568394002505e-13,2.658563046297058e-15,-27.40612208368596,0.0,0.0,0.0,2.230997317399446e-05,2.9391497840211574e-05,-58.270603260035685,-0.011223351318541639,38.531970234161136
0.045,355,0.25000516327340083,-2.1,0.26546443285375554,0.10323822286576267,0.0021463764147015055,0.17077994139248762,0.9223904367929051,0.19500000000000006,0.00465965863077436,0.037316220035006564,34212.758199592114,122.77138183175302,5.151202365211962,21.067830962781855,2.703978702995067e-08,-2.0605739337042905e-13,1.1026041319937687e-15,-34.39041663197248,0.0,0.0,0.0,2.5032605352716085e-05,3.3115887222779115e-05,-66.74225019161733,-0.012583430200655036,44.49851640724282
