s,x_maximum_difference,x_rms_difference,x_relative_rms_difference,velocity_maximum_difference,velocity_rms_difference,velocity_relative_rms_difference,heat_maximum_difference,heat_rms_difference,heat_relative_rms_difference,charge_maximum_difference,charge_rms_difference,charge_relative_rms_difference,density_maximum_difference,density_rms_difference,density_relative_rms_difference,radial_maximum_difference,radial_rms_difference,radial_relative_rms_difference,current_maximum_difference,current_rms_difference,current_relative_rms_difference,angular_maximum_difference,angular_rms_difference,angular_relative_rms_difference
0.0,4.440892098500626e-16,9.621221172337121e-17,6.973851941984318e-17,0.00043046789625658666,6.044185877572964e-05,0.0011209417903641535,0.12817733429493483,0.028415596778275307,0.007047586060834198,0.0,0.0,0.0,0.00018906811797569575,2.2244689821608525e-05,0.003969418704423926,8.670311304964998e-07,1.3560572286590654e-07,4.025134960323791e-05,5.891703579283811e-06,7.290656785983568e-07,0.012620043313584826,0.0,0.0,0.0
0.005,6.808212729192409e-05,5.475880940682519e-06,3.969097071828768e-06,0.02171914507360892,0.0018227084410571686,0.03624268103461172,0.1281774452577169,0.028413262845494277,0.0070484260298147436,0.0,0.0,0.0,0.00018943190977974839,2.2277930145976406e-05,0.0039744632766643365,5.824019757595493e-06,4.821540574536834e-07,0.00014309885277823112,5.5554887896383076e-05,4.438224724114595e-06,0.07190699668551774,0.0,0.0,0.0
0.01,0.00026372439987887297,2.1402077522875346e-05,1.551240638281768e-05,0.041273238607272944,0.0035203562245010164,0.0705582437635784,0.12817753842852309,0.028410753453569203,0.007048954873044956,0.0,0.0,0.0,0.00018991295954183703,2.2414338653480268e-05,0.003996836222749672,9.167114393110465e-06,7.743493058432753e-07,0.0002298351513324119,0.0001115754343551629,8.697478246048996e-06,0.10775465373405856,0.0,0.0,0.0
0.015,0.000573663201263952,4.69189878119429e-05,3.400537808840131e-05,0.05900206652310103,0.005101498378899431,0.09694267543705838,0.12817761406620765,0.028408051394360867,0.0070491706199391916,0.0,0.0,0.0,0.00019051238684024419,2.289776382628545e-05,0.004079944511464426,1.13753979538566e-05,1.0510537141552448e-06,0.0003120413718480284,0.00016839145175421517,1.2995841641770458e-05,0.12134964461132951,0.0,0.0,0.0
0.02,0.0009842458998557957,8.104020783198834e-05,5.87307284619332e-05,0.07482113196506729,0.006546577106009803,0.11302997831267661,0.12817767228778365,0.028405144237819514,0.007049072199501717,0.0,0.0,0.0,0.00019123155126557316,2.4112886082851958e-05,0.004292044221479834,1.2820878449083632e-05,1.384317748048852e-06,0.00041115678720867404,0.00022634197011109903,1.734763639667629e-05,0.12684516615637115,0.0,0.0,0.0
0.025,0.0014817500439081588,0.00012270766360269626,8.891857042213671e-05,0.0887159696745254,0.00784790008277857,0.12061579396025077,0.12817771309932535,0.02840202421511263,0.007048659418905025,0.0,0.0,0.0,0.0001920720578178275,2.651905336150413e-05,0.00471419773355911,1.864881064082705e-05,1.8291822156915911e-06,0.0005436114293983015,0.0002857789618010009,2.1778398313130594e-05,0.1295370629884805,0.0,0.0,0.0
0.03,0.0020527756547992215,0.00017085166808298005,0.00012379012016201899,0.1006911901993259,0.009002931237391924,0.1225586158827539,0.12817773641855545,0.02839868812940674,0.007047932948369058,0.0,0.0,0.0,0.00026599839622825673,3.054054186272201e-05,0.005420496712503558,2.7256303652313605e-05,2.4155536222367575e-06,0.0007184277322534162,0.0003470710164291797,2.63161355433952e-05,0.13122675686618823,0.0,0.0,0.0
0.035,0.0026841302862500305,0.0002243956937589533,0.0001625613375269018,0.11067922115040499,0.010004175934659016,0.12101596951924552,0.12817774210530875,0.028395137306691482,0.007046894318024853,0.0,0.0,0.0,0.00037318643761706863,3.6492464324002176e-05,0.006464745630134641,3.76264107605738e-05,3.156133776941108e-06,0.0009395744325854813,0.00041060685237409225,3.099020866164465e-05,0.13259069161327505,0.0,0.0,0.0
0.04,0.003362313428749486,0.0002822212701343894,0.00020441768657205594,0.11849831053437937,0.010834483329580102,0.11724250700401288,0.12817772996712762,0.02839137757411747,0.007045545919462916,0.0,0.0,0.0,0.000504942503404297,4.4607931443777056e-05,0.007885215541504132,4.985612596392769e-05,4.057606061314475e-06,0.0012092877072901822,0.00047679846449245097,3.5832042754995763e-05,0.1339165033433764,0.0,0.0,0.0
0.045,0.004072920291030124,0.0003431217175792665,0.00024848084454236115,0.12385635693525543,0.01146781628850927,0.11188152114320943,0.12817769976117432,0.028387419282473278,0.007043891020154859,0.0,0.0,0.0,0.0006655378259378692,5.513022831245322e-05,0.009720840162063552,6.405728632053907e-05,5.1271139272149175e-06,0.0015300002440721393,0.0005460835319247446,4.087669814839414e-05,0.13534569740875052,0.0,0.0,0.0
