audit,metric,one_space,static_one_space
packet_safety,live_points,238.0,238.0
packet_safety,positive_live_packet_norm,0.0,0.0
packet_safety,max_live_packet_norm,-194.01396970455627,-1715.7585969733443
radial_escape,traces,1832.0,1832.0
radial_escape,expected_escape,1644.0,1630.0
radial_escape,escaped,1644.0,1630.0
radial_escape,stalled,0.0,0.0
entry_reachability,reachable_packet_hits,0.0,0.0
entry_reachability,service_stage_hits,0.0,0.0
entry_reachability,carry_stage_hits,0.0,0.0
scheduled_probe,traces,235.0,235.0
scheduled_probe,escaped,189.0,189.0
scheduled_probe,max_packet_norm,1620.3035231428562,420.5887603920605
scheduled_probe,min_areal_expansion_proxy,-0.3325024074378567,-0.3325024074378567
trace_expansion,traces,235.0,235.0
trace_expansion,radial_escape_count,189.0,189.0
trace_expansion,traces_entering_both_shrinking,0.0,0.0
trace_expansion,traces_sustained_to_end,0.0,0.0
trace_expansion,max_integrated_trapped_like_strength,0.0,0.0
dense_bundles_all_centers,escaped,136.0,136.0
dense_bundles_all_centers,bundles,8.0,8.0
dense_bundles_all_centers,rays,136.0,136.0
dense_bundles_all_centers,crossing_samples,0.0,0.0
dense_bundles_all_centers,caustic_like_flags,2.0,0.0
dense_bundles_all_centers,min_common_l_width_ratio,0.3236495387873684,0.9295871253139326
dense_bundles_all_centers,min_common_adjacent_l_gap_ratio,0.1215073688284999,0.7985783702697831
dense_bundles_all_centers,max_initial_radius_width,2.220446049250313e-16,0.0
service_time,prepared_service_time,3.045,3.045
service_time,schedule_factor_distance,7.822459800874579,7.822459800874579
service_time,packet_coord_proxy_distance,3.6396275223471153,1.0715491116088345
service_time,schedule_factor_advantage_ratio,2.568952315558154,2.568952315558154
service_time,packet_coord_proxy_advantage_ratio,1.1952799744982316,0.3519044701506845
service_time,request_schedule_factor_advantage_ratio,2.487268617130232,2.487268617130232
service_time,request_packet_coord_proxy_advantage_ratio,1.1572742519386694,0.3407151388263384
