interval,incoming,outgoing,geometric,balance_residual
0,0.0013826389797593828,0.0,-8.172471724177702e-06,2.168404344971009e-19
1,0.0013862133508917222,0.0,-2.4400365605129803e-05,-8.673617379884035e-19
2,0.0013882141494414152,0.0,-4.043643594551776e-05,-8.673617379884035e-19
3,0.001390006396080566,0.0,-5.627396710282254e-05,6.505213034913027e-19
4,0.0013917974931876211,0.0,-7.191232042485287e-05,0.0
5,0.0013936191222485494,0.0,-8.735174794979988e-05,1.734723475976807e-18
6,0.0013954762934204386,0.0,-0.00010259271545809888,-4.336808689942018e-19
7,0.0013973699665794687,0.0,-0.00011763570281437574,-4.336808689942018e-19
8,0.0013993004916956196,0.0,-0.00013248128587819465,-6.505213034913027e-19
9,0.0014012681259068748,0.0,-0.00014713005488709322,2.168404344971009e-18
10,0.0014032731116425728,0.0,-0.00016158259395022251,-1.0842021724855044e-18
11,0.0014053156880526366,0.0,-0.00017583957829719936,2.168404344971009e-19
12,0.001407396090619139,0.0,-0.00018990165614813514,-1.3010426069826053e-18
13,0.0014095145532558864,0.0,-0.00020376959407732904,3.686287386450715e-18
14,0.0014116713048697028,0.0,-0.0002174441983732839,-7.806255641895632e-18
15,0.0014138665738458959,0.0,-0.00023092629514673133,3.903127820947816e-18
16,0.0014161005894580045,0.0,-0.00024421682264222,1.951563910473908e-18
17,0.0014183735792504574,0.0,-0.00025731664616815284,-1.734723475976807e-18
18,0.0014206857736540823,0.0,-0.0002702267314076869,4.7704895589362195e-18
19,0.0014230374013278395,0.0,-0.0002829480407577426,-5.204170427930421e-18
20,0.0014254286908612311,0.0,-0.0002954815421684177,-2.8189256484623115e-18
21,0.0014278598646242156,0.0,-0.00030782827425316104,3.469446951953614e-18
22,0.0014303311451686626,0.0,-0.00031998926552805545,3.903127820947816e-18
23,0.0014328427533398468,0.0,-0.000331965631076464,4.336808689942018e-19
24,0.0014353949091790593,0.0,-0.00034375849754805023,-1.951563910473908e-18
25,0.0014379878354287407,0.0,-0.00035536898893290085,2.6020852139652106e-18
26,0.0014406217510254077,0.0,-0.0003667982885388177,-4.7704895589362195e-18
27,0.0014432968791195714,0.0,-0.0003780475225794465,3.0357660829594124e-18
28,0.0014460134408475298,0.0,-0.00038911789549267624,-6.5052130349130266e-18
29,0.0014487716546419662,0.0,-0.00040001060120743417,1.1926223897340549e-17
30,0.0014515717375685076,0.0,-0.00041072681278756765,-1.5178830414797062e-18
31,0.0014544139049284164,0.0,-0.0004212678204845665,-3.469446951953614e-18
32,0.0014572983716003877,0.0,-0.000431634812762478,-4.336808689942018e-19
33,0.0014602253533722367,0.0,-0.0004418290871881042,-4.119968255444917e-18
34,0.001463195066227169,0.0,-0.000451851911898642,6.938893903907228e-18
35,0.0014662077273086378,0.0,-0.0004617045161171611,-6.071532165918825e-18
36,0.001469263552964888,0.0,-0.0004713882326623578,6.5052130349130266e-18
37,0.0014723627583463955,0.0,-0.0004809042626689644,-1.0842021724855044e-18
38,0.0014755055574536176,0.0,-0.0004902539222649115,4.336808689942018e-19
39,0.001478692162381453,0.0,-0.0004994384850792591,5.637851296924623e-18
40,0.0014819227852936397,0.0,-0.0005084591929991788,-3.903127820947816e-18
41,0.0014851976381186267,0.0,-0.0005173174030650557,2.168404344971009e-19
42,0.001488516933509923,0.0,-0.0005260143271749569,-8.023096076392733e-18
43,0.001491880885123139,0.0,-0.0005345512987666625,7.589415207398531e-18
44,0.0014952897061733632,0.0,-0.0005429295831369784,-1.951563910473908e-17
45,0.0014987436100261425,0.0,-0.0005511504030648588,1.1926223897340549e-18
46,0.0015022428086383117,0.0,-0.000559215089484036,1.0842021724855044e-18
47,0.0015057875130067963,0.0,-0.0005671248098743873,4.228388472693467e-18
48,0.0015093779337641351,0.0,-0.0005748808655842909,1.2793585635328952e-17
49,0.0015130142808766369,0.0,-0.0005824844799740704,-7.48099499014998e-18
50,0.0015166967653543711,0.0,-0.000589936841591482,2.6020852139652106e-18
51,0.0015204255983406827,0.0,-0.0005972392479492465,1.4094628242311558e-18
52,0.0015242009914752828,0.0,-0.0006043928168845477,-1.0191500421363742e-17
53,0.0015280231566494346,0.0,-0.0006113988039873281,-7.806255641895632e-18
54,0.00153189230477374,0.0,-0.0006182583640903421,5.204170427930421e-18
55,0.0015358086467417507,0.0,-0.000624972615966802,2.2551405187698492e-17
56,0.0015397723924123943,0.0,-0.0006315427829061691,-1.929879867024198e-17
57,0.0015437837515052267,0.0,-0.0006379698979477025,-2.710505431213761e-18
58,0.0015478429340750714,0.0,-0.0006442551452907624,3.577867169202165e-18
59,0.0015519501500009867,0.0,-0.0006503995957689448,-5.7462715141731735e-18
60,0.0015561056101492396,0.0,-0.0006564042901191163,2.0599841277224584e-17
61,0.0015603095250969604,0.0,-0.0006622703685828308,-1.929879867024198e-17
62,0.0015645621054976152,0.0,-0.0006679987677234499,7.37257477290143e-18
63,0.0015688635619217756,0.0,-0.0006735905808285253,8.673617379884035e-19
64,0.0015732141040992551,0.0,-0.0006790467690971165,-4.336808689942018e-19
65,0.001577613942119997,0.0,-0.0006843682684128173,-5.312590645178972e-18
66,0.0015820632855039415,0.0,-0.0006895561098051257,1.3010426069826053e-18
67,0.0015865623440209226,0.0,-0.0006946111139086951,-4.662069341687669e-18
68,0.0015911113277462486,0.0,-0.0006995342687365774,5.312590645178972e-18
69,0.0015957104463905968,0.0,-0.0007043264147220347,3.686287386450715e-18
70,0.00160035991029626,0.0,-0.0007089883744048326,1.702197410802242e-17
71,0.0016050599292443699,0.0,-0.0007135210582132264,-2.3960868011929648e-17
72,0.0016098107166209992,0.0,-0.0007179251262396853,8.239936510889834e-18
