interval,incoming,outgoing,geometric,balance_residual
0,1.760906539885685e-05,0.0013799077508505593,0.0014994973560325134,-6.776263578034403e-18
1,1.726249044105719e-05,0.0013846483672428547,0.0015062573750522163,7.020209066843641e-18
2,1.6967868510308467e-05,0.0013875625002841632,0.001512849782676179,-1.1953328951652686e-17
3,1.6719943526967013e-05,0.0013897818317604854,0.0015193249779363448,-3.903127820947816e-18
4,1.6514065819650696e-05,0.0013917505296189943,0.0015257163011040296,6.7220534694101275e-18
5,1.634599867710521e-05,0.0013936429855992438,0.0015320434440757407,1.734723475976807e-18
6,1.621133147653076e-05,0.0013955277490473198,0.0015383222561212145,1.7076184216646695e-18
7,1.6105444207381567e-05,0.0013974318534831747,0.001544564783000192,-4.336808689942018e-18
8,1.6023871198651088e-05,0.0013993660532119392,0.0015507863432903187,-8.158621347953421e-18
9,1.5962193363429676e-05,0.0014013347143603276,0.0015570013360903876,2.3852447794681098e-17
10,1.591613891264718e-05,0.0014033396959103042,0.0015632192963815244,-1.5395670849294163e-17
11,1.5882099673485484e-05,0.0014053818671116655,0.00156944988366744,5.692061405548898e-19
12,1.5857059081419774e-05,0.0014074617060321653,0.0015757007295293395,-2.2768245622195593e-18
13,1.5838816313350795e-05,0.0014095795392068903,0.0015819799323060538,-6.451002926288751e-18
14,1.58271798054986e-05,0.0014117356335566753,0.001588293042202154,2.2659825404947043e-17
15,1.5822564566007942e-05,0.0014139302372882644,0.0015946424292010073,-2.5804011705155006e-17
16,1.5825514424636503e-05,0.0014161635901025764,0.001601028819647357,-1.3660947373317356e-17
17,1.5836677974129425e-05,0.0014184359265576323,0.0016074538562633025,2.780978572425319e-17
18,1.5856588475105795e-05,0.00142074747775435,0.0016139169232551433,7.37257477290143e-18
19,1.5885474405133837e-05,0.0014230984685875642,0.0016204179149397944,-2.3798237686056822e-17
20,1.5923455057026278e-05,0.001425489122992092,0.0016269582102156309,-8.944667923005412e-19
21,1.5970503129459513e-05,0.0014279196634724557,0.0016335379028290322,3.5236570605778894e-18
22,1.6026463690880088e-05,0.001430390313209682,0.0016401586636916317,-1.9244588561617704e-18
