s,x,velocity,gamma,heat,effective_n,momentum,alpha,b,coordinate_fixed_velocity,momentum_rate,decomposition_residual,traction,lapse,radial_metric,shift,endpoint
0.0,-1.3,-1.6809229994191197e-05,1.0000000001412752,2.9144760200130957,0.00418178040893795,-0.00015334481418855818,185.52716752459753,239.13259474872484,-1.68092299941912e-05,-24.805147591001568,2.1316282072803006e-14,129.5491081312531,-102.3762671362246,-51.96348885344096,3.70966966311636e-08,-0.014499769685779287
0.005,-1.3000263887357868,-0.013631484409930833,1.0000929216336496,2.9110322667713473,0.004194321824066766,-0.12387196761190025,184.84465259850262,238.38388041041705,-1.5109667280136405e-05,-24.681004387809235,0.0,128.59401934646314,-101.67593923612013,-51.57902143054008,2.702693056883675e-05,-0.02009009454273382
0.01,-1.3001056012455035,-0.02727783373927944,1.000372247856338,2.9082789814367223,0.0042064991573381545,-0.24695177098624682,184.116748861045,237.59291618652955,-1.3562986204984535e-05,-24.54983446313391,-7.105427357601002e-15,127.61431663637995,-100.9639982150025,-51.17989497526352,4.852538389653695e-05,-0.020306434631739596
0.015,-1.3002376675709388,-0.040945124489702965,1.0008393070830706,2.906216704676311,0.00421830513737612,-0.3693598488197675,183.3439728437914,236.7600577290792,-1.2157296876359151e-05,-24.412373773992087,-1.4210854715202004e-14,126.60970602573707,-100.2408093605904,-50.76605351320373,6.526857887860485e-05,-0.015282194513914781
0.02,-1.3004225639591294,-0.05462230455529322,1.0014951445912958,2.9048462121847893,0.004229733799593708,-0.49106543573572,182.52690489472795,235.8857072818138,-1.0881598634281592e-05,-24.26886812982455,-3.552713678800501e-15,125.58065657828729,-99.5067503554892,-50.337662555592004,7.791999243090546e-05,-0.005189717023069727
0.025,-1.3006602122838946,-0.06829822866534384,1.0023405154704779,2.9041685564402475,0.004240780608512031,-0.6120387542737944,181.6661881809406,234.9703133267824,-9.725865441982023e-06,-24.11949831866206,1.7763568394002505e-14,124.52784483467212,-98.76220896655093,-49.89498675121345,8.707722936915777e-05,0.009765487200843833
0.03,-1.300950480173627,-0.08196178170037123,1.003375885106296,2.9041850260012967,0.004251442587130346,-0.7322509985392036,180.76252570852952,234.0143677850786,-8.680076841873754e-06,-23.964477742884934,-3.552713678800501e-15,123.45199863458765,-98.00757941468062,-49.43833949695689,9.327059831791323e-05,0.029349263566606495
0.035,-1.30129318156971,-0.09560195839152046,1.0046014332668913,2.9048971042519143,0.004261718336242927,-0.8516745377546956,179.81668071660687,233.01840804029837,-7.73551670986875e-06,-23.804061869780803,-2.1316282072803006e-14,122.35386465824536,-97.24326290696308,-48.96806493397825,9.697686529466662e-05,0.053304336049854774
0.04,-1.3016880776024649,-0.10920792504831225,1.006017060530774,2.9063064527521827,0.004271608149828575,-0.9702831029901395,178.82947217543182,231.98301261786403,-6.88358491058584e-06,-23.6385382018248,-2.1316282072803006e-14,121.23419734609047,-96.46966345524439,-48.48452667046164,9.861488676747797e-05,0.08135596290397089
0.045,-1.3021348777324482,-0.12276907036013744,1.0076223963335575,2.908414886970193,0.00428111403120186,-1.088051922062585,177.80177372793165,230.90880150401978,-6.116371865391326e-06,-23.46821627325786,0.0,120.0937605924455,-95.68718764659147,-47.988104320553695,9.855455521711488e-05,0.11321654688658396
