s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,maximum_anchor_force,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral,receiver_velocity,receiver_heat,receiver_l,receiver_effective_n,maximum_gamma,minimum_rest_dec_margin,maximum_density,maximum_abs_radial_stress,backbone_slice_energy,maximum_backbone_inverse_stretch,minimum_backbone_inverse_stretch
0.0,0,0.2500000000000001,-2.1,0.20214036673420838,0.9928994362001141,0.0021490754871863658,0.1641496547740229,1.0,0.15000000000000002,10559.179703167336,122.01065615881365,0.0,26.23890052525374,0.0,0.0,0.0,5.542379848276117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.68092299941912e-05,2.9090888779058206,-1.3,0.00418178040893797,1.0210785740059045,0.007946532847887818,0.6730271917916864,0.6634909091123204,87.68586270464186,169.38744153826457,4.753796565136214e-07
0.005,10,0.2500000000000001,-2.1,0.19657604239257814,0.992906788597912,0.0021482826325164533,0.16432101925203235,0.9994174440703132,0.15500000000000003,10541.385292214754,122.13058020168664,0.0,26.229495385276792,-1.0502669621203591e-11,-1.333377852574813e-13,-6.170529854484802e-15,5.553856933196865,-1.308957974248123,-0.10707625700697632,-0.000748437258900789,0.0,-2.166755195871615,0.6123183769851739,-0.12962859451368025,-0.0081020797097157,2.905645236067139,-1.3000156811277772,0.004194745028910244,1.0198996890868837,0.0077773302696714074,0.6744252822143242,0.6648790625863253,87.82013655182264,169.56427401799482,4.76681006330097e-07
0.01,20,0.2500000000000001,-2.1,0.19125189474758336,0.9929143280712383,0.002148117875944831,0.16449711327238098,0.9977728221172502,0.16000000000000003,10522.348997536386,122.25874700865934,0.0,26.221910660516663,-1.1209660565749941e-11,-2.376709939966304e-13,-6.460731413108177e-15,5.565664669240429,-2.7382644987569664,-0.1926299306062577,-0.0013520104776837815,0.0,-4.3745164319954615,1.2247279697769249,-0.24738768580346907,-0.016180929043584476,2.9028927594622207,-1.300062687005303,0.004208201132233371,1.0188061541789721,0.007621854049836015,0.6758634518766622,0.6663070213058089,87.95947482907695,169.7459869531704,4.780678260350444e-07
0.015,30,0.2500000000000001,-2.1,0.18614521843470647,0.9929220542731895,0.0021485648582101223,0.16467795778307434,0.9952022835091126,0.16500000000000004,10502.122862562244,122.39505927245584,0.0,26.216134358649683,-2.3481028302293712e-11,-3.325117958752344e-13,-8.888614875393872e-15,5.577805462824716,-4.283442129023644,-0.2569969807278662,-0.0018116739751438825,0.0,-6.62041800729359,1.8372375604114735,-0.35325183376404323,-0.02424839569588964,2.900832664124872,-1.3001409436870068,0.004222155821640804,1.0177886631050606,0.007458022885804682,0.6773419961354123,0.6677750794038477,88.10388897269087,169.93260196021845,4.795376152759175e-07
0.02,40,0.2500000000000001,-2.1,0.1812353449910627,0.9929299666996406,0.002149607907880424,0.16486357084805114,0.9918225045938702,0.17000000000000004,10480.74433639058,122.53944071419552,0.0,26.212154176340274,-3.0700916093171576e-11,-4.072298054325074e-13,-1.0349159808934987e-14,5.590281556361432,-5.941164517372201,-0.30052365049859137,-0.0021284068196184094,0.0,-8.901441416686035,2.449855817768547,-0.44741570200689207,-0.03229954366499345,2.899465927243591,-1.3002503537758066,0.004236616707860011,1.0168391057447246,0.007280236623260762,0.6788611908677852,0.6692835117004499,88.2533951578625,170.1241376794728,4.810874810037361e-07
0.025,50,0.2500000000000001,-2.1,0.17650372323014477,0.9929380646932379,0.0021512319489937247,0.16505396770663486,0.9877367615364299,0.17500000000000004,10458.23569291848,122.6918322941061,0.0,26.20995748409047,-4.1643057145124255e-11,-4.708455847435289e-13,-6.054721720761859e-15,5.603095031562232,-7.709302813683325,-0.323566289625484,-0.0023032140346228203,0.0,-11.21472537625917,3.0625912772258324,-0.5302968984763522,-0.04032948202260482,2.8987932770684868,-1.3003907966582375,0.004251591943957701,1.015950450096815,0.007103806139632624,0.6804212928724201,0.6708325741000466,88.40801274192083,170.32060983652252,4.827139673116885e-07
0.03,60,0.2500000000000001,-2.1,0.17193197316561284,0.9929463474625725,0.0021534240252829165,0.16524916118947472,0.9830394876672224,0.18000000000000005,10434.619772826707,122.85218898856051,0.0,26.209531313879317,-4.68741623184376e-11,-5.376810108259633e-13,-9.133855629160104e-15,5.616247836527801,-9.585673223313151,-0.32649108912975344,-0.0023371275824743357,0.0,-13.557706755387255,3.6754523209259555,-0.6025315772719805,-0.04833338341681079,2.898815186444382,-1.30056212883153,0.00426709029474635,1.0151162743387323,0.006929589065018529,0.6820225431785398,0.6724225068766955,88.56776401487991,170.52203167142494,4.844132089962859e-07
0.035,70,0.2500000000000001,-2.1,0.16750125426353074,0.992954814064684,0.0021561701814052448,0.16544916127077353,0.9778200458590915,0.18500000000000005,10409.917483317495,123.02047636266134,0.0,26.21086233706341,-3.732995896048678e-11,-6.09956529729061e-13,-4.588726992692606e-15,5.629741755266348,-11.568236081375169,-0.3096739716075868,-0.002231208122915519,0.0,-15.928147653045441,4.288447158757061,-0.6649518478476237,-0.056306501057562075,2.899531853388559,-1.30076418431043,0.004283121112053664,1.0143306019311265,0.0067584408839503765,0.6836651633015737,0.6740535309554182,88.73267312813027,170.72841347664584,4.86180669929267e-07
0.04,80,0.2500000000000001,-2.1,0.16319300140300724,0.9929634634344392,0.002159458242604923,0.16565397572317275,0.9721652984491316,0.19000000000000006,10384.151201098279,123.19666916181478,0.0,26.21393685246921,-3.236323421932249e-11,-6.699085730588195e-13,-5.302650075878748e-15,5.643578450714165,-13.654825396918046,-0.27350024620965774,-0.0019865459606927204,0.0,-18.32417151400858,4.901583810181654,-0.7185305132017843,-0.06424418466650395,2.9009431951693734,-1.3009967751097222,0.004299694419186669,1.0135879945007304,0.0065911308014177565,0.6853493604980889,0.6757258531294409,88.90276640931661,170.93976327284082,4.880111298451685e-07
0.045,90,0.2500000000000001,-2.1,0.15898965673757234,0.9929722943778194,0.002161228995997118,0.16586360992229832,0.9661614340947269,0.19500000000000006,10357.3478437524,123.38074954578705,0.0,26.218740765386578,-1.3751967913948433e-11,-7.224221221235894e-13,-2.4932809966233578e-15,5.657759451095707,-15.842904638873216,-0.21836441078345625,-0.0016042627172019556,0.0,-20.744236433479987,5.514870087050416,-0.7643281379378198,-0.07214189459787476,2.9030488303458126,-1.3012596917990984,0.004316820906667503,1.0128836280615983,0.006428295585201734,0.6870753260762964,0.677439664381887,89.07807218972602,171.15608660716453,4.898988511442664e-07
0.05,100,0.2500000000000001,-2.1,0.1548748210553393,0.9929813055795708,0.002159590112530865,0.16607806698868566,0.9598939281694832,0.20000000000000007,10329.538042378115,123.5727050075247,0.0,26.2252595692264,-9.577338108681902e-12,-7.556177905598815e-13,-8.36270970342851e-15,5.6722861587625655,-18.129632859022664,-0.14466986819492958,-0.0010855127901245882,0.0,-23.186869840957673,6.128313577493152,-0.8033864433661304,-0.07999521452729953,2.9058480642961557,-1.301552704116873,0.004334511957237966,1.0122132620206472,0.006270500422068234,0.6888432364573833,0.6791951409389001,89.25862055930331,171.37738669972433,4.918374991664568e-07
0.055,110,0.2500000000000001,-2.1,0.1508333977976479,0.992990495625283,0.0021586698403044165,0.16629734827470816,0.9534454662068095,0.20500000000000007,10300.753143597505,123.77252777731776,0.0,26.23347832998704,2.910451868163303e-12,-7.717160244169463e-13,-7.246864273792153e-15,5.687159882234005,-20.512103631597885,-0.05282855928777576,-0.0004314845895517567,0.0,-25.650572633335806,6.741921631017294,-0.8366690767198702,-0.08779986278567393,2.9093398786471014,-1.3018755616429076,0.004352779703280076,1.0115732097434085,0.006118271953355668,0.6906532570753547,0.6809924481414443,89.44444333621712,171.60366494604602,4.938201206751693e-07
0.06,120,0.2500000000000001,-2.1,0.14685364761482528,0.9929998629878868,0.002158447989493938,0.16652145300515428,0.9468938526303119,0.21000000000000008,10271.024106451716,123.98021443097726,0.0,26.2433816626683,1.9943980858463156e-11,-7.674971769233707e-13,-2.9660506719393716e-15,5.702381811588556,-22.98743307192079,0.05673927347640015,0.00035659758510077366,0.0,-28.13383431369432,7.355701344904365,-0.8649976846550523,-0.09555170144802895,2.9135229095985067,-1.3022279945180186,0.004371636997948096,1.010960601190115,0.00597205206980974,0.6925055393324695,0.6828317374213249,89.63557386058807,171.83492054618208,4.958399359168163e-07
0.065,130,0.2500000000000001,-2.1,0.14292547817424459,0.9930094060590811,0.0021589069375781912,0.1667503789897557,0.9403101830194074,0.21499999999999997,10240.381544446207,124.1957657566325,0.0,26.254953717000785,1.645401963935572e-11,-7.503997423441433e-13,-6.430757543203415e-15,5.717953065760363,-25.55275693537085,0.18360553083836154,0.0012774724094724698,0.0,-30.63514683636035,7.969659551996373,-0.8890220060652788,-0.10324674464923135,2.918395439323519,-1.3026097142042732,0.004391097488066305,1.0103730424805937,0.005832231842302926,0.6944002263622483,0.6847131520231902,89.83204707114469,172.07115123997576,4.978896988303858e-07
