s,peak_velocity,peak_velocity_fraction,peak_velocity_l,material_fraction_above_09,material_fraction_above_099,maximum_density,maximum_radial_stress,reference_maximum_speed,density_peak_over_reference,radial_peak_over_reference
0.0,-0.20214036673420838,1.0,-0.5,0.0,0.0,0.6730271917916864,0.6634909091123204,0.20214036673420838,60.6021098754656,149.85409988952443
0.005,-0.19657604239257814,1.0,-0.5,0.0,0.0,0.6744252822143242,0.6648790625863253,0.19657604239257814,60.641731574441316,150.0443334443096
0.01,-0.19125189474758336,1.0,-0.5,0.0,0.0,0.6758634518766622,0.6663070213058089,0.19125189474758336,60.61202167212408,150.28658992468212
0.015,-0.18614521843470647,1.0,-0.5,0.0,0.0,0.6773419961354123,0.6677750794038477,0.18614521843470647,60.51254817835825,150.55568055915134
0.02,-0.1812353449910627,1.0,-0.5,0.0,0.0,0.6788611908677852,0.6692835117004499,0.1812353449910627,60.34283904639992,150.84267531121915
0.025,-0.17650372323014477,1.0,-0.5,0.0,0.0,0.6804212928724201,0.6708325741000466,0.17650372323014477,60.10238558357582,151.14422282033405
0.03,-0.17193197316561284,1.0,-0.5,0.0,0.0,0.6820225431785398,0.6724225068766955,0.17193197316561284,59.790647536451424,151.45889750685143
0.035,-0.16750125426353074,1.0,-0.5,0.0,0.0,0.6836651633015737,0.6740535309554182,0.16750125426353074,59.407059514101526,151.78598977572312
0.04,-0.16319300140300724,1.0,-0.5,0.0,0.0,0.6853493604980889,0.6757258531294409,0.16319300140300724,58.95103985020184,152.12516990547388
0.045,-0.15898965673757234,1.0,-0.5,0.0,0.0,0.6870753260762964,0.677439664381887,0.15898965673757234,58.42200139160424,152.47633023102352
0.05,-0.1548748210553393,1.0,-0.5,0.0,0.0,0.6888432364573833,0.6791951409389001,0.1622241665661431,57.81936514356747,152.8394470253561
0.055,-0.1508333977976479,1.0,-0.5,0.0,0.0,0.6906532570753547,0.6809924481414443,0.17815163148089544,57.14257728021853,153.2144789181422
0.06,-0.14685364761482528,1.0,-0.5,0.0,0.0,0.6925055393324695,0.6828317374213249,0.19396746037631202,56.39112968000475,153.60135234548395
0.065,-0.14292547817424459,1.0,-0.5,0.0,0.0,0.6944002263622483,0.6847131520231902,0.2096585350125136,55.564585557631816,153.9998582503795
0.07,-0.13904300434972452,1.0,-0.5,0.0,0.0,0.6963374519462837,0.6866368259282621,0.22521231804363254,54.66261038815167,154.4097982793648
0.075,-0.1352046555177842,1.0,-0.5,0.0,0.0,0.698317342096095,0.688602885424498,0.24061689406449352,53.68500978738614,154.8309575608689
0.08,-0.13711910744358244,0.59375,-1.1549079651555143,0.0,0.0,0.7003400193880799,0.690611453410812,0.25586100615618734,52.63177578239941,155.26307171518943
0.085,-0.14569805613580358,0.59375,-1.1555356232209464,0.0,0.0,0.7024056004336701,0.6926626468842846,0.27093490927847824,51.50314281775341,155.70591768094354
0.09,-0.15428825661176418,0.59375,-1.156200508472403,0.0,0.0,0.704514201971612,0.6947565829896983,0.2858326603150379,50.299656320369316,156.15933432312616
0.095,-0.16289070070360087,0.59375,-1.1569025373567274,0.0,0.0,0.7066659401979817,0.6968933783538559,0.30055012747237814,49.022255757459,156.62321816942676
0.1,-0.17150591256153075,0.59375,-1.1576416247472867,0.0,0.0,0.7088609326643043,0.6990731509702558,0.315084323160609,47.67237578065287,157.0975129627115
0.105,-0.18013395834229542,0.59375,-1.158417681881591,0.0,0.0,0.7110993028327769,0.7012960247226951,0.3294333302127811,46.25206916998324,157.58218979458178
