s,peak_velocity,peak_velocity_fraction,peak_velocity_l,material_fraction_above_09,material_fraction_above_099,maximum_density,maximum_radial_stress,reference_maximum_speed,density_peak_over_reference,radial_peak_over_reference
0.0,-0.20214036673420838,1.0,-0.5,0.0,0.0,5.566437726558948,5.556901443879582,0.20214036673420838,501.22472737219545,1255.0653710711263
0.005,-0.19657604239257814,1.0,-0.5,0.0,0.0,5.578041849702081,5.568495656995986,0.19657604239257814,501.5561033685243,1256.6514215252712
0.01,-0.19125189474758336,1.0,-0.5,0.0,0.0,5.589916308040205,5.580359985153717,0.19125189474758336,501.3085519974573,1258.65891534106
0.015,-0.18614521843470647,1.0,-0.5,0.0,0.0,5.602063488634526,5.59249681407808,0.18614521843470647,500.47854509001604,1260.8768877989362
0.02,-0.1812353449910627,1.0,-0.5,0.0,0.0,5.614485774877413,5.604908525849617,0.1812353449910627,499.06227664693984,1263.2305773763312
0.025,-0.17650372323014477,1.0,-0.5,0.0,0.0,5.627185548569054,5.61759750097915,0.17650372323014477,497.05569054529457,1265.6919791678397
0.03,-0.17193197316561284,1.0,-0.5,0.0,0.0,5.640165215061053,5.6305661435303005,0.17193197316561284,494.45452176613657,1268.2492506082704
0.035,-0.16750125426353074,1.0,-0.5,0.0,0.0,5.653427168576101,5.643816846468725,0.16750125426353074,491.2543483133271,1270.8965784066409
0.04,-0.16319300140300724,1.0,-0.5,0.0,0.0,5.666973831307082,5.657352030728352,0.16319300140300724,487.4506629971042,1273.6313623400292
0.045,-0.15898965673757234,1.0,-0.5,0.0,0.0,5.680807633637082,5.671174125448359,0.15898965673757234,483.0389607688044,1276.4528919907461
0.05,-0.1548748210553393,1.0,-0.5,0.0,0.0,5.694931016193125,5.685285570025355,0.1622241665661431,478.01484933803135,1279.3611884542038
0.055,-0.1508333977976479,1.0,-0.5,0.0,0.0,5.709346454491082,5.699688838737815,0.17815163148089544,472.37418726847864,1282.3561521219444
0.06,-0.14756856574482902,0.96875,-0.5505740677050216,0.0,0.0,5.724056424829277,5.714386406668601,0.19396746037631202,466.1132508186966,1285.437439102748
0.065,-0.14685332078623076,0.96875,-0.5506974398344647,0.0,0.0,5.739063442523611,5.729380787908214,0.2096585350125136,459.22894257010984,1288.6035949407756
0.07,-0.14619855145352578,0.96875,-0.5508335491202184,0.0,0.0,5.75437004231968,5.744674515983633,0.22521231804363254,451.7190433652521,1291.8532762854104
0.075,-0.14555786890483624,0.96875,-0.5509820219009945,0.0,0.0,5.769978780173514,5.76027014563782,0.24061689406449352,443.5825213173632,1295.1850207664843
0.08,-0.14488598217264229,0.96875,-0.551142305968145,0.0,0.0,5.7858922571768385,5.77617027673526,0.25586100615618734,434.81990968747897,1298.5969686523763
0.085,-0.14413860310065352,0.96875,-0.5513136875998036,0.0,0.0,5.802113085741868,5.792377520475304,0.27093490927847824,425.433764644276,1302.0876200514206
0.09,-0.1432734010615647,0.96875,-0.5514953097993952,0.0,0.0,5.818643926800194,5.808894536560314,0.2858326603150379,415.42922619528275,1305.656004120156
0.095,-0.14224942883507552,0.96875,-0.5516861886114545,0.0,0.0,5.8354874701887205,5.825724013598279,0.30055012747237814,404.8146980918494,1309.3016399897083
0.1,-0.14102781089535335,0.96875,-0.5518852261426751,0.0,0.0,5.852646435974237,5.842868670426588,0.315084323160609,393.60267628007836,1313.0244458935267
0.105,-0.13957254812121916,0.96875,-0.5520912268732114,0.0,0.0,5.870123597526497,5.8603312791663065,0.3294333302127811,381.8107563705402,1316.8245695644302
0.11,-0.13785091567430047,0.96875,-0.5523029111696404,0.0,0.0,5.887921747795978,5.878114631528224,0.3435962208094632,369.4628532084093,1320.7020782657578
0.115,-0.1358351086985557,0.96875,-0.5525189319301164,0.0,0.0,5.906043735370655,5.8962215748401485,0.35757297659254367,356.5906786036009,1324.6569948652489
0.12,-0.13350288275582703,0.96875,-0.5527378939275321,0.0,0.0,5.924492444644112,5.914654992231764,0.37136440387722025,343.23551786240756,1328.6891276992349
0.125,-0.13083837627919073,0.96875,-0.5529583709214368,0.0,0.0,5.943270796544455,5.933417803363324,0.38497204958606007,329.4503547033564,1332.7981739146096
0.13,-0.12783207013528922,0.96875,-0.5531789259403579,0.0,0.0,5.962381770659558,5.95251298653303,0.39839811903370786,315.3023858622369,1336.983876832593
0.135,-0.12448069502689246,0.96875,-0.5533981281798305,0.0,0.0,5.9818283714651965,5.971943544933367,0.4116453912987041,300.87594757440905,1341.2459833565822
0.14,-0.12078689679900796,0.96875,-0.5536145684450974,0.0,0.0,6.001613663216196,5.991712541513947,0.4247171412513001,286.2758435119004,1345.5844464001493
0.145,-0.11675863767036626,0.96875,-0.5538268742238857,0.0,0.0,6.021740749837944,6.011823078889947,0.43761706037518333,271.63098132178374,1349.9993555666786
0.15,-0.11240808701561623,0.96875,-0.5540337194645015,0.0,0.0,6.042212775051044,6.032278299467023,0.4503491821056989,257.09809820673206,1354.49098192824
0.155,-0.10775103734739633,0.96875,-0.5542338332767994,0.0,0.0,6.063032943587568,6.053081406640689,0.46291781218993344,242.86513561756237,1359.0597966055982
0.16,-0.10280622428054136,0.96875,-0.5544260066372799,0.0,0.0,6.084204487358492,6.074235630991701,0.4753274587112888,229.15349269945796,1363.706354497626
0.165,-0.09759454476569143,0.96875,-0.5546090967233582,0.0,0.0,6.1057306992799845,6.095744264085245,0.48758273700170024,216.21794721514442,1368.43138296246
0.17,-0.09213880113540038,0.96875,-0.55478203131244,0.0,0.0,6.12761491293882,6.117610638153298,0.49968819291546257,204.34252580705095,1373.2357620234554
0.17500000000000002,-0.08646307109879414,0.96875,-0.5549438116308512,0.0,0.0,6.149860502201596,6.139838125704561,0.5116473461246144,193.83024383601983,1378.1205019849738
0.18,-0.08059241449945484,0.96875,-0.5550935148789805,0.0,0.0,6.172470901643694,6.162430159937287,0.5234626245866759,184.9847834920417,1383.0867325014563
0.185,-0.07455252781761139,0.96875,-0.5552302964469906,0.0,0.0,6.195449572728078,6.185390200945849,0.5351363304500103,178.08335528970719,1388.135704697694
0.19,-0.06836931409070902,0.96875,-0.5553533910791746,0.0,0.0,6.218800036746251,6.208721768635499,0.5466706668967634,173.34250398057014,1393.2687518127689
0.195,-0.06463487768812065,0.8125,-0.8040878685761689,0.0,0.0,6.242525854383726,6.232428422304745,0.5580677157199251,170.88195889368833,1398.4872789601782
0.2,-0.06658068444067129,0.8125,-0.8043504565071699,0.0,0.0,6.266630624990865,6.256513759917105,0.569329419406887,170.6940727391694,1403.7927171072245
0.20500000000000002,-0.06854682796854243,0.8125,-0.8046213141102464,0.0,0.0,6.291118006473127,6.280981437975889,0.5804575676062119,172.62564321872554,1409.1864839008035
0.21,-0.0705339004430396,0.8125,-0.8049004708986799,0.0,0.0,6.315991681662731,6.305835137923108,0.591453781825789,176.3740114200284,1414.6699736415042
0.215,-0.0725424607781669,0.8125,-0.805187960837999,0.0,0.0,6.341255390643882,6.331078598439275,0.6023195080574838,181.49206580585889,1420.2445109097341
0.22,-0.07457303844533558,0.8125,-0.8054838221101783,0.0,0.0,6.366912910421749,6.356715595128996,0.6130560073851461,187.3906725215618,1425.9113557735823
0.225,-0.07662614117868476,0.8125,-0.8057880967686363,0.0,0.0,6.392968054090535,6.382749939690042,0.6236643505026245,193.32504461400194,1431.6716874923163
0.23,-0.07870225964428224,0.8125,-0.8061008305615446,0.0,0.0,6.419424690427477,6.409185499492194,0.6341454159666052,192.16200161450033,1437.526601368439
0.23500000000000001,-0.08080187519855073,0.8125,-0.8064220727121162,0.0,0.0,6.44628671064183,6.436026164352898,0.644499885706703,180.35172928924683,1443.477128679759
0.24,-0.08292546613089827,0.8125,-0.8067518757334098,0.0,0.0,6.473558060353278,6.463275878490757,0.6547282370801867,169.93382763323643,1449.524236064716
0.245,-0.085073506786235,0.8125,-0.8070902953368744,0.0,0.0,6.50124271956724,6.4909386205169906,0.6648307446160864,161.54668920008532,1455.6688553227946
0.25,-0.08724646847513066,0.8125,-0.8074373902347896,0.0,0.0,6.5293447019592135,6.5190184027206435,0.6748074973868674,155.76286189273532,1461.9119042386264
0.255,-0.08944482043902836,0.8125,-0.8077932220582034,0.0,0.0,6.557868074414953,6.5475192905937964,0.684658406476539,152.79864168129455,1220.3122331581633
0.26,-0.09166902750515293,0.8125,-0.8081578552210877,0.0,0.0,6.586816924317518,6.576445370144512,0.6943824329260293,149.06135130350262,1123.7529620117887
0.265,-0.0939195517844518,0.8125,-0.8085313567857145,0.0,0.0,6.6161953913964275,6.605800779721442,0.7039746874867419,128.2643157204013,1146.2749028288667
0.27,-0.09619684771878316,0.8125,-0.8089137963854062,0.0,0.0,6.646007648123985,6.635589690425738,0.7134292191963459,108.5894814039895,951.2545498052539
0.275,-0.09850136222475818,0.8125,-0.809305246056393,0.0,0.0,6.676257899249698,6.665816305646113,0.7227402094116361,92.91648053867657,666.6338553084901
0.28,-0.1008335368205623,0.8125,-0.8097057801598244,0.0,0.0,6.706950401428222,6.69648488067187,0.7319020055328772,84.24908570065608,547.3870665137262
0.28500000000000003,-0.10319380522650438,0.8125,-0.8101154752653994,0.0,0.0,6.738089431110667,6.7275996906093365,0.740909149395234,84.68071452290604,564.3203315764729
0.29,-0.10558259652684501,0.8125,-0.8105344100373213,0.0,0.0,6.769679316427203,6.75916506224012,0.7497722153856149,94.18977603906086,730.859344298182
0.295,-0.10800033325569965,0.8125,-0.8109626651724117,0.0,0.0,6.801724418131551,6.7911853549805805,0.7585362619918169,110.74708434239496,1117.6097412106708
0.3,-0.11044743138541284,0.8125,-0.8114003232739513,0.0,0.0,6.834229129498038,6.823664960779193,0.767132977593081,131.61299886447446,1502.5071300576244
0.305,-0.11292430214753922,0.8125,-0.8118474687923816,0.0,0.0,6.867197896159074,6.85660832393912,0.7755576125978657,153.81968675815884,1219.1365511378062
0.31,-0.11543134863573506,0.8125,-0.8123041879350491,0.0,0.0,6.900635184630952,6.890019909668322,0.7838057492851436,131.24768405143007,733.2345854191099
0.315,-0.11796896885398812,0.8125,-0.8127705685756539,0.0,0.0,6.934545514304577,6.923904236046134,0.7918733225900569,114.80770581382309,521.4629419235197
