s,peak_velocity,peak_velocity_fraction,peak_velocity_l,material_fraction_above_09,material_fraction_above_099,maximum_density,maximum_radial_stress,reference_maximum_speed,density_peak_over_reference,radial_peak_over_reference
0.0,-0.20214036673420838,1.0,-0.5,0.0,0.0,7.178036414026874,7.168500131347508,0.20214036673420838,646.3396379199952,1619.0562975131363
0.005,-0.19657604239257814,1.0,-0.5,0.0,0.0,7.193002929601059,7.183456736973168,0.19657604239257814,646.7672022004946,1621.1023005183472
0.01,-0.19125189474758336,1.0,-0.5,0.0,0.0,7.208317404696448,7.198761082437141,0.19125189474758336,646.4481686942022,1623.6918119844515
0.015,-0.18614521843470647,1.0,-0.5,0.0,0.0,7.2239822030432626,7.21441553060382,0.18614521843470647,645.3779237008447,1626.552522768957
0.02,-0.1812353449910627,1.0,-0.5,0.0,0.0,7.239999696633117,7.23042245261237,0.1812353449910627,643.55149810737,1629.5878313382084
0.025,-0.17650372323014477,1.0,-0.5,0.0,0.0,7.256372284411615,7.246784246557125,0.17650372323014477,640.9636052607393,1632.761459686012
0.03,-0.17396064900610025,0.984375,-0.5251943971671486,0.0,0.0,7.2731024398347826,7.263503385013005,0.17193197316561284,637.6086961143568,1636.0579895537116
0.035,-0.17314420939144198,0.984375,-0.5252865494019797,0.0,0.0,7.290192679927912,7.280582384114969,0.16750125426353074,633.4810279263909,1639.4697936678785
0.04,-0.17203830150228472,0.984375,-0.5253949339105867,0.0,0.0,7.307645627769775,7.298023866001594,0.16319300140300724,628.5747582819996,1642.993405458804
0.045,-0.170520862557733,0.984375,-0.5255168089992571,0.0,0.0,7.3254639969645545,7.315830543297622,0.15898965673757234,622.8840588248488,1646.6278142303029
0.05,-0.16853650239746484,0.984375,-0.5256490741833496,0.0,0.0,7.343650601925901,7.334005229391752,0.1622241665661431,616.4032586328541,1650.3729726213442
0.055,-0.1660856266612459,0.984375,-0.5257886159649884,0.0,0.0,7.362208394768477,7.352550875304667,0.17815163148089544,609.1270226287093,1654.2286983554825
0.06,-0.1632118196362623,0.984375,-0.5259325839377912,0.0,0.0,7.381140423772281,7.371470528181016,0.19396746037631202,601.0505666488783,1658.194515356635
0.065,-0.15998616180778227,0.984375,-0.5260785671019402,0.0,0.0,7.400449882490018,7.390767380365427,0.2096585350125136,592.1699260018247,1662.2685362107025
0.07,-0.15649166123981567,0.984375,-0.5262246748833052,0.0,0.0,7.420140081673645,7.410444741347995,0.22521231804363254,582.4822794987668,1666.4490374879354
0.075,-0.15280545604637005,0.984375,-0.5263695308552142,0.0,0.0,7.440214446310312,7.430506034802802,0.24061689406449352,571.9863467395542,1670.7341617093423
0.08,-0.1493229623401968,0.96875,-0.551302180367208,0.0,0.0,7.46067653899704,7.4509548219481205,0.25586100615618734,560.682873911151,1675.1215566339695
0.085,-0.14780646405077305,0.96875,-0.5514918222543198,0.0,0.0,7.481530006912611,7.471794748553356,0.27093490927847824,548.5752223550427,1679.6093499199646
0.09,-0.145775205666373,0.96875,-0.5516872453776938,0.0,0.0,7.502778618785984,7.4930295818841435,0.2858326603150379,535.670089994803,1684.1963649128463
0.095,-0.14318125658729472,0.96875,-0.5518858997668066,0.0,0.0,7.524426227396543,7.514663173227536,0.30055012747237814,521.9783860592228,1688.8820674840053
0.1,-0.13999342344627932,0.96875,-0.5520851951238059,0.0,0.0,7.546476758315651,7.536699446641341,0.315084323160609,507.5162972943212,1693.6664458812486
0.105,-0.13619617669337125,0.96875,-0.5522825648189243,0.0,0.0,7.568934226366055,7.559142415403533,0.3294333302127811,492.30658501047833,1698.5497889559676
0.11,-0.13178792813581805,0.96875,-0.5524755147365116,0.0,0.0,7.591802678930756,7.581996125358065,0.3435962208094632,476.38015566408546,1703.5322833709251
0.115,-0.12678000458742902,0.96875,-0.552661662683448,0.0,0.0,7.615086229770875,7.605264688711457,0.35757297659254367,459.77796439878784,1708.6140572959107
0.12,-0.12119477819984074,0.96875,-0.5528387689314661,0.0,0.0,7.638789021654631,7.628952246686162,0.37136440387722025,442.55330396438717,1713.7949583233035
0.125,-0.11506400728881935,0.96875,-0.5530047550258794,0.0,0.0,7.662915216734745,7.653062959904453,0.38497204958606007,424.774542947435,1719.0746844141647
0.13,-0.10842677796157948,0.96875,-0.5531577180482299,0.0,0.0,7.687469016024028,7.6776010278518925,0.39839811903370786,406.5283665534671,1724.452984851017
0.135,-0.10132757292110199,0.96875,-0.5532959362512326,0.0,0.0,7.712454608507128,7.702570638021761,0.4116453912987041,387.9235485137826,1729.9296036600936
0.14,-0.09528140652338579,0.984375,-0.5278978096604547,0.0,0.0,7.737876210664563,7.727976005414142,0.4247171412513001,369.0952406309311,1735.5045394770161
0.145,-0.08944904106925701,0.984375,-0.5279689986727886,0.0,0.0,7.763738037009123,7.753821343091252,0.43761706037518333,350.2096601841918,1741.1779553374927
0.15,-0.08330208422079612,0.984375,-0.5280291492571307,0.0,0.0,7.790044298645093,7.780110860737714,0.4503491821056989,331.4688920584942,1746.9502360662427
0.155,-0.0786028685412992,1.0,-0.5,0.0,0.0,7.8167992308919985,7.806848792266936,0.46291781218993344,313.1152383583323,1752.8220122909659
0.16,-0.07533668379048508,1.0,-0.5,0.0,0.0,7.844007051647737,7.834039354210723,0.4753274587112888,295.43412230456573,1758.794010922728
0.165,-0.07211304636087229,1.0,-0.5,0.0,0.0,7.871672008529788,7.861686792830848,0.48758273700170024,278.75398484835415,1764.8671703168382
0.17,-0.06893645301010003,1.0,-0.5,0.0,0.0,7.89979835747005,7.889795362727538,0.49968819291546257,263.44095911171036,1771.042615816894
0.17500000000000002,-0.06581185762508872,1.0,-0.5,0.0,0.0,7.9283903680509145,7.9183693321723085,0.5116473461246144,249.88564175013605,1777.3216321893653
0.18,-0.06274423183566895,1.0,-0.5,0.0,0.0,7.957452356425021,7.9474130160072995,0.5234626245866759,238.47947195822863,1783.7056509961228
0.185,0.0645038816857068,0.890625,-0.6703689899709412,0.0,0.0,7.986988648682245,7.976930739035382,0.5351363304500103,229.57974566998647,1790.1962548882238
0.19,0.0663927876026039,0.890625,-0.6700943186448717,0.0,0.0,8.017003630409988,8.00692688554972,0.5466706668967634,223.4655360367061,1796.7951284339301
0.195,0.06811898064683224,0.890625,-0.6698157021820107,0.0,0.0,8.047501727238693,8.037405879891725,0.5580677157199251,220.29109553229839,1803.5040464550893
